Zabiele 17, 18-520 Zabiele, Polska;Zabiele 14, 18-520 Zabiele, Polska;Stary Gromadzyn 41 A, 18-500 Stary Gromadzyn, Polska;Tyszki-Łabno 19, 18-500 Tyszki-Łabno, Polska;Gromadzyn-Wykno 8, 18-500 Gromadzyn-Wykno, Polska;Obiedzino 20, 18-500 Obiedzino, Polska;Obiedzino 6, 18-500 Obiedzino, Polska;Pachuczyn 4, 18-500 Pachuczyn, Polska;Czerwone 92, 18-500 Czerwone, Polska;Czerwone 136, 18-500 Czerwone, Polska;Czerwone 59, 18-500 Czerwone, Polska
0;176;20306;19639;17474;14800;13677;14572;24136;26169;23973
176;0;20482;19815;17650;14976;13853;14748;24312;26345;24149
21098;21275;0;4482;3500;6690;7693;5734;7370;9404;7207
17866;18043;4482;0;2833;5877;5792;5067;8312;10346;8149
18266;18443;3500;2833;0;3858;4861;2902;7330;9364;7168
15593;15769;6690;6023;3858;0;630;2470;10520;12553;10357
15082;15258;7693;7027;4861;630;0;1960;11524;13557;11361
15364;15541;5734;5067;2902;1832;1960;0;9564;11598;9401
24928;25104;7158;8311;7329;10519;11523;9563;0;2033;1059
26961;27137;9192;10345;9363;12553;13556;11597;2033;0;3093
24765;24941;6996;8149;7167;10357;11360;9401;1059;3093;0
