Leman 23, 18-525 Leman, Polska;Leman 22, 18-525 Leman, Polska;Leman 53, 18-525 Leman, Polska;Leman 12, 18-525 Leman, Polska;Leman 27, 18-525 Leman, Polska;Nowa Ruda 43, 18-525 Nowa Ruda, Polska;Ksebki 49A, 18-525 Ksebki, Polska;Ksebki 95, 18-525 Ksebki, Polska;Leman 103, 18-525 Leman, Polska;Łacha 17, 18-525 Łacha, Polska
0;786;2269;1357;565;8930;9936;10345;3790;7728
786;0;1950;1037;880;9463;9616;10026;3470;7409
2269;1950;0;1861;2364;10412;7667;8076;1521;5459
1357;1037;1861;0;1968;10034;9528;9937;3381;7320
565;880;2364;1968;0;9113;4293;6056;3884;7823
8930;9463;10412;10034;9113;0;9123;10887;11470;12644
10022;9616;7667;9528;4293;9123;0;2261;7312;12173
10432;10026;8076;9937;6056;10887;2261;0;7722;12583
3876;3470;1521;3381;3884;11470;7312;7722;0;6027
7815;7409;5459;7320;7823;12644;12173;12583;6027;0
