Leman 23, 18-525 Leman, Polska;Leman 22, 18-525 Leman, Polska;Leman 53, 18-525 Leman, Polska;Leman 12, 18-525 Leman, Polska;Leman 27, 18-525 Leman, Polska;Nowa Ruda 43, 18-525 Nowa Ruda, Polska;Ksebki 49A, 18-525 Ksebki, Polska;Ksebki 95, 18-525 Ksebki, Polska;Leman 103, 18-525 Leman, Polska;Łacha 17, 18-525 Łacha, Polska;Zimna 30, 18-525 Zimna, Polska;Zimna 29, 18-525 Zimna, Polska;Zimna 42, 18-525 Zimna, Polska;Zimna 18, 18-525 Zimna, Polska
0;786;2269;1357;565;8930;9936;10345;3790;7728;6636;6416;7411;5002
786;0;1950;1037;880;9463;9616;10026;3470;7409;6316;6096;7091;4683
2269;1950;0;1861;2364;10412;7667;8076;1521;5459;4367;4147;5142;2733
1357;1037;1861;0;1968;10034;9528;9937;3381;7320;6228;6008;7003;4594
565;880;2364;1968;0;9113;4293;6056;3884;7823;6731;6511;7506;5097
8930;9463;10412;10034;9113;0;9123;10887;11470;12644;13135;13355;13394;12683
10022;9616;7667;9528;4293;9123;0;2261;7312;12173;11081;10861;11856;9447
10432;10026;8076;9937;6056;10887;2261;0;7722;12583;11490;11270;12265;9857
3876;3470;1521;3381;3884;11470;7312;7722;0;6027;4935;4715;5710;3301
7815;7409;5459;7320;7823;12644;12173;12583;6027;0;2715;2935;1475;2833
6722;6316;4367;6228;6731;13135;11081;11490;4935;2715;0;220;2344;1740
6502;6096;4147;6008;6511;13355;10861;11270;4715;2935;220;0;2563;1520
7497;7091;5142;7003;7506;13394;11856;12265;5710;1475;2344;2563;0;2515
5089;4683;2733;4594;5097;12683;9447;9857;3301;2833;1740;1520;2515;0
