Cieciory 8, 18-525 Cieciory, Polska;Janowo 52, 18-500 Janowo, Polska;Kumelsk 21, 18-500 Kumelsk, Polska;Cieciory 11, 18-525 Cieciory, Polska;Jurzec Szlachecki 52, 18-520 Jurzec Szlachecki, Polska;Zabiele 198, 18-500 Zabiele, Polska;Karwowo 10, 18-520 Karwowo, Polska;Mściwuje 1, 18-516 Mściwuje, Polska;Stare Kiełcze 11, 18-500 Stare Kiełcze, Polska;Milewo-Gałązki 27, 18-507 Milewo-Gałązki, Polska
0;24459;35637;1931;45888;16486;38687;21019;29434;39827
24459;0;23660;16671;28605;16216;23010;6954;19574;27850
35809;23660;0;36293;29274;21654;28706;30368;7130;4178
1947;16671;36121;0;46372;16970;37805;20137;29918;40311
46128;28600;29341;43495;0;31972;12474;28448;28042;29516
16486;16199;21482;16970;31733;0;31166;22907;17184;25672
38687;27023;30220;37805;13228;33833;0;17903;28922;29739
21019;6954;29211;20137;29787;21767;17903;0;25125;33401
29434;19574;7130;29918;27975;17184;27408;26281;0;11320
39999;27850;4178;40483;29322;25844;28952;34558;11320;0
