Cieciory 8, 18-525 Cieciory, Polska;Janowo 52, 18-500 Janowo, Polska;Kumelsk 21, 18-500 Kumelsk, Polska;Cieciory 11, 18-525 Cieciory, Polska;Jurzec Szlachecki 52, 18-520 Jurzec Szlachecki, Polska;Zabiele 198, 18-500 Zabiele, Polska;Karwowo 10, 18-520 Karwowo, Polska;Mściwuje 1, 18-516 Mściwuje, Polska;Stare Kiełcze 11, 18-500 Stare Kiełcze, Polska;Milewo-Gałązki 27, 18-507 Milewo-Gałązki, Polska;Cedry 29, 18-520 Cedry, Polska;Stary Gromadzyn 36, 18-500 Stary Gromadzyn, Polska;Karwowo 4, 18-520 Karwowo, Polska;Rogienice-Wypychy 12, 18-516 Rogienice-Wypychy, Polska;Strażacka 56, 18-520 Poryte, Polska;Guty Podleśne 9, 18-507 Guty Podleśne, Polska;Zabiele 12, 18-520 Zabiele, Polska;Stare Kiełcze 23, 18-500 Stare Kiełcze, Polska;Zalesie 6, 18-520 Zalesie, Polska
0;24459;35637;1931;45888;16486;38687;21019;29434;39827;41316;24690;45135;31829;35296;40678;42327;29448;38238
24459;0;23660;16671;28605;16216;23010;6954;19574;27850;24033;12713;22824;17763;14347;28701;26361;19587;24172
35809;23660;0;36293;29274;21654;28706;30368;7130;4178;24701;10948;28520;33099;21039;8715;20488;6899;30346
1947;16671;36121;0;46372;16970;37805;20137;29918;40311;41800;25174;37719;30946;29242;41162;42811;29931;37356
46128;28600;29341;43495;0;31972;12474;28448;28042;29516;7216;24261;12288;23173;14499;24979;14364;27812;14114
16486;16199;21482;16970;31733;0;31166;22907;17184;25672;27160;10534;30980;25638;21140;26523;28172;17198;32805
38687;27023;30220;37805;13228;33833;0;17903;28922;29739;8607;25141;186;11247;10074;25202;14587;28691;2188
21019;6954;29211;20137;29787;21767;17903;0;25125;33401;21950;18264;18089;11044;12265;34252;24279;25139;17453
29434;19574;7130;29918;27975;17184;27408;26281;0;11320;23403;8912;27222;29012;19741;15856;19190;469;29047
39999;27850;4178;40483;29322;25844;28952;34558;11320;0;24749;15138;28766;37289;25229;4537;13986;11089;30592
41508;23980;24721;38875;7216;27352;7854;23828;23422;24896;0;19641;7668;18553;9879;20359;9744;23191;9494
24862;12713;10948;25346;24194;10706;23627;19420;8912;15138;19622;0;23441;22151;15960;18984;20633;8681;25266
38873;22832;29246;37991;12254;29642;186;18089;27948;28765;7634;24167;0;11433;9100;24228;13613;27717;2374
31829;18844;33099;30946;23131;25655;11247;11044;29012;37289;18511;22151;11433;0;16152;35106;24491;29026;10798
30124;14347;21039;29242;15389;21157;9298;14195;19741;25229;10817;15960;9112;16152;0;18482;13243;19510;10937
40850;28701;8715;41334;24785;26695;24416;35409;15856;4537;20212;18984;24229;35114;18482;0;9449;15625;26055
41706;26172;20488;42190;14180;27551;13811;26020;19190;13986;9608;19840;13625;24510;12450;9449;0;18959;15450
29448;19587;6899;29931;27744;17198;27177;26295;469;11089;23172;8681;26991;29026;19510;15625;18959;0;28817
38238;26574;31064;37356;14072;33384;2188;17453;29766;30583;9452;25985;2374;10798;10918;26047;15431;29535;0
