Cieciory 8, 18-525 Cieciory, Polska;Janowo 52, 18-500 Janowo, Polska;Kumelsk 21, 18-500 Kumelsk, Polska;Cieciory 11, 18-525 Cieciory, Polska;Jurzec Szlachecki 52, 18-520 Jurzec Szlachecki, Polska;Zabiele 198, 18-500 Zabiele, Polska;Karwowo 10, 18-520 Karwowo, Polska;Mściwuje 1, 18-516 Mściwuje, Polska;Stare Kiełcze 11, 18-500 Stare Kiełcze, Polska;Milewo-Gałązki 27, 18-507 Milewo-Gałązki, Polska;Cedry 29, 18-520 Cedry, Polska;Stary Gromadzyn 36, 18-500 Stary Gromadzyn, Polska;Karwowo 4, 18-520 Karwowo, Polska;Rogienice-Wypychy 12, 18-516 Rogienice-Wypychy, Polska;Strażacka 56, 18-520 Poryte, Polska;Guty Podleśne 9, 18-507 Guty Podleśne, Polska;Zabiele 12, 18-520 Zabiele, Polska;Stare Kiełcze 23, 18-500 Stare Kiełcze, Polska;Zalesie 6, 18-520 Zalesie, Polska;Brzozowo 17, 18-500 Brzozowo, Polska;Charubin 29, 18-525 Charubin, Polska;Koziki-Olszyny 18, 18-500 Koziki-Olszyny, Polska;Łacha 106, 18-525 Łacha, Polska;Cieloszka 87, 18-525 Cieloszka, Polska;Cieciory 15, 18-525 Cieciory, Polska;Ksebki 49A, 18-525 Ksebki, Polska;Cwaliny Duże 11, 18-516 Cwaliny Duże, Polska;Kupnina 11, 18-414 Kupnina, Polska;Cedry 23, 18-520 Cedry, Polska;Kąty 16, 18-516 Kąty, Polska
0;24459;35637;1931;45888;16486;38687;21019;29434;39827;41316;24690;45135;31829;35296;40678;42327;29448;38238;26995;12667;31434;17418;7003;670;15536;19462;27326;40982;18572
24459;0;23660;16671;28605;16216;23010;6954;19574;27850;24033;12713;22824;17763;14347;28701;26361;19587;24172;22747;35944;19457;26130;25066;23922;34112;6411;12634;23699;4771
35809;23660;0;36293;29274;21654;28706;30368;7130;4178;24701;10948;28520;33099;21039;8715;20488;6899;30346;13848;39138;12376;28775;30503;35273;39550;29825;36049;24367;28186
1947;16671;36121;0;46372;16970;37805;20137;29918;40311;41800;25174;37719;30946;29242;41162;42811;29931;37356;27479;11785;31918;17902;7487;1411;16020;18580;26443;41466;17690
46128;28600;29341;43495;0;31972;12474;28448;28042;29516;7216;24261;12288;23173;14499;24979;14364;27812;14114;36621;57438;17022;41711;40822;45591;49869;27905;34129;7605;26266
16486;16199;21482;16970;31733;0;31166;22907;17184;25672;27160;10534;30980;25638;21140;26523;28172;17198;32805;14756;19815;17278;14981;11181;15950;20227;22364;28588;26827;20725
38687;27023;30220;37805;13228;33833;0;17903;28922;29739;8607;25141;186;11247;10074;25202;14587;28691;2188;37500;51748;17901;43747;42683;38151;51730;21870;24413;11417;20065
21019;6954;29211;20137;29787;21767;17903;0;25125;33401;21950;18264;18089;11044;12265;34252;24279;25139;17453;28299;34080;21013;31681;30617;20483;39664;3968;10771;21616;2397
29434;19574;7130;29918;27975;17184;27408;26281;0;11320;23403;8912;27222;29012;19741;15856;19190;469;29047;7173;32763;11077;22100;24128;28897;33175;25739;31962;23069;24099
39999;27850;4178;40483;29322;25844;28952;34558;11320;0;24749;15138;28766;37289;25229;4537;13986;11089;30592;18038;43328;16565;32965;34693;39463;43740;34015;40239;24415;32376
