Kupnina 2, 18-414 Kupnina, Polska;Cedry 30, 18-520 Cedry, Polska;Kąty 141, 18-516 Kąty, Polska;Kuzie 121A, 18-416 Kuzie, Polska;Michny 12, 18-520 Michny, Polska;Łosewo 4, 18-500 Łosewo, Polska;Kąty 141, 18-516 Kąty, Polska;Janowo 53, 18-500 Janowo, Polska;Nowa Ruda 41, 18-525 Nowa Ruda, Polska;Unnamed Road, Polska;Józefowo 37, 18-516 Józefowo, Polska;Korzeniste 74, 18-516 Korzeniste, Polska
0;29607;11187;25494;29340;12617;11187;11894;34045;37032;16001;16958
29602;0;23471;50559;8133;28657;23471;24178;37210;35769;14090;17547
11187;23477;0;32145;23209;3489;0;1450;27183;25917;16574;10827
25499;50570;32150;0;50303;28291;32150;32857;30810;39704;40876;37921
28754;7553;22624;49712;0;27810;22624;23331;35096;33655;13243;16700
12617;28662;3489;28291;28395;0;3489;5490;22962;26320;21760;16013
11187;23477;0;32145;23209;3489;0;1450;27183;25917;16574;10827
11894;24183;1450;32851;23916;5490;1450;0;25876;24610;17281;11534
34051;36971;27166;30810;35387;22962;27166;25859;0;9182;33734;27988
36257;35701;25917;39704;34117;26319;25917;24609;9182;0;32484;26738
16001;14095;16574;43662;13828;21760;16574;17281;33751;32485;0;6575
17966;17553;11835;38923;17286;17021;11835;12542;29012;27746;6575;0
