Kupnina 2, 18-414 Kupnina, Polska;Cedry 30, 18-520 Cedry, Polska;Kąty 141, 18-516 Kąty, Polska;Kuzie 121A, 18-416 Kuzie, Polska;Michny 12, 18-520 Michny, Polska;Łosewo 4, 18-500 Łosewo, Polska;Kąty 141, 18-516 Kąty, Polska;Janowo 53, 18-500 Janowo, Polska;Nowa Ruda 41, 18-525 Nowa Ruda, Polska;Unnamed Road, Polska;Józefowo 37, 18-516 Józefowo, Polska;Korzeniste 74, 18-516 Korzeniste, Polska;Łebki Duże 13, 18-507 Łebki Duże, Polska;Ramoty 4, 18-520 Ramoty, Polska;Zimna 42, 18-525 Zimna, Polska;Zaskrodzie 55, 18-500 Zaskrodzie, Polska;Kumelsk 33, 18-500 Kumelsk, Polska;Karwowo 13, 18-520 Karwowo, Polska;Nowa Ruda 77, 18-525 Nowa Ruda, Polska;Kołaki-Strumienie 2, 18-516 Kołaki-Strumienie, Polska;Dzierzbia 99, 18-520 Dzierzbia, Polska;Konopki-Białystok 15, 18-507 Konopki-Białystok, Polska;Karwowo 13, 18-520 Karwowo, Polska;Łebki Duże 10, 18-507 Łebki Duże, Polska;Wyk 44, 18-416 Wyk, Polska;Unnamed Road, 18-500, Polska
0;29607;11187;25494;29340;12617;11187;11894;34045;37032;16001;16958;42957;34057;42948;24060;36401;24171;39939;14679;21690;33822;24171;42700;20997;26562
29602;0;23471;50559;8133;28657;23471;24178;37210;35769;14090;17547;22392;12175;41686;13318;25238;8396;38677;20319;11163;12615;8396;22135;46063;25474
11187;23477;0;32145;23209;3489;0;1450;27183;25917;16574;10827;31843;27927;31834;17930;25287;22011;28825;14172;15560;30834;22011;31586;27648;15447
25499;50570;32150;0;50303;28291;32150;32857;30810;39704;40876;37921;64394;55020;37895;45024;57838;49046;40687;39554;42653;54785;49046;64137;4496;40066
28754;7553;22624;49712;0;27810;22624;23331;35096;33655;13243;16700;16510;9919;39572;11205;26035;12040;36563;23963;9049;6733;12040;16254;45216;23360
12617;28662;3489;28291;28395;0;3489;5490;22962;26320;21760;16013;32245;33113;32237;20917;25690;27197;29228;21292;20746;31237;27197;31989;23794;15850
11187;23477;0;32145;23209;3489;0;1450;27183;25917;16574;10827;31843;27927;31834;17930;25287;22011;28825;14172;15560;30834;22011;31586;27648;15447
11894;24183;1450;32851;23916;5490;1450;0;25876;24610;17281;11534;30536;28634;30527;19207;23980;22718;27518;14878;16267;29527;22718;30279;28355;14140
34051;36971;27166;30810;35387;22962;27166;25859;0;9182;33734;27988;37382;41421;13185;26053;30826;40534;10164;33266;31237;36373;40534;37125;30924;13054
36257;35701;25917;39704;34117;26319;25917;24609;9182;0;32484;26738;36112;40151;5860;24783;26939;39264;3608;32016;29967;35103;39264;35855;39818;13397
16001;14095;16574;43662;13828;21760;16574;17281;33751;32485;0;6575;28087;18546;38402;9111;25573;5622;35393;4174;6741;18310;5622;27831;39166;22015
17966;17553;11835;38923;17286;17021;11835;12542;29012;27746;6575;0;27425;22003;33663;12006;27116;16088;30654;9428;9636;21768;16088;27168;34427;17276
42183;22198;31843;63141;16508;32245;31843;30536;37554;36112;27888;27425;0;26648;42029;19196;10111;25958;39020;37881;18395;8721;25958;257;58645;25818
33900;12180;27770;54858;9919;32956;27770;28477;41509;40068;18389;21846;26691;0;45985;17617;29537;15748;42976;23798;15462;16914;15748;26434;50362;29773
42174;41618;31833;37895;40034;32236;31833;30526;13185;5860;38401;32655;42029;46068;0;30700;32856;45181;7611;37933;35884;41020;45181;41772;38009;19314
24060;13251;17930;45018;11667;20917;17930;19207;26225;24784;9655;12006;19196;17701;30701;0;20122;16814;27692;19046;3841;16149;16814;18940;40522;14489
35628;25171;25287;56585;26032;25690;25287;23980;30998;26939;26116;26108;10111;29621;32856;20122;0;28734;29847;31387;19437;18245;28734;10367;52089;19262
24171;9191;26065;49041;12852;31251;26065;26772;43243;41977;5622;19388;26786;16581;47893;18369;30289;0;44884;12564;12350;17009;0;26530;44544;31507
39165;38609;28824;40687;37024;29227;28824;27517;10164;3608;35392;29646;39020;43059;7611;27691;29847;42172;0;34924;32875;38011;42172;38763;40800;16305
14679;20277;16106;39549;23938;21292;16106;16813;33283;32017;4174;9428;37943;23955;37934;19046;31387;12564;34925;0;16676;28095;12564;37686;35052;21547
21690;11096;15560;42648;9511;20746;15560;16267;31409;29968;7285;9636;18395;15546;35885;3841;19437;14659;32876;16675;0;13993;14659;18138;38151;19673
33632;12431;27502;54590;6741;31237;27502;29527;36545;35104;18121;21578;8721;16881;41021;15356;18245;16192;38012;28114;13201;0;16192;8464;50094;24809
24171;9191;26065;49041;12852;31251;26065;26772;43243;41977;5622;19388;26786;16581;47893;18369;30289;0;44884;12564;12350;17009;0;26530;44544;31507
41927;21941;31586;62884;16251;31989;31586;30279;37297;35856;27631;27168;257;26391;41773;18940;10367;25702;38764;37624;18138;8464;25702;0;58388;25561
21003;46074;27654;4496;45806;23794;27654;28360;30924;39818;36380;33424;59424;50524;38009;40527;52868;44550;40800;35058;38157;50288;44550;59167;0;40179
25771;25235;15430;40066;23650;15833;15430;14123;13054;13397;21998;16252;25646;29685;19314;14317;19090;28798;16305;21530;19501;24637;28798;25389;40179;0
