Zabiele 17, 18-520 Zabiele, Polska;Zabiele 14, 18-520 Zabiele, Polska;Stary Gromadzyn 41 A, 18-500 Stary Gromadzyn, Polska;Tyszki-Łabno 19, 18-500 Tyszki-Łabno, Polska;Gromadzyn-Wykno 8, 18-500 Gromadzyn-Wykno, Polska;Obiedzino 20, 18-500 Obiedzino, Polska;Obiedzino 6, 18-500 Obiedzino, Polska;Pachuczyn 4, 18-500 Pachuczyn, Polska;Czerwone 92, 18-500 Czerwone, Polska;Czerwone 136, 18-500 Czerwone, Polska;Czerwone 59, 18-500 Czerwone, Polska;Czerwone 137, 18-500 Czerwone, Polska;Brzozowo 13, 18-500 Brzozowo, Polska;Unnamed Road, 18-500, Polska;Górskie 5, 18-500 Górskie, Polska;Brzózki 18, 18-500 Brzózki, Polska;Brzozowo 11A, 18-500 Brzozowo, Polska;Brzozowo 3, 18-500 Brzozowo, Polska;Danowo 19, 18-500 Danowo, Polska
0;176;20306;19639;17474;14800;13677;14572;24136;26169;23973;26244;28996;25017;24971;30018;28969;28878;23217
176;0;20482;19815;17650;14976;13853;14748;24312;26345;24149;26420;29172;25193;25147;30194;29146;29054;23393
21098;21275;0;4482;3500;6690;7693;5734;7370;9404;7207;9478;10423;4418;5128;11444;10396;10305;10286
17866;18043;4482;0;2833;5877;5792;5067;8312;10346;8149;10420;15631;9193;10336;16652;15604;15513;10565
18266;18443;3500;2833;0;3858;4861;2902;7330;9364;7168;9438;14649;8211;9354;15670;14622;14531;12899
15593;15769;6690;6023;3858;0;630;2470;10520;12553;10357;12628;17839;11401;12543;18860;17812;17721;10501
15082;15258;7693;7027;4861;630;0;1960;11524;13557;11361;13631;18842;12405;13547;19864;18816;18725;10417
15364;15541;5734;5067;2902;1832;1960;0;9564;11598;9401;11672;16883;10445;11588;17904;16856;16765;15133
24928;25104;7158;8311;7329;10519;11523;9563;0;2033;1059;2108;10421;8555;9992;11442;10394;10303;14606
26961;27137;9192;10345;9363;12553;13556;11597;2033;0;3093;74;12454;10588;12026;13476;12428;12336;16639
24765;24941;6996;8149;7167;10357;11360;9401;1059;3093;0;3167;9464;7599;9036;10486;9438;9346;13649
27036;27212;9266;10419;9437;12627;13631;11671;2108;74;3167;0;12528;10663;12100;13550;12502;12411;16713
25664;25840;10923;16131;15149;16280;16196;17383;10421;12454;9464;12528;0;4904;5940;1022;27;203;8349
26242;26418;4418;9626;8644;11834;12837;10878;8555;10588;7599;10663;4904;0;4476;5926;4878;4786;9089
21639;21815;5128;10336;9354;12543;13547;11588;9992;12026;9036;12100;5940;4476;0;6962;5914;5822;5080
26685;26861;11945;17153;16171;17302;17217;18405;11442;13476;10486;13550;1022;5926;6962;0;1048;1225;5780
25637;25813;10897;16105;15123;16254;16169;17357;10394;12428;9438;12502;27;4878;5914;1048;0;177;8323
25546;25722;10805;16013;15032;16162;16078;17266;10303;12336;9346;12411;203;4786;5822;1225;177;0;5271
19885;20061;10286;10565;12899;10501;10417;15133;14606;16639;13649;16713;8349;9089;5090;5780;8323;5271;0
