destinations_count;cost;execution_time;sequence
4;43006;1.26295375823974609375;[1, 2, 3]
4;43006;1.26978468894958496094;[1, 2, 3]
4;43006;1.28329133987426757812;[1, 2, 3]
4;43006;1.26362633705139160156;[1, 2, 3]
4;43006;1.42539024353027343750;[1, 2, 3]
4;43006;1.30365729331970214844;[1, 2, 3]
4;43006;1.25540566444396972656;[1, 2, 3]
4;43006;1.25875401496887207031;[1, 2, 3]
4;43006;1.27551078796386718750;[1, 2, 3]
4;43006;1.26381731033325195312;[1, 2, 3]
4;43006;1.26341557502746582031;[1, 2, 3]
4;43006;1.27019739151000976562;[1, 2, 3]
4;43006;1.25740194320678710938;[1, 2, 3]
4;43006;1.26752972602844238281;[1, 2, 3]
4;43006;1.26886963844299316406;[1, 2, 3]
4;43006;1.28924393653869628906;[1, 2, 3]
4;43006;1.27378749847412109375;[1, 2, 3]
4;43006;1.25945258140563964844;[1, 2, 3]
4;43006;1.26876425743103027344;[1, 2, 3]
4;43006;1.26946878433227539062;[1, 2, 3]
4;43006;1.26640629768371582031;[1, 2, 3]
4;43006;1.27357983589172363281;[1, 2, 3]
4;43006;1.26059556007385253906;[1, 2, 3]
4;43006;1.25098204612731933594;[1, 2, 3]
4;43006;1.24842882156372070312;[1, 2, 3]
4;43006;1.27289128303527832031;[1, 2, 3]
4;43006;1.26357555389404296875;[1, 2, 3]
4;43006;1.36297082901000976562;[1, 2, 3]
4;43006;1.36222767829895019531;[1, 2, 3]
4;43006;1.35931253433227539062;[1, 2, 3]
5;43674;1.44347405433654785156;[1, 4, 2, 3]
5;43674;1.46205544471740722656;[1, 4, 2, 3]
5;43674;1.43814587593078613281;[1, 4, 2, 3]
5;43674;1.45031142234802246094;[1, 4, 2, 3]
5;43674;1.43525338172912597656;[1, 4, 2, 3]
5;43674;1.44808483123779296875;[1, 4, 2, 3]
5;43674;1.45651388168334960938;[1, 4, 2, 3]
5;43674;1.44116139411926269531;[1, 4, 2, 3]
5;43674;1.45724844932556152344;[1, 4, 2, 3]
5;43674;1.46645808219909667969;[1, 4, 2, 3]
5;43674;1.43359613418579101562;[1, 4, 2, 3]
5;43674;1.45039606094360351562;[1, 4, 2, 3]
5;43674;1.43012309074401855469;[1, 4, 2, 3]
5;43674;1.43330812454223632812;[1, 4, 2, 3]
5;43674;1.44293141365051269531;[1, 4, 2, 3]
5;43674;1.43219494819641113281;[1, 4, 2, 3]
5;43674;1.44920229911804199219;[1, 4, 2, 3]
5;43674;1.42635536193847656250;[1, 4, 2, 3]
5;43674;1.45369935035705566406;[1, 4, 2, 3]
5;43674;1.47330975532531738281;[1, 4, 2, 3]
5;43674;1.43930006027221679688;[1, 4, 2, 3]
5;43674;1.43759799003601074219;[1, 4, 2, 3]
5;43674;1.44741320610046386719;[1, 4, 2, 3]
5;43674;1.46193623542785644531;[1, 4, 2, 3]
5;43674;1.44421720504760742188;[1, 4, 2, 3]
5;43674;1.45063281059265136719;[1, 4, 2, 3]
5;43674;1.46455478668212890625;[1, 4, 2, 3]
5;43674;1.44592547416687011719;[1, 4, 2, 3]
5;43674;1.44182324409484863281;[1, 4, 2, 3]
5;43674;1.44189214706420898438;[1, 4, 2, 3]
6;44858;1.52106761932373046875;[1, 5, 4, 2, 3]
6;44858;1.50116038322448730469;[1, 5, 4, 2, 3]
6;44858;1.52865171432495117188;[1, 5, 4, 2, 3]
6;44858;1.50099515914916992188;[1, 5, 4, 2, 3]
6;44858;1.49819731712341308594;[1, 5, 4, 2, 3]
6;44858;1.50780963897705078125;[1, 5, 4, 2, 3]
6;44858;1.51682257652282714844;[1, 5, 4, 2, 3]
6;44858;1.52825427055358886719;[1, 5, 4, 2, 3]
6;44859;1.51312589645385742188;[5, 4, 2, 3, 1]
6;44858;1.51605772972106933594;[1, 5, 4, 2, 3]
6;44859;1.52519989013671875000;[5, 4, 2, 3, 1]
6;44858;1.52357053756713867188;[1, 5, 4, 2, 3]
6;44858;1.50368762016296386719;[1, 5, 4, 2, 3]
6;44858;1.50755310058593750000;[1, 5, 4, 2, 3]
6;44858;1.49559426307678222656;[1, 5, 4, 2, 3]
6;44859;1.50773382186889648438;[5, 4, 2, 3, 1]
6;44858;1.50091481208801269531;[1, 5, 4, 2, 3]
6;44859;1.56866216659545898438;[5, 4, 2, 3, 1]
