destinations_count;cost;execution_time;sequence
4;43006;1.43878579139709472656;[1, 2, 3]
4;43006;1.47717165946960449219;[1, 2, 3]
4;43006;1.43339538574218750000;[1, 2, 3]
4;43006;1.42922520637512207031;[1, 2, 3]
4;43006;1.42989158630371093750;[1, 2, 3]
4;43006;1.41974902153015136719;[1, 2, 3]
4;43006;1.44111871719360351562;[1, 2, 3]
4;43006;1.43417191505432128906;[1, 2, 3]
4;43006;1.41931295394897460938;[1, 2, 3]
4;43006;1.43143224716186523438;[1, 2, 3]
4;43006;1.47533416748046875000;[1, 2, 3]
4;43006;1.45694732666015625000;[1, 2, 3]
4;43006;1.43281173706054687500;[1, 2, 3]
4;43006;1.40266108512878417969;[1, 2, 3]
4;43006;1.44026041030883789062;[1, 2, 3]
4;43006;1.42272925376892089844;[1, 2, 3]
4;43006;1.44416475296020507812;[1, 2, 3]
4;43006;1.43917632102966308594;[1, 2, 3]
4;43006;1.41082477569580078125;[1, 2, 3]
4;43006;1.44154596328735351562;[1, 2, 3]
4;43006;1.42355537414550781250;[1, 2, 3]
4;43006;1.43611001968383789062;[1, 2, 3]
4;43006;1.43065285682678222656;[1, 2, 3]
4;43006;1.43668365478515625000;[1, 2, 3]
4;43006;1.42886519432067871094;[1, 2, 3]
4;43006;1.41698932647705078125;[1, 2, 3]
4;43006;1.43759036064147949219;[1, 2, 3]
4;43006;1.43920278549194335938;[1, 2, 3]
4;43006;1.42657780647277832031;[1, 2, 3]
4;43006;1.43324899673461914062;[1, 2, 3]
5;43674;1.56172990798950195312;[1, 4, 2, 3]
5;43674;1.52734375000000000000;[1, 4, 2, 3]
5;43674;1.53154420852661132812;[1, 4, 2, 3]
5;43674;1.51595401763916015625;[1, 4, 2, 3]
5;43674;1.50551176071166992188;[1, 4, 2, 3]
5;43674;1.53415560722351074219;[1, 4, 2, 3]
5;43674;1.51867341995239257812;[1, 4, 2, 3]
5;43674;1.52348160743713378906;[1, 4, 2, 3]
5;43674;1.55126833915710449219;[1, 4, 2, 3]
5;43674;1.52922892570495605469;[1, 4, 2, 3]
5;43674;1.51993966102600097656;[1, 4, 2, 3]
5;43674;1.55747509002685546875;[1, 4, 2, 3]
5;43674;1.52694654464721679688;[1, 4, 2, 3]
5;43674;1.50721049308776855469;[1, 4, 2, 3]
5;43674;1.52284002304077148438;[1, 4, 2, 3]
5;43674;1.53438782691955566406;[1, 4, 2, 3]
5;43674;1.52985548973083496094;[1, 4, 2, 3]
5;43674;1.52884364128112792969;[1, 4, 2, 3]
5;43674;1.52002882957458496094;[1, 4, 2, 3]
5;43674;1.50990819931030273438;[1, 4, 2, 3]
5;43674;1.52181053161621093750;[1, 4, 2, 3]
5;43674;1.51348495483398437500;[1, 4, 2, 3]
5;43674;1.52898168563842773438;[1, 4, 2, 3]
5;43674;1.53709793090820312500;[1, 4, 2, 3]
5;43674;1.53019618988037109375;[1, 4, 2, 3]
5;43674;1.54636359214782714844;[1, 4, 2, 3]
5;43674;1.52925634384155273438;[1, 4, 2, 3]
5;43674;1.52406334877014160156;[1, 4, 2, 3]
5;43674;1.52490639686584472656;[1, 4, 2, 3]
5;43674;1.53603625297546386719;[1, 4, 2, 3]
6;44858;1.64007472991943359375;[1, 5, 4, 2, 3]
6;44858;1.62380146980285644531;[1, 5, 4, 2, 3]
6;44858;1.62641930580139160156;[1, 5, 4, 2, 3]
6;44858;1.63123750686645507812;[1, 5, 4, 2, 3]
6;44859;1.66037702560424804688;[5, 4, 2, 3, 1]
6;44858;1.64936709403991699219;[1, 5, 4, 2, 3]
6;44858;1.66230297088623046875;[1, 5, 4, 2, 3]
6;44858;1.64095902442932128906;[1, 5, 4, 2, 3]
6;44858;1.66663956642150878906;[1, 5, 4, 2, 3]
6;44858;1.63918566703796386719;[1, 5, 4, 2, 3]
6;44858;1.65412425994873046875;[1, 5, 4, 2, 3]
6;44858;1.63073348999023437500;[1, 5, 4, 2, 3]
6;44858;1.62972950935363769531;[1, 5, 4, 2, 3]
6;44858;1.63808608055114746094;[1, 5, 4, 2, 3]
6;44858;1.66745996475219726562;[1, 5, 4, 2, 3]
6;44858;1.66930580139160156250;[1, 5, 4, 2, 3]
6;44858;1.65278100967407226562;[1, 5, 4, 2, 3]
6;44858;1.64333558082580566406;[1, 5, 4, 2, 3]
6;44858;1.63212418556213378906;[1, 5, 4, 2, 3]
6;44858;1.65179753303527832031;[1, 5, 4, 2, 3]
6;44858;1.68677687644958496094;[1, 5, 4, 2, 3]
6;44858;1.64413309097290039062;[1, 5, 4, 2, 3]
6;44858;1.67950654029846191406;[1, 5, 4, 2, 3]
6;44858;1.68812465667724609375;[1, 5, 4, 2, 3]
6;44858;1.63945412635803222656;[1, 5, 4, 2, 3]
6;44858;1.66556501388549804688;[1, 5, 4, 2, 3]
6;44858;1.66737651824951171875;[1, 5, 4, 2, 3]
6;44858;1.64572095870971679688;[1, 5, 4, 2, 3]
6;44858;1.64545226097106933594;[1, 5, 4, 2, 3]
6;44858;1.64226245880126953125;[1, 5, 4, 2, 3]
7;44365;1.72329092025756835938;[1, 6, 5, 4, 2, 3]
7;44365;1.75077939033508300781;[1, 6, 5, 4, 2, 3]
7;44365;1.75233650207519531250;[1, 6, 5, 4, 2, 3]
7;44365;1.74633955955505371094;[1, 6, 5, 4, 2, 3]
7;44365;1.73785066604614257812;[1, 6, 5, 4, 2, 3]
7;44366;1.76171398162841796875;[6, 5, 4, 2, 3, 1]
7;44365;1.72103428840637207031;[1, 6, 5, 4, 2, 3]
7;44365;1.75084638595581054688;[1, 6, 5, 4, 2, 3]
7;44365;1.75081086158752441406;[1, 6, 5, 4, 2, 3]
7;44365;1.75525283813476562500;[1, 6, 5, 4, 2, 3]
7;44365;1.72350692749023437500;[1, 6, 5, 4, 2, 3]
7;44365;1.72764563560485839844;[1, 6, 5, 4, 2, 3]
7;44365;1.71828913688659667969;[1, 6, 5, 4, 2, 3]
7;44365;1.74008154869079589844;[1, 6, 5, 4, 2, 3]
7;44365;1.73910403251647949219;[1, 6, 5, 4, 2, 3]
7;44366;1.73449802398681640625;[6, 5, 4, 2, 3, 1]
7;44365;1.77189207077026367188;[1, 6, 5, 4, 2, 3]
7;44365;1.71604752540588378906;[1, 6, 5, 4, 2, 3]
7;44365;1.74804306030273437500;[1, 6, 5, 4, 2, 3]
7;44365;1.78780460357666015625;[1, 6, 5, 4, 2, 3]
7;44365;1.74067544937133789062;[1, 6, 5, 4, 2, 3]
7;44366;1.71040129661560058594;[6, 5, 4, 2, 3, 1]
7;44366;1.73020792007446289062;[6, 5, 4, 2, 3, 1]
7;44365;1.73398303985595703125;[1, 6, 5, 4, 2, 3]
7;44365;1.72476482391357421875;[1, 6, 5, 4, 2, 3]
7;44365;1.72978281974792480469;[1, 6, 5, 4, 2, 3]
7;44365;1.73526787757873535156;[1, 6, 5, 4, 2, 3]
7;44365;1.74169921875000000000;[1, 6, 5, 4, 2, 3]
7;44365;1.75141882896423339844;[1, 6, 5, 4, 2, 3]
7;44365;1.74253940582275390625;[1, 6, 5, 4, 2, 3]
8;45880;1.85711693763732910156;[6, 5, 7, 4, 2, 3, 1]
8;45879;1.87362813949584960938;[1, 6, 5, 7, 4, 2, 3]
8;45880;1.86436581611633300781;[6, 5, 7, 4, 2, 3, 1]
8;45879;1.87988662719726562500;[1, 6, 5, 7, 4, 2, 3]
8;45880;1.87014889717102050781;[6, 5, 7, 4, 2, 3, 1]
8;45880;1.88076567649841308594;[6, 5, 7, 4, 2, 3, 1]
8;45879;1.86346435546875000000;[1, 6, 5, 7, 4, 2, 3]
8;45879;1.89760947227478027344;[1, 6, 5, 7, 4, 2, 3]
8;45879;1.88153314590454101562;[1, 6, 5, 7, 4, 2, 3]
8;45879;1.91429519653320312500;[1, 6, 5, 7, 4, 2, 3]
8;45879;1.86992859840393066406;[1, 6, 5, 7, 4, 2, 3]
8;45879;1.85631322860717773438;[1, 6, 5, 7, 4, 2, 3]
8;45880;1.89766287803649902344;[6, 5, 7, 4, 2, 3, 1]
8;45880;1.84525847434997558594;[6, 5, 7, 4, 2, 3, 1]
8;45880;1.85561871528625488281;[6, 5, 7, 4, 2, 3, 1]
8;45880;1.90999078750610351562;[6, 5, 7, 4, 2, 3, 1]
8;45880;1.86246180534362792969;[6, 5, 7, 4, 2, 3, 1]
8;45880;1.87440204620361328125;[6, 5, 7, 4, 2, 3, 1]
8;45879;1.90499448776245117188;[1, 6, 5, 7, 4, 2, 3]
8;45879;1.86841416358947753906;[1, 6, 5, 7, 4, 2, 3]
8;45880;1.86408329010009765625;[6, 5, 7, 4, 2, 3, 1]
8;45879;1.89423847198486328125;[1, 6, 5, 7, 4, 2, 3]
8;45880;1.88002967834472656250;[6, 5, 7, 4, 2, 3, 1]
8;45879;1.92335891723632812500;[1, 6, 5, 7, 4, 2, 3]
8;45879;1.89614439010620117188;[1, 6, 5, 7, 4, 2, 3]
8;45879;1.90613079071044921875;[1, 6, 5, 7, 4, 2, 3]
8;45879;1.85800409317016601562;[1, 6, 5, 7, 4, 2, 3]
8;45880;1.85263395309448242188;[6, 5, 7, 4, 2, 3, 1]
8;45880;1.88799834251403808594;[6, 5, 7, 4, 2, 3, 1]
8;45880;1.86204767227172851562;[6, 5, 7, 4, 2, 3, 1]
9;56868;1.99021911621093750000;[6, 5, 7, 4, 8, 2, 3, 1]
9;56868;1.97620439529418945312;[6, 5, 7, 4, 8, 2, 3, 1]
9;56868;1.94246220588684082031;[6, 5, 7, 4, 8, 2, 3, 1]
9;56868;1.94169545173645019531;[6, 5, 7, 4, 8, 2, 3, 1]
9;56867;1.95367074012756347656;[1, 6, 5, 7, 4, 8, 2, 3]
9;56868;1.92047476768493652344;[6, 5, 7, 4, 8, 2, 3, 1]
9;56868;1.90876531600952148438;[6, 5, 7, 4, 8, 2, 3, 1]
9;56868;1.94292020797729492188;[6, 5, 7, 4, 8, 2, 3, 1]
9;56868;1.94097876548767089844;[6, 5, 7, 4, 8, 2, 3, 1]
9;56867;1.95314383506774902344;[1, 6, 5, 7, 4, 8, 2, 3]
9;56868;1.92512249946594238281;[6, 5, 7, 4, 8, 2, 3, 1]
9;56868;1.95135664939880371094;[6, 5, 7, 4, 8, 2, 3, 1]
9;56867;1.97515416145324707031;[1, 6, 5, 7, 4, 8, 2, 3]
9;56868;1.94739532470703125000;[6, 5, 7, 4, 8, 2, 3, 1]
9;56868;1.93925404548645019531;[6, 5, 7, 4, 8, 2, 3, 1]
9;56868;1.94059443473815917969;[6, 5, 7, 4, 8, 2, 3, 1]
9;57918;1.93737053871154785156;[1, 6, 5, 4, 3, 8, 2, 7]
9;56868;1.90497660636901855469;[6, 5, 7, 4, 8, 2, 3, 1]
9;56868;1.96823453903198242188;[6, 5, 7, 4, 8, 2, 3, 1]
9;56867;1.93492126464843750000;[1, 6, 5, 7, 4, 8, 2, 3]
9;56868;1.97137641906738281250;[6, 5, 7, 4, 8, 2, 3, 1]
9;56867;1.93554449081420898438;[1, 6, 5, 7, 4, 8, 2, 3]
9;56868;1.91607856750488281250;[6, 5, 7, 4, 8, 2, 3, 1]
9;56868;1.96770286560058593750;[6, 5, 7, 4, 8, 2, 3, 1]
9;57481;1.97116303443908691406;[5, 6, 7, 4, 8, 2, 3, 1]
9;56868;1.93491291999816894531;[6, 5, 7, 4, 8, 2, 3, 1]
9;56868;1.93028426170349121094;[6, 5, 7, 4, 8, 2, 3, 1]
9;57918;1.96017003059387207031;[1, 6, 5, 3, 8, 2, 4, 7]
9;56868;1.91346168518066406250;[6, 5, 7, 4, 8, 2, 3, 1]
9;56867;1.98615765571594238281;[1, 6, 5, 7, 4, 8, 2, 3]
10;60934;2.06392097473144531250;[1, 6, 5, 7, 4, 9, 8, 2, 3]
10;60935;2.08184504508972167969;[6, 5, 7, 4, 8, 9, 2, 3, 1]
10;60935;2.10348224639892578125;[6, 5, 7, 4, 8, 9, 2, 3, 1]
10;60935;2.07825493812561035156;[6, 5, 7, 4, 9, 8, 2, 3, 1]
10;60935;2.12137699127197265625;[6, 5, 7, 4, 8, 9, 2, 3, 1]
10;60935;2.12192773818969726562;[6, 5, 7, 4, 9, 8, 2, 3, 1]
10;60935;2.12564754486083984375;[6, 5, 7, 4, 9, 8, 2, 3, 1]
10;60935;2.08687472343444824219;[6, 5, 7, 4, 9, 8, 2, 3, 1]
10;60935;2.09647369384765625000;[6, 5, 7, 4, 9, 8, 2, 3, 1]
10;60934;2.04283833503723144531;[1, 6, 5, 7, 4, 8, 9, 2, 3]
10;60935;2.09143972396850585938;[6, 5, 7, 4, 8, 9, 2, 3, 1]
10;60935;2.07581686973571777344;[6, 5, 7, 4, 9, 8, 2, 3, 1]
10;60934;2.06296229362487792969;[1, 6, 5, 7, 4, 8, 9, 2, 3]
10;60935;2.06564211845397949219;[6, 5, 7, 4, 9, 8, 2, 3, 1]
10;60935;2.11498522758483886719;[6, 5, 7, 4, 8, 9, 2, 3, 1]
10;60934;2.10168433189392089844;[1, 6, 5, 7, 4, 9, 8, 2, 3]
10;60934;2.08907485008239746094;[1, 6, 5, 7, 4, 9, 8, 2, 3]
10;60935;2.08800435066223144531;[6, 5, 7, 4, 9, 8, 2, 3, 1]
10;61984;2.08311343193054199219;[1, 6, 5, 9, 8, 2, 3, 4, 7]
10;60934;2.12864780426025390625;[1, 6, 5, 7, 4, 8, 9, 2, 3]
10;60934;2.08002305030822753906;[1, 6, 5, 7, 4, 8, 9, 2, 3]
10;60935;2.08889055252075195312;[6, 5, 7, 4, 8, 9, 2, 3, 1]
10;60934;2.08001399040222167969;[1, 6, 5, 7, 4, 9, 8, 2, 3]
10;60934;2.32205367088317871094;[1, 6, 5, 7, 4, 8, 9, 2, 3]
10;60935;2.31902718544006347656;[6, 5, 7, 4, 9, 8, 2, 3, 1]
10;60935;2.10894703865051269531;[6, 5, 7, 4, 9, 8, 2, 3, 1]
10;60935;2.12550377845764160156;[6, 5, 7, 4, 8, 9, 2, 3, 1]
10;60935;2.07586765289306640625;[6, 5, 7, 4, 9, 8, 2, 3, 1]
10;60935;2.09939050674438476562;[6, 5, 7, 4, 8, 9, 2, 3, 1]
10;60934;2.32386016845703125000;[1, 6, 5, 7, 4, 8, 9, 2, 3]
11;61832;2.45703005790710449219;[6, 5, 7, 4, 9, 8, 10, 2, 3, 1]
11;61832;2.46759009361267089844;[6, 5, 7, 4, 8, 9, 10, 2, 3, 1]
11;61832;2.43943810462951660156;[6, 5, 7, 4, 10, 8, 9, 2, 3, 1]
11;61832;2.48048090934753417969;[6, 5, 7, 4, 9, 8, 10, 2, 3, 1]
11;61832;2.48857569694519042969;[6, 5, 7, 4, 10, 8, 9, 2, 3, 1]
11;61832;2.56710290908813476562;[6, 5, 7, 4, 8, 9, 10, 2, 3, 1]
11;61832;2.44013619422912597656;[6, 5, 7, 4, 9, 8, 10, 2, 3, 1]
11;61832;2.52266216278076171875;[6, 5, 7, 4, 9, 8, 10, 2, 3, 1]
11;61832;2.45995378494262695312;[6, 5, 7, 4, 8, 9, 10, 2, 3, 1]
11;61832;2.47267627716064453125;[6, 5, 7, 4, 9, 8, 10, 2, 3, 1]
11;61831;2.45881104469299316406;[1, 6, 5, 7, 4, 10, 8, 9, 2, 3]
11;62655;2.44289851188659667969;[5, 6, 7, 4, 2, 10, 9, 8, 3, 1]
11;61832;3.43356847763061523438;[6, 5, 7, 4, 8, 9, 10, 2, 3, 1]
11;61831;2.44322514533996582031;[1, 6, 5, 7, 4, 10, 9, 8, 2, 3]
11;61832;2.46711778640747070312;[6, 5, 7, 4, 8, 9, 10, 2, 3, 1]
11;61831;2.46573662757873535156;[1, 6, 5, 7, 4, 9, 8, 10, 2, 3]
11;61831;2.47763919830322265625;[1, 6, 5, 7, 4, 10, 8, 9, 2, 3]
11;61832;2.44142508506774902344;[6, 5, 7, 4, 8, 9, 10, 2, 3, 1]
11;61832;2.43026995658874511719;[6, 5, 7, 4, 10, 9, 8, 2, 3, 1]
11;61832;2.46188712120056152344;[6, 5, 7, 4, 10, 8, 9, 2, 3, 1]
11;61832;2.47330260276794433594;[6, 5, 7, 4, 9, 8, 10, 2, 3, 1]
11;61832;2.47727632522583007812;[6, 5, 7, 4, 9, 8, 10, 2, 3, 1]
11;61832;2.45837759971618652344;[6, 5, 7, 4, 10, 9, 8, 2, 3, 1]
11;61832;2.44269728660583496094;[6, 5, 7, 4, 10, 9, 8, 2, 3, 1]
11;61832;2.50283741950988769531;[6, 5, 7, 4, 8, 9, 10, 2, 3, 1]
11;62444;2.51114416122436523438;[1, 5, 6, 7, 4, 8, 9, 10, 2, 3]
11;61831;2.46604442596435546875;[1, 6, 5, 7, 4, 10, 8, 9, 2, 3]
11;61832;2.51653742790222167969;[6, 5, 7, 4, 9, 8, 10, 2, 3, 1]
11;61832;2.47538566589355468750;[6, 5, 7, 4, 10, 8, 9, 2, 3, 1]
11;61832;2.50307488441467285156;[6, 5, 7, 4, 10, 8, 9, 2, 3, 1]
12;63029;2.66484403610229492188;[1, 6, 5, 3, 10, 8, 9, 11, 2, 4, 7]
12;61980;2.72240877151489257812;[6, 5, 7, 4, 8, 9, 11, 10, 2, 3, 1]
12;61980;2.62950015068054199219;[6, 5, 7, 4, 10, 8, 9, 11, 2, 3, 1]
12;61980;2.64713072776794433594;[6, 5, 7, 4, 10, 8, 9, 11, 2, 3, 1]
12;61979;2.67901515960693359375;[1, 6, 5, 7, 4, 10, 11, 9, 8, 2, 3]
12;61980;2.65918588638305664062;[6, 5, 7, 4, 10, 8, 9, 11, 2, 3, 1]
12;61979;2.65910196304321289062;[1, 6, 5, 7, 4, 8, 9, 11, 10, 2, 3]
12;61980;2.64990067481994628906;[6, 5, 7, 4, 10, 11, 9, 8, 2, 3, 1]
12;61980;2.65834140777587890625;[6, 5, 7, 4, 8, 9, 11, 10, 2, 3, 1]
