destinations_count;cost;execution_time;sequence
4;43006;4.77536082267761230469;[1, 2, 3]
4;43006;4.73150277137756347656;[1, 2, 3]
4;43006;4.70812988281250000000;[1, 2, 3]
4;43006;4.75184774398803710938;[1, 2, 3]
4;43006;4.80095601081848144531;[1, 2, 3]
4;43006;4.75525546073913574219;[1, 2, 3]
4;43006;4.72035932540893554688;[1, 2, 3]
4;43006;4.79594874382019042969;[1, 2, 3]
4;43006;4.82285475730895996094;[1, 2, 3]
4;43006;4.73644661903381347656;[1, 2, 3]
4;43006;4.76138877868652343750;[1, 2, 3]
4;43006;4.81338381767272949219;[1, 2, 3]
4;43006;4.76887345314025878906;[1, 2, 3]
4;43006;4.73539447784423828125;[1, 2, 3]
4;43006;4.71145772933959960938;[1, 2, 3]
4;43006;4.72509288787841796875;[1, 2, 3]
4;43006;4.71738290786743164062;[1, 2, 3]
4;43006;4.75197148323059082031;[1, 2, 3]
4;43006;4.73715376853942871094;[1, 2, 3]
4;43006;4.69911718368530273438;[1, 2, 3]
4;43006;4.78067946434020996094;[1, 2, 3]
4;43006;4.73838472366333007812;[1, 2, 3]
4;43006;4.78379893302917480469;[1, 2, 3]
4;43006;4.71898269653320312500;[1, 2, 3]
4;43006;4.72321772575378417969;[1, 2, 3]
4;43006;4.72239899635314941406;[1, 2, 3]
4;43006;4.72117662429809570312;[1, 2, 3]
4;43006;4.74863314628601074219;[1, 2, 3]
4;43006;4.73872613906860351562;[1, 2, 3]
4;43006;4.77837157249450683594;[1, 2, 3]
5;43674;5.34368300437927246094;[1, 4, 2, 3]
5;43674;5.32482814788818359375;[1, 4, 2, 3]
5;43674;5.37203025817871093750;[1, 4, 2, 3]
5;43674;5.31985950469970703125;[1, 4, 2, 3]
5;43674;5.34926176071166992188;[1, 4, 2, 3]
5;43674;5.30964708328247070312;[1, 4, 2, 3]
5;43674;5.30995464324951171875;[1, 4, 2, 3]
5;43674;5.31381797790527343750;[1, 4, 2, 3]
5;43674;5.24356031417846679688;[1, 4, 2, 3]
5;43674;5.27949237823486328125;[1, 4, 2, 3]
5;43674;5.38939499855041503906;[1, 4, 2, 3]
5;43674;5.31206870079040527344;[1, 4, 2, 3]
5;43674;5.34216427803039550781;[1, 4, 2, 3]
5;43674;5.32062983512878417969;[1, 4, 2, 3]
5;43674;5.30248713493347167969;[1, 4, 2, 3]
5;43674;5.33152651786804199219;[1, 4, 2, 3]
5;43674;5.30869030952453613281;[1, 4, 2, 3]
5;43674;5.34128236770629882812;[1, 4, 2, 3]
5;43674;5.37147307395935058594;[1, 4, 2, 3]
5;43674;5.29694533348083496094;[1, 4, 2, 3]
5;43674;5.31656837463378906250;[1, 4, 2, 3]
5;43674;5.33403038978576660156;[1, 4, 2, 3]
5;43674;5.33245849609375000000;[1, 4, 2, 3]
5;43674;5.32255220413208007812;[1, 4, 2, 3]
5;43674;5.26827669143676757812;[1, 4, 2, 3]
5;43674;5.30347537994384765625;[1, 4, 2, 3]
5;43674;5.39080405235290527344;[1, 4, 2, 3]
5;43674;5.33313727378845214844;[1, 4, 2, 3]
5;43674;5.32545137405395507812;[1, 4, 2, 3]
5;43674;5.22750735282897949219;[1, 4, 2, 3]
6;44858;5.78802418708801269531;[1, 5, 4, 2, 3]
6;44858;5.91099119186401367188;[1, 5, 4, 2, 3]
6;44858;5.58546614646911621094;[1, 5, 4, 2, 3]
6;44858;5.54307651519775390625;[1, 5, 4, 2, 3]
6;44858;5.65089464187622070312;[1, 5, 4, 2, 3]
6;44858;5.78886747360229492188;[1, 5, 4, 2, 3]
6;44858;5.61264061927795410156;[1, 5, 4, 2, 3]
6;44858;5.50623607635498046875;[1, 5, 4, 2, 3]
6;44858;5.53056430816650390625;[1, 5, 4, 2, 3]
6;44858;5.78089618682861328125;[1, 5, 4, 2, 3]
6;44858;5.78299713134765625000;[1, 5, 4, 2, 3]
6;44858;5.47060799598693847656;[1, 5, 4, 2, 3]
6;44858;5.57271242141723632812;[1, 5, 4, 2, 3]
6;44858;5.46679401397705078125;[1, 5, 4, 2, 3]
6;44858;5.51596021652221679688;[1, 5, 4, 2, 3]
6;44858;5.48867130279541015625;[1, 5, 4, 2, 3]
6;44858;5.52508997917175292969;[1, 5, 4, 2, 3]
6;44858;5.54822516441345214844;[1, 5, 4, 2, 3]
6;44858;5.59142637252807617188;[1, 5, 4, 2, 3]
6;44858;5.53596425056457519531;[1, 5, 4, 2, 3]
6;44858;5.55707716941833496094;[1, 5, 4, 2, 3]
6;44858;5.52797675132751464844;[1, 5, 4, 2, 3]
6;44858;5.48202586174011230469;[1, 5, 4, 2, 3]
