destinations_count;cost;execution_time;sequence
4;43006;1.38216137886047363281;[1, 2, 3]
4;43006;1.31611466407775878906;[1, 2, 3]
4;43006;1.31997561454772949219;[1, 2, 3]
4;43006;1.48828625679016113281;[1, 2, 3]
4;43006;1.41745066642761230469;[1, 2, 3]
4;43006;1.31527209281921386719;[1, 2, 3]
4;43006;1.32213044166564941406;[1, 2, 3]
4;43006;1.30576658248901367188;[1, 2, 3]
4;43006;1.30468702316284179688;[1, 2, 3]
4;43006;1.32568907737731933594;[1, 2, 3]
4;43006;1.30374073982238769531;[1, 2, 3]
4;43006;1.31669878959655761719;[1, 2, 3]
4;43006;1.34850716590881347656;[1, 2, 3]
4;43006;1.29671216011047363281;[1, 2, 3]
4;43006;1.37833952903747558594;[1, 2, 3]
4;43006;1.30986046791076660156;[1, 2, 3]
4;43006;1.32637810707092285156;[1, 2, 3]
4;43006;1.32306361198425292969;[1, 2, 3]
4;43006;1.29884982109069824219;[1, 2, 3]
4;43006;1.30456805229187011719;[1, 2, 3]
4;43006;1.31282591819763183594;[1, 2, 3]
4;43006;1.30110454559326171875;[1, 2, 3]
4;43006;1.31560826301574707031;[1, 2, 3]
4;43006;1.30955910682678222656;[1, 2, 3]
4;43006;1.41008162498474121094;[1, 2, 3]
4;43006;1.49399113655090332031;[1, 2, 3]
4;43006;1.50034952163696289062;[1, 2, 3]
4;43006;1.40450668334960937500;[1, 2, 3]
4;43006;1.39707684516906738281;[1, 2, 3]
4;43006;1.38629770278930664062;[1, 2, 3]
5;43674;1.49294471740722656250;[1, 4, 2, 3]
5;43674;1.52067685127258300781;[1, 4, 2, 3]
5;43674;1.48190879821777343750;[1, 4, 2, 3]
5;43674;1.48506593704223632812;[1, 4, 2, 3]
5;43674;1.49523210525512695312;[1, 4, 2, 3]
5;43674;1.49961709976196289062;[1, 4, 2, 3]
5;43674;1.48848414421081542969;[1, 4, 2, 3]
5;43674;1.47069549560546875000;[1, 4, 2, 3]
5;43674;1.51851010322570800781;[1, 4, 2, 3]
5;43674;1.48575496673583984375;[1, 4, 2, 3]
5;43674;1.56015872955322265625;[1, 4, 2, 3]
5;43674;1.48288607597351074219;[1, 4, 2, 3]
5;43674;1.49697947502136230469;[1, 4, 2, 3]
5;43674;1.48934984207153320312;[1, 4, 2, 3]
5;43674;1.48464441299438476562;[1, 4, 2, 3]
5;43674;1.47258806228637695312;[1, 4, 2, 3]
5;43674;1.51027822494506835938;[1, 4, 2, 3]
5;43674;1.50214481353759765625;[1, 4, 2, 3]
5;43674;1.48988342285156250000;[1, 4, 2, 3]
5;43674;1.46768212318420410156;[1, 4, 2, 3]
5;43674;1.49228477478027343750;[1, 4, 2, 3]
5;43674;1.47650599479675292969;[1, 4, 2, 3]
5;43674;1.48931908607482910156;[1, 4, 2, 3]
5;43674;1.49298310279846191406;[1, 4, 2, 3]
5;43674;1.49881649017333984375;[1, 4, 2, 3]
5;43674;1.50638937950134277344;[1, 4, 2, 3]
5;43674;1.58840608596801757812;[1, 4, 2, 3]
5;43674;1.57061553001403808594;[1, 4, 2, 3]
5;43674;1.49365592002868652344;[1, 4, 2, 3]
5;43674;1.56084656715393066406;[1, 4, 2, 3]
6;44858;1.64223623275756835938;[1, 5, 4, 2, 3]
6;44858;1.63498997688293457031;[1, 5, 4, 2, 3]
6;44858;1.63426136970520019531;[1, 5, 4, 2, 3]
6;44858;1.61424326896667480469;[1, 5, 4, 2, 3]
6;44858;1.67564463615417480469;[1, 5, 4, 2, 3]
6;44858;1.69250631332397460938;[1, 5, 4, 2, 3]
6;44858;1.67172217369079589844;[1, 5, 4, 2, 3]
6;44858;1.66465020179748535156;[1, 5, 4, 2, 3]
6;44858;1.62409305572509765625;[1, 5, 4, 2, 3]
6;44858;1.65829348564147949219;[1, 5, 4, 2, 3]
6;44858;1.68095970153808593750;[1, 5, 4, 2, 3]
6;44858;1.65531635284423828125;[1, 5, 4, 2, 3]
6;44858;1.73591995239257812500;[1, 5, 4, 2, 3]
6;44858;1.64388370513916015625;[1, 5, 4, 2, 3]
6;44858;1.63784217834472656250;[1, 5, 4, 2, 3]
6;44858;1.69542050361633300781;[1, 5, 4, 2, 3]
6;44858;1.67962861061096191406;[1, 5, 4, 2, 3]
6;44858;1.73827934265136718750;[1, 5, 4, 2, 3]
6;44859;1.65724015235900878906;[5, 4, 2, 3, 1]
6;44858;1.65266180038452148438;[1, 5, 4, 2, 3]
6;44858;1.72494387626647949219;[1, 5, 4, 2, 3]
6;44859;1.64028668403625488281;[5, 4, 2, 3, 1]
6;44858;1.68211126327514648438;[1, 5, 4, 2, 3]
6;44858;1.63652801513671875000;[1, 5, 4, 2, 3]
6;44858;1.66882252693176269531;[1, 5, 4, 2, 3]
6;44858;1.63665771484375000000;[1, 5, 4, 2, 3]
6;44858;1.65429139137268066406;[1, 5, 4, 2, 3]
6;44858;1.74431085586547851562;[1, 5, 4, 2, 3]
6;44858;1.67045116424560546875;[1, 5, 4, 2, 3]
6;44858;1.65991020202636718750;[1, 5, 4, 2, 3]
7;44365;1.70583128929138183594;[1, 6, 5, 4, 2, 3]
7;44365;1.72913360595703125000;[1, 6, 5, 4, 2, 3]
7;44365;1.75177812576293945312;[1, 6, 5, 4, 2, 3]
7;44366;1.70444250106811523438;[6, 5, 4, 2, 3, 1]
7;44365;1.73138093948364257812;[1, 6, 5, 4, 2, 3]
7;44365;1.72770380973815917969;[1, 6, 5, 4, 2, 3]
7;44365;1.70049309730529785156;[1, 6, 5, 4, 2, 3]
7;44365;1.72766494750976562500;[1, 6, 5, 4, 2, 3]
7;44366;1.70164561271667480469;[6, 5, 4, 2, 3, 1]
7;44366;1.71750664710998535156;[6, 5, 4, 2, 3, 1]
7;44365;1.71193790435791015625;[1, 6, 5, 4, 2, 3]
7;44365;1.74756145477294921875;[1, 6, 5, 4, 2, 3]
7;44365;1.69483923912048339844;[1, 6, 5, 4, 2, 3]
7;44365;1.70063424110412597656;[1, 6, 5, 4, 2, 3]
7;44365;1.70380091667175292969;[1, 6, 5, 4, 2, 3]
7;44365;1.71797871589660644531;[1, 6, 5, 4, 2, 3]
7;44365;1.76720237731933593750;[1, 6, 5, 4, 2, 3]
7;44365;1.69968032836914062500;[1, 6, 5, 4, 2, 3]
7;44365;1.78014516830444335938;[1, 6, 5, 4, 2, 3]
7;44365;1.81953668594360351562;[1, 6, 5, 4, 2, 3]
7;44365;1.74277043342590332031;[1, 6, 5, 4, 2, 3]
7;44365;1.83309817314147949219;[1, 6, 5, 4, 2, 3]
7;44365;1.72206091880798339844;[1, 6, 5, 4, 2, 3]
7;44365;1.72802066802978515625;[1, 6, 5, 4, 2, 3]
7;44365;1.74099850654602050781;[1, 6, 5, 4, 2, 3]
7;44365;1.72539615631103515625;[1, 6, 5, 4, 2, 3]
7;44365;1.73438763618469238281;[1, 6, 5, 4, 2, 3]
7;44366;1.72978305816650390625;[6, 5, 4, 2, 3, 1]
7;44365;1.73529028892517089844;[1, 6, 5, 4, 2, 3]
7;44365;1.72240591049194335938;[1, 6, 5, 4, 2, 3]
8;45880;1.79395437240600585938;[6, 5, 7, 4, 2, 3, 1]
8;45879;1.79408740997314453125;[1, 6, 5, 7, 4, 2, 3]
8;45879;1.81330919265747070312;[1, 6, 5, 7, 4, 2, 3]
8;45880;1.80399489402770996094;[6, 5, 7, 4, 2, 3, 1]
8;45879;1.80941224098205566406;[1, 6, 5, 7, 4, 2, 3]
8;46930;1.78541493415832519531;[1, 6, 5, 4, 2, 3, 7]
8;45879;1.85487961769104003906;[1, 6, 5, 7, 4, 2, 3]
8;45879;1.79387426376342773438;[1, 6, 5, 7, 4, 2, 3]
8;45880;1.82286977767944335938;[6, 5, 7, 4, 2, 3, 1]
8;45880;1.79659485816955566406;[6, 5, 7, 4, 2, 3, 1]
8;45880;1.78106355667114257812;[6, 5, 7, 4, 2, 3, 1]
8;45880;1.81355071067810058594;[6, 5, 7, 4, 2, 3, 1]
8;45880;1.79303050041198730469;[6, 5, 7, 4, 2, 3, 1]
8;45879;1.79093027114868164062;[1, 6, 5, 7, 4, 2, 3]
8;45880;1.82358551025390625000;[6, 5, 7, 4, 2, 3, 1]
8;45879;1.78851842880249023438;[1, 6, 5, 7, 4, 2, 3]
8;46930;1.80308532714843750000;[1, 6, 5, 2, 3, 4, 7]
8;45879;1.78173589706420898438;[1, 6, 5, 7, 4, 2, 3]
8;46492;2.50627231597900390625;[1, 5, 6, 7, 4, 2, 3]
8;45880;1.79984593391418457031;[6, 5, 7, 4, 2, 3, 1]
8;45879;1.81939911842346191406;[1, 6, 5, 7, 4, 2, 3]
8;45879;1.77993178367614746094;[1, 6, 5, 7, 4, 2, 3]
8;45880;1.84845852851867675781;[6, 5, 7, 4, 2, 3, 1]
8;45879;1.83381962776184082031;[1, 6, 5, 7, 4, 2, 3]
8;45880;1.77958178520202636719;[6, 5, 7, 4, 2, 3, 1]
8;45879;1.81374549865722656250;[1, 6, 5, 7, 4, 2, 3]
8;45880;1.80312943458557128906;[6, 5, 7, 4, 2, 3, 1]
8;45880;1.78767991065979003906;[6, 5, 7, 4, 2, 3, 1]
8;45880;1.80905890464782714844;[6, 5, 7, 4, 2, 3, 1]
8;45879;1.79918122291564941406;[1, 6, 5, 7, 4, 2, 3]
9;56868;1.94587540626525878906;[6, 5, 7, 4, 8, 2, 3, 1]
9;56868;1.94661569595336914062;[6, 5, 7, 4, 8, 2, 3, 1]
9;57692;1.94181442260742187500;[5, 6, 7, 4, 2, 8, 3, 1]
9;56867;1.95097351074218750000;[1, 6, 5, 7, 4, 8, 2, 3]
