destinations_count;cost;execution_time;sequence
4;43006;1.36588311195373535156;[1, 2, 3]
4;43006;1.36037588119506835938;[1, 2, 3]
4;43006;1.36286640167236328125;[1, 2, 3]
4;43006;1.37974047660827636719;[1, 2, 3]
4;43006;1.36480236053466796875;[1, 2, 3]
4;43006;1.35785388946533203125;[1, 2, 3]
4;43006;1.35844230651855468750;[1, 2, 3]
4;43006;1.35157823562622070312;[1, 2, 3]
4;43006;1.36492133140563964844;[1, 2, 3]
4;43006;1.34757900238037109375;[1, 2, 3]
4;43006;1.36350893974304199219;[1, 2, 3]
4;43006;1.35633420944213867188;[1, 2, 3]
4;43006;1.36512351036071777344;[1, 2, 3]
4;43006;1.37509179115295410156;[1, 2, 3]
4;43006;1.37067437171936035156;[1, 2, 3]
4;43006;1.41286373138427734375;[1, 2, 3]
4;43006;1.35550880432128906250;[1, 2, 3]
4;43006;1.36654210090637207031;[1, 2, 3]
4;43006;1.36129069328308105469;[1, 2, 3]
4;43006;1.35339498519897460938;[1, 2, 3]
4;43006;1.38745284080505371094;[1, 2, 3]
4;43006;1.37085056304931640625;[1, 2, 3]
4;43006;1.35972142219543457031;[1, 2, 3]
4;43006;1.36097717285156250000;[1, 2, 3]
4;43006;1.36685824394226074219;[1, 2, 3]
4;43006;1.35241770744323730469;[1, 2, 3]
4;43006;1.37457299232482910156;[1, 2, 3]
4;43006;1.35945606231689453125;[1, 2, 3]
4;43006;1.36536765098571777344;[1, 2, 3]
4;43006;1.36238169670104980469;[1, 2, 3]
5;43674;1.45342111587524414062;[1, 4, 2, 3]
5;43674;1.45770883560180664062;[1, 4, 2, 3]
5;43674;1.45389866828918457031;[1, 4, 2, 3]
5;43674;1.46302056312561035156;[1, 4, 2, 3]
5;43674;1.44536352157592773438;[1, 4, 2, 3]
5;43674;1.47539734840393066406;[1, 4, 2, 3]
5;43674;1.45837235450744628906;[1, 4, 2, 3]
5;43674;1.44640779495239257812;[1, 4, 2, 3]
5;43674;1.45702743530273437500;[1, 4, 2, 3]
5;43674;1.43783998489379882812;[1, 4, 2, 3]
