destinations_count;cost;execution_time;sequence
4;43006;1.36611604690551757812;[1, 2, 3]
4;43006;1.33963370323181152344;[1, 2, 3]
4;43006;1.36800456047058105469;[1, 2, 3]
4;43006;1.36176466941833496094;[1, 2, 3]
4;43006;1.38129854202270507812;[1, 2, 3]
4;43006;1.36984276771545410156;[1, 2, 3]
4;43006;1.36064815521240234375;[1, 2, 3]
4;43006;1.33396911621093750000;[1, 2, 3]
4;43006;1.36194801330566406250;[1, 2, 3]
4;43006;1.36400198936462402344;[1, 2, 3]
4;43006;1.34521341323852539062;[1, 2, 3]
4;43006;1.35324549674987792969;[1, 2, 3]
4;43006;1.34948635101318359375;[1, 2, 3]
4;43006;1.34331655502319335938;[1, 2, 3]
4;43006;1.37393212318420410156;[1, 2, 3]
4;43006;1.34761905670166015625;[1, 2, 3]
4;43006;1.37203407287597656250;[1, 2, 3]
4;43006;1.36208939552307128906;[1, 2, 3]
4;43006;1.36793899536132812500;[1, 2, 3]
4;43006;1.36786532402038574219;[1, 2, 3]
4;43006;1.36414861679077148438;[1, 2, 3]
4;43006;1.33163022994995117188;[1, 2, 3]
4;43006;1.35443902015686035156;[1, 2, 3]
4;43006;1.36389684677124023438;[1, 2, 3]
4;43006;1.33450508117675781250;[1, 2, 3]
4;43006;1.34142518043518066406;[1, 2, 3]
4;43006;1.35437703132629394531;[1, 2, 3]
4;43006;1.35999655723571777344;[1, 2, 3]
4;43006;1.34729528427124023438;[1, 2, 3]
4;43006;1.36755633354187011719;[1, 2, 3]
5;43674;1.54684019088745117188;[1, 4, 2, 3]
5;43674;1.53094267845153808594;[1, 4, 2, 3]
5;43674;1.50210142135620117188;[1, 4, 2, 3]
5;43674;1.51634287834167480469;[1, 4, 2, 3]
5;43674;1.52387881278991699219;[1, 4, 2, 3]
5;43674;1.51968407630920410156;[1, 4, 2, 3]
5;43674;1.53384590148925781250;[1, 4, 2, 3]
5;43674;1.52709841728210449219;[1, 4, 2, 3]
5;43674;1.51940512657165527344;[1, 4, 2, 3]
5;43674;1.50604557991027832031;[1, 4, 2, 3]
5;43674;1.53584742546081542969;[1, 4, 2, 3]
5;43674;1.52302479743957519531;[1, 4, 2, 3]
5;43674;1.52739238739013671875;[1, 4, 2, 3]
5;43674;1.52321314811706542969;[1, 4, 2, 3]
5;43674;1.53317022323608398438;[1, 4, 2, 3]
5;43674;1.53378367424011230469;[1, 4, 2, 3]
5;43674;1.52803301811218261719;[1, 4, 2, 3]
5;43674;1.56276512145996093750;[1, 4, 2, 3]
5;43674;1.52765274047851562500;[1, 4, 2, 3]
5;43674;1.51674151420593261719;[1, 4, 2, 3]
5;43674;1.53701186180114746094;[1, 4, 2, 3]
5;43674;1.54683613777160644531;[1, 4, 2, 3]
5;43674;1.53532576560974121094;[1, 4, 2, 3]
5;43674;1.55893158912658691406;[1, 4, 2, 3]
5;43674;1.53311634063720703125;[1, 4, 2, 3]
5;43674;1.54198551177978515625;[1, 4, 2, 3]
5;43674;1.51048564910888671875;[1, 4, 2, 3]
5;43674;1.51901841163635253906;[1, 4, 2, 3]
5;43674;1.53383231163024902344;[1, 4, 2, 3]
5;43674;1.54047465324401855469;[1, 4, 2, 3]
6;44858;1.60338282585144042969;[1, 5, 4, 2, 3]
6;44858;1.59343504905700683594;[1, 5, 4, 2, 3]
6;44858;1.62942743301391601562;[1, 5, 4, 2, 3]
6;44858;1.59025716781616210938;[1, 5, 4, 2, 3]
6;44858;1.59810328483581542969;[1, 5, 4, 2, 3]
6;44858;1.60973978042602539062;[1, 5, 4, 2, 3]
6;44858;1.60829019546508789062;[1, 5, 4, 2, 3]
6;44858;1.60117292404174804688;[1, 5, 4, 2, 3]
6;44858;1.58430290222167968750;[1, 5, 4, 2, 3]
6;44858;1.58950233459472656250;[1, 5, 4, 2, 3]
6;44858;1.62336277961730957031;[1, 5, 4, 2, 3]
6;44858;1.60128712654113769531;[1, 5, 4, 2, 3]
6;44858;1.60312557220458984375;[1, 5, 4, 2, 3]
6;44858;1.61801266670227050781;[1, 5, 4, 2, 3]
6;44858;1.60386776924133300781;[1, 5, 4, 2, 3]
6;44858;1.60516071319580078125;[1, 5, 4, 2, 3]
6;44858;1.57153820991516113281;[1, 5, 4, 2, 3]
6;44858;1.61041951179504394531;[1, 5, 4, 2, 3]
6;44858;1.61933946609497070312;[1, 5, 4, 2, 3]
6;44858;1.57695603370666503906;[1, 5, 4, 2, 3]
6;44858;1.59758329391479492188;[1, 5, 4, 2, 3]
6;44858;1.63418245315551757812;[1, 5, 4, 2, 3]
