destinations_count;cost;execution_time;sequence
4;43006;1.22575569152832031250;[1, 2, 3]
4;43006;1.21679949760437011719;[1, 2, 3]
4;43006;1.25289487838745117188;[1, 2, 3]
4;43006;1.25237059593200683594;[1, 2, 3]
4;43006;1.21405625343322753906;[1, 2, 3]
4;43006;1.23662304878234863281;[1, 2, 3]
4;43006;1.21132421493530273438;[1, 2, 3]
4;43006;1.25077009201049804688;[1, 2, 3]
4;43006;1.19520998001098632812;[1, 2, 3]
4;43006;1.21785569190979003906;[1, 2, 3]
4;43006;1.23188900947570800781;[1, 2, 3]
4;43006;1.22029376029968261719;[1, 2, 3]
4;43006;1.23928570747375488281;[1, 2, 3]
4;43006;1.21385502815246582031;[1, 2, 3]
4;43006;1.21211242675781250000;[1, 2, 3]
4;43006;1.21571683883666992188;[1, 2, 3]
4;43006;1.20266151428222656250;[1, 2, 3]
4;43006;1.21490597724914550781;[1, 2, 3]
4;43006;1.21631097793579101562;[1, 2, 3]
4;43006;1.24260663986206054688;[1, 2, 3]
4;43006;1.24399590492248535156;[1, 2, 3]
4;43006;1.22204971313476562500;[1, 2, 3]
4;43006;1.20801997184753417969;[1, 2, 3]
4;43006;1.22073793411254882812;[1, 2, 3]
4;43006;1.23144769668579101562;[1, 2, 3]
4;43006;1.22052502632141113281;[1, 2, 3]
4;43006;1.22997069358825683594;[1, 2, 3]
4;43006;1.23296356201171875000;[1, 2, 3]
4;43006;1.29728126525878906250;[1, 2, 3]
4;43006;1.31273603439331054688;[1, 2, 3]
5;43674;1.47743654251098632812;[1, 4, 2, 3]
5;43674;1.49863147735595703125;[1, 4, 2, 3]
5;43674;1.47466969490051269531;[1, 4, 2, 3]
5;43674;1.48017287254333496094;[1, 4, 2, 3]
5;43674;1.48216319084167480469;[1, 4, 2, 3]
5;43674;1.48477506637573242188;[1, 4, 2, 3]
5;43674;1.46554541587829589844;[1, 4, 2, 3]
5;43674;1.46231436729431152344;[1, 4, 2, 3]
5;43674;1.48885345458984375000;[1, 4, 2, 3]
5;43674;1.47195577621459960938;[1, 4, 2, 3]
5;43674;1.49171805381774902344;[1, 4, 2, 3]
5;43674;1.47228646278381347656;[1, 4, 2, 3]
5;43674;1.47244000434875488281;[1, 4, 2, 3]
5;43674;1.47159457206726074219;[1, 4, 2, 3]
5;43674;1.47815179824829101562;[1, 4, 2, 3]
5;43674;1.48658800125122070312;[1, 4, 2, 3]
5;43674;1.46268558502197265625;[1, 4, 2, 3]
5;43674;1.47754454612731933594;[1, 4, 2, 3]
5;43674;1.48124361038208007812;[1, 4, 2, 3]
5;43674;1.47255992889404296875;[1, 4, 2, 3]
5;43674;1.46802878379821777344;[1, 4, 2, 3]
5;43674;1.47726964950561523438;[1, 4, 2, 3]
5;43674;1.47054910659790039062;[1, 4, 2, 3]
5;43674;1.48536562919616699219;[1, 4, 2, 3]
5;43674;1.50577902793884277344;[1, 4, 2, 3]
5;43674;1.46261477470397949219;[1, 4, 2, 3]
5;43674;1.47611451148986816406;[1, 4, 2, 3]
5;43674;1.48180294036865234375;[1, 4, 2, 3]
5;43674;1.48372030258178710938;[1, 4, 2, 3]
5;43674;1.48971295356750488281;[1, 4, 2, 3]
6;44858;1.56220054626464843750;[1, 5, 4, 2, 3]
6;44858;1.53139519691467285156;[1, 5, 4, 2, 3]
6;44858;1.52991104125976562500;[1, 5, 4, 2, 3]
6;44858;1.53709602355957031250;[1, 5, 4, 2, 3]
6;44858;1.58074474334716796875;[1, 5, 4, 2, 3]
6;44858;1.55443596839904785156;[1, 5, 4, 2, 3]
6;44858;1.55141949653625488281;[1, 5, 4, 2, 3]
6;44858;1.55113649368286132812;[1, 5, 4, 2, 3]
6;44858;1.56474089622497558594;[1, 5, 4, 2, 3]
6;44858;1.53976082801818847656;[1, 5, 4, 2, 3]
6;44858;1.55828928947448730469;[1, 5, 4, 2, 3]
6;44858;1.53283810615539550781;[1, 5, 4, 2, 3]
6;44858;1.57545590400695800781;[1, 5, 4, 2, 3]
6;44858;1.54373335838317871094;[1, 5, 4, 2, 3]
6;44858;1.52807569503784179688;[1, 5, 4, 2, 3]
6;44858;1.55453586578369140625;[1, 5, 4, 2, 3]
6;44858;1.52623438835144042969;[1, 5, 4, 2, 3]
6;44858;1.53967475891113281250;[1, 5, 4, 2, 3]
6;44858;1.55533957481384277344;[1, 5, 4, 2, 3]
6;44858;1.55421018600463867188;[1, 5, 4, 2, 3]
6;44858;1.53251171112060546875;[1, 5, 4, 2, 3]
6;44858;1.56643223762512207031;[1, 5, 4, 2, 3]
6;44858;1.54053473472595214844;[1, 5, 4, 2, 3]
6;44858;1.54550981521606445312;[1, 5, 4, 2, 3]
6;44858;1.54865646362304687500;[1, 5, 4, 2, 3]
6;44858;1.55956983566284179688;[1, 5, 4, 2, 3]
6;44858;1.54379367828369140625;[1, 5, 4, 2, 3]
6;44858;1.56256771087646484375;[1, 5, 4, 2, 3]
6;44858;1.55051445960998535156;[1, 5, 4, 2, 3]
6;44858;1.54789185523986816406;[1, 5, 4, 2, 3]
7;44366;1.71959185600280761719;[6, 5, 4, 2, 3, 1]
7;44365;1.69223928451538085938;[1, 6, 5, 4, 2, 3]
7;44365;1.70895671844482421875;[1, 6, 5, 4, 2, 3]
7;44365;1.69512867927551269531;[1, 6, 5, 4, 2, 3]
7;44365;1.69437456130981445312;[1, 6, 5, 4, 2, 3]
7;44365;1.71692967414855957031;[1, 6, 5, 4, 2, 3]
7;44365;1.71273374557495117188;[1, 6, 5, 4, 2, 3]
7;44365;1.71087169647216796875;[1, 6, 5, 4, 2, 3]
7;44365;1.70928740501403808594;[1, 6, 5, 4, 2, 3]
7;44365;1.71173906326293945312;[1, 6, 5, 4, 2, 3]
7;44365;1.70470809936523437500;[1, 6, 5, 4, 2, 3]
7;44366;1.70761084556579589844;[6, 5, 4, 2, 3, 1]
7;44365;1.67237877845764160156;[1, 6, 5, 4, 2, 3]
7;44365;1.69160342216491699219;[1, 6, 5, 4, 2, 3]
7;44365;1.69457459449768066406;[1, 6, 5, 4, 2, 3]
7;44365;1.71764159202575683594;[1, 6, 5, 4, 2, 3]
7;44365;1.68047499656677246094;[1, 6, 5, 4, 2, 3]
7;44365;1.72493553161621093750;[1, 6, 5, 4, 2, 3]
7;44365;1.73910117149353027344;[1, 6, 5, 4, 2, 3]
7;44365;1.69533419609069824219;[1, 6, 5, 4, 2, 3]
7;44365;1.67855453491210937500;[1, 6, 5, 4, 2, 3]
7;44366;1.69469356536865234375;[6, 5, 4, 2, 3, 1]
7;44365;1.69245362281799316406;[1, 6, 5, 4, 2, 3]
7;44366;1.71557021141052246094;[6, 5, 4, 2, 3, 1]
7;44365;1.68743824958801269531;[1, 6, 5, 4, 2, 3]
7;44365;1.68501615524291992188;[1, 6, 5, 4, 2, 3]
7;44365;1.68071341514587402344;[1, 6, 5, 4, 2, 3]
7;44365;1.71391224861145019531;[1, 6, 5, 4, 2, 3]
7;44365;1.68668699264526367188;[1, 6, 5, 4, 2, 3]
7;44366;1.70373272895812988281;[6, 5, 4, 2, 3, 1]
8;45879;1.77887439727783203125;[1, 6, 5, 7, 4, 2, 3]
8;45880;1.75085330009460449219;[6, 5, 7, 4, 2, 3, 1]
8;45880;1.77143621444702148438;[6, 5, 7, 4, 2, 3, 1]
8;45879;1.79862594604492187500;[1, 6, 5, 7, 4, 2, 3]
8;45879;1.74900126457214355469;[1, 6, 5, 7, 4, 2, 3]
8;45879;1.77529859542846679688;[1, 6, 5, 7, 4, 2, 3]
8;45879;1.75358843803405761719;[1, 6, 5, 7, 4, 2, 3]
8;45880;1.76864719390869140625;[6, 5, 7, 4, 2, 3, 1]
8;45880;1.76136708259582519531;[6, 5, 7, 4, 2, 3, 1]
8;45880;1.75725150108337402344;[6, 5, 7, 4, 2, 3, 1]
8;45879;1.75926995277404785156;[1, 6, 5, 7, 4, 2, 3]
8;45880;1.78798985481262207031;[6, 5, 7, 4, 2, 3, 1]
8;45879;1.77199792861938476562;[1, 6, 5, 7, 4, 2, 3]
8;45879;1.78870797157287597656;[1, 6, 5, 7, 4, 2, 3]
8;45879;1.75255346298217773438;[1, 6, 5, 7, 4, 2, 3]
8;45880;1.76981520652770996094;[6, 5, 7, 4, 2, 3, 1]
8;45880;1.79225659370422363281;[6, 5, 7, 4, 2, 3, 1]
8;45880;1.79343748092651367188;[6, 5, 7, 4, 2, 3, 1]
8;45879;1.76345753669738769531;[1, 6, 5, 7, 4, 2, 3]
8;45879;1.76781344413757324219;[1, 6, 5, 7, 4, 2, 3]
8;45880;1.78722858428955078125;[6, 5, 7, 4, 2, 3, 1]
8;45880;1.79262304306030273438;[6, 5, 7, 4, 2, 3, 1]
8;45879;1.76090526580810546875;[1, 6, 5, 7, 4, 2, 3]
8;45880;1.79166722297668457031;[6, 5, 7, 4, 2, 3, 1]
8;45880;1.76763057708740234375;[6, 5, 7, 4, 2, 3, 1]
8;45879;1.77860236167907714844;[1, 6, 5, 7, 4, 2, 3]
8;45879;1.79438734054565429688;[1, 6, 5, 7, 4, 2, 3]
8;45880;1.81247568130493164062;[6, 5, 7, 4, 2, 3, 1]
8;45880;1.79777097702026367188;[6, 5, 7, 4, 2, 3, 1]
8;45880;1.77580809593200683594;[6, 5, 7, 4, 2, 3, 1]
9;56868;1.82867050170898437500;[6, 5, 7, 4, 8, 2, 3, 1]
9;57918;1.83719253540039062500;[1, 6, 5, 3, 8, 2, 4, 7]
9;56868;1.85417842864990234375;[6, 5, 7, 4, 8, 2, 3, 1]
9;56868;1.83050465583801269531;[6, 5, 7, 4, 8, 2, 3, 1]
9;56868;1.82530927658081054688;[6, 5, 7, 4, 8, 2, 3, 1]
9;56868;1.83891367912292480469;[6, 5, 7, 4, 8, 2, 3, 1]
