destinations_count;cost;execution_time;sequence
4;43006;1.39534902572631835938;[1, 2, 3]
4;43006;1.41159439086914062500;[1, 2, 3]
4;43006;1.42274689674377441406;[1, 2, 3]
4;43006;1.40014052391052246094;[1, 2, 3]
4;43006;1.41919445991516113281;[1, 2, 3]
4;43006;1.38519859313964843750;[1, 2, 3]
4;43006;1.39792203903198242188;[1, 2, 3]
4;43006;1.40697813034057617188;[1, 2, 3]
4;43006;1.39946675300598144531;[1, 2, 3]
4;43006;1.39776253700256347656;[1, 2, 3]
4;43006;1.37534332275390625000;[1, 2, 3]
4;43006;1.41139292716979980469;[1, 2, 3]
4;43006;1.39018416404724121094;[1, 2, 3]
4;43006;1.41446805000305175781;[1, 2, 3]
4;43006;1.38708782196044921875;[1, 2, 3]
4;43006;1.40223765373229980469;[1, 2, 3]
4;43006;1.42059826850891113281;[1, 2, 3]
4;43006;1.40908241271972656250;[1, 2, 3]
4;43006;1.39325094223022460938;[1, 2, 3]
4;43006;1.40135073661804199219;[1, 2, 3]
4;43006;1.41182184219360351562;[1, 2, 3]
4;43006;1.41039657592773437500;[1, 2, 3]
4;43006;1.41471076011657714844;[1, 2, 3]
4;43006;1.38789629936218261719;[1, 2, 3]
4;43006;1.38921284675598144531;[1, 2, 3]
4;43006;1.40527558326721191406;[1, 2, 3]
4;43006;1.40740799903869628906;[1, 2, 3]
4;43006;1.39480853080749511719;[1, 2, 3]
4;43006;1.39582037925720214844;[1, 2, 3]
4;43006;1.40504765510559082031;[1, 2, 3]
5;43674;1.60695123672485351562;[1, 4, 2, 3]
5;43674;1.57557582855224609375;[1, 4, 2, 3]
5;43674;1.60257577896118164062;[1, 4, 2, 3]
5;43674;1.60155129432678222656;[1, 4, 2, 3]
5;43674;1.57691621780395507812;[1, 4, 2, 3]
5;43674;1.55974483489990234375;[1, 4, 2, 3]
5;43674;1.58222270011901855469;[1, 4, 2, 3]
5;43674;1.59007358551025390625;[1, 4, 2, 3]
5;43674;1.57698655128479003906;[1, 4, 2, 3]
5;43674;1.59748649597167968750;[1, 4, 2, 3]
