destinations_count;cost;execution_time;sequence
4;43006;1.33971595764160156250;[1, 2, 3]
4;43006;1.32909464836120605469;[1, 2, 3]
4;43006;1.38489031791687011719;[1, 2, 3]
4;43006;1.34444332122802734375;[1, 2, 3]
4;43006;1.34184837341308593750;[1, 2, 3]
4;43006;1.33718609809875488281;[1, 2, 3]
4;43006;1.43803310394287109375;[1, 2, 3]
4;43006;1.33634233474731445312;[1, 2, 3]
4;43006;1.33985710144042968750;[1, 2, 3]
4;43006;1.48597121238708496094;[1, 2, 3]
4;43006;1.35265755653381347656;[1, 2, 3]
4;43006;1.35039782524108886719;[1, 2, 3]
4;43006;1.33437228202819824219;[1, 2, 3]
4;43006;1.34228086471557617188;[1, 2, 3]
4;43006;1.33232569694519042969;[1, 2, 3]
4;43006;1.33356094360351562500;[1, 2, 3]
4;43006;1.37329149246215820312;[1, 2, 3]
4;43006;1.33692502975463867188;[1, 2, 3]
4;43006;1.34165382385253906250;[1, 2, 3]
4;43006;1.33074712753295898438;[1, 2, 3]
4;43006;1.37704515457153320312;[1, 2, 3]
4;43006;1.34481549263000488281;[1, 2, 3]
4;43006;1.34249877929687500000;[1, 2, 3]
4;43006;1.32776117324829101562;[1, 2, 3]
4;43006;1.54772090911865234375;[1, 2, 3]
4;43006;1.33001971244812011719;[1, 2, 3]
4;43006;1.33209300041198730469;[1, 2, 3]
4;43006;1.39980101585388183594;[1, 2, 3]
4;43006;1.36471676826477050781;[1, 2, 3]
4;43006;1.34256458282470703125;[1, 2, 3]
5;43674;1.43583178520202636719;[1, 4, 2, 3]
5;43674;1.42652893066406250000;[1, 4, 2, 3]
5;43674;1.44251942634582519531;[1, 4, 2, 3]
5;43674;1.42658305168151855469;[1, 4, 2, 3]
5;43674;1.43305659294128417969;[1, 4, 2, 3]
5;43674;1.43759059906005859375;[1, 4, 2, 3]
5;43674;1.43741393089294433594;[1, 4, 2, 3]
5;43674;1.42258763313293457031;[1, 4, 2, 3]
5;43674;1.44049835205078125000;[1, 4, 2, 3]
5;43674;1.42840194702148437500;[1, 4, 2, 3]
5;43674;1.43750548362731933594;[1, 4, 2, 3]
5;43674;1.43571519851684570312;[1, 4, 2, 3]
5;43674;1.42721080780029296875;[1, 4, 2, 3]
5;43674;1.41692471504211425781;[1, 4, 2, 3]
5;43674;1.42380952835083007812;[1, 4, 2, 3]
5;43674;1.42406153678894042969;[1, 4, 2, 3]
5;43674;1.43013620376586914062;[1, 4, 2, 3]
5;43674;1.44942593574523925781;[1, 4, 2, 3]
5;43674;1.43337059020996093750;[1, 4, 2, 3]
5;43674;1.43503904342651367188;[1, 4, 2, 3]
5;43674;1.45152211189270019531;[1, 4, 2, 3]
5;43674;1.45081400871276855469;[1, 4, 2, 3]
5;43674;1.42881608009338378906;[1, 4, 2, 3]
5;43674;1.42691564559936523438;[1, 4, 2, 3]
5;43674;1.46476864814758300781;[1, 4, 2, 3]
5;43674;1.42440700531005859375;[1, 4, 2, 3]
5;43674;1.41678118705749511719;[1, 4, 2, 3]
5;43674;1.41043210029602050781;[1, 4, 2, 3]
5;43674;1.43417406082153320312;[1, 4, 2, 3]
5;43674;1.44838261604309082031;[1, 4, 2, 3]
6;44858;1.56815314292907714844;[1, 5, 4, 2, 3]
6;44858;1.58796310424804687500;[1, 5, 4, 2, 3]
6;44858;1.57229399681091308594;[1, 5, 4, 2, 3]
6;44858;1.58380627632141113281;[1, 5, 4, 2, 3]
6;44858;1.55749964714050292969;[1, 5, 4, 2, 3]
6;44858;1.60847377777099609375;[1, 5, 4, 2, 3]
6;44858;1.59083986282348632812;[1, 5, 4, 2, 3]
6;44858;1.58033585548400878906;[1, 5, 4, 2, 3]
6;44858;1.58853769302368164062;[1, 5, 4, 2, 3]
6;44858;1.59547519683837890625;[1, 5, 4, 2, 3]
6;44858;1.63078331947326660156;[1, 5, 4, 2, 3]
6;44858;1.57394313812255859375;[1, 5, 4, 2, 3]
6;44858;1.57148504257202148438;[1, 5, 4, 2, 3]
6;44858;1.60164165496826171875;[1, 5, 4, 2, 3]
6;44858;1.64516425132751464844;[1, 5, 4, 2, 3]
6;44858;1.59368181228637695312;[1, 5, 4, 2, 3]
6;44858;1.58684134483337402344;[1, 5, 4, 2, 3]
6;44858;1.76522231101989746094;[1, 5, 4, 2, 3]
6;44858;1.58109331130981445312;[1, 5, 4, 2, 3]
6;44858;1.57444620132446289062;[1, 5, 4, 2, 3]
6;44858;1.76328992843627929688;[1, 5, 4, 2, 3]
6;44858;1.57681059837341308594;[1, 5, 4, 2, 3]
6;44858;1.57351398468017578125;[1, 5, 4, 2, 3]
6;44858;1.75434875488281250000;[1, 5, 4, 2, 3]
6;44858;1.57455945014953613281;[1, 5, 4, 2, 3]
6;44858;1.59972906112670898438;[1, 5, 4, 2, 3]
6;44858;1.58878111839294433594;[1, 5, 4, 2, 3]
6;44858;1.57096123695373535156;[1, 5, 4, 2, 3]
6;44858;1.61592078208923339844;[1, 5, 4, 2, 3]
6;44858;1.59476041793823242188;[1, 5, 4, 2, 3]
7;44365;1.66523218154907226562;[1, 6, 5, 4, 2, 3]
7;44365;1.68421173095703125000;[1, 6, 5, 4, 2, 3]
7;44365;1.65429043769836425781;[1, 6, 5, 4, 2, 3]
7;44365;1.66521739959716796875;[1, 6, 5, 4, 2, 3]
7;44365;1.65544056892395019531;[1, 6, 5, 4, 2, 3]
7;44365;1.66571736335754394531;[1, 6, 5, 4, 2, 3]
7;44366;1.65207290649414062500;[6, 5, 4, 2, 3, 1]
7;44365;1.65341567993164062500;[1, 6, 5, 4, 2, 3]
7;44365;1.66700148582458496094;[1, 6, 5, 4, 2, 3]
7;44366;1.66658353805541992188;[6, 5, 4, 2, 3, 1]
7;44366;1.69929766654968261719;[6, 5, 4, 2, 3, 1]
7;44365;1.63688135147094726562;[1, 6, 5, 4, 2, 3]
7;44365;1.66190457344055175781;[1, 6, 5, 4, 2, 3]
7;44365;1.67676615715026855469;[1, 6, 5, 4, 2, 3]
7;44365;1.65996813774108886719;[1, 6, 5, 4, 2, 3]
7;44365;1.68288731575012207031;[1, 6, 5, 4, 2, 3]
7;44365;1.71403741836547851562;[1, 6, 5, 4, 2, 3]
7;44365;1.68595242500305175781;[1, 6, 5, 4, 2, 3]
7;44365;1.69829940795898437500;[1, 6, 5, 4, 2, 3]
7;44365;1.73339080810546875000;[1, 6, 5, 4, 2, 3]
7;44366;1.63483762741088867188;[6, 5, 4, 2, 3, 1]
7;44365;1.66928911209106445312;[1, 6, 5, 4, 2, 3]
7;44365;1.81938815116882324219;[1, 6, 5, 4, 2, 3]
7;44366;1.69917941093444824219;[6, 5, 4, 2, 3, 1]
7;44365;1.67635464668273925781;[1, 6, 5, 4, 2, 3]
7;44365;1.80067420005798339844;[1, 6, 5, 4, 2, 3]
7;44365;1.65182828903198242188;[1, 6, 5, 4, 2, 3]
7;44365;1.65852808952331542969;[1, 6, 5, 4, 2, 3]
7;44365;1.66857600212097167969;[1, 6, 5, 4, 2, 3]
7;44365;1.66513943672180175781;[1, 6, 5, 4, 2, 3]
