destinations_count;cost;execution_time;sequence
4;43006;1.24976611137390136719;[1, 2, 3]
4;43006;1.26576399803161621094;[1, 2, 3]
4;43006;1.26657819747924804688;[1, 2, 3]
4;43006;1.25417780876159667969;[1, 2, 3]
4;43006;1.25873136520385742188;[1, 2, 3]
4;43006;1.28575205802917480469;[1, 2, 3]
4;43006;1.26295709609985351562;[1, 2, 3]
4;43006;1.25264072418212890625;[1, 2, 3]
4;43006;1.25495958328247070312;[1, 2, 3]
4;43006;1.29127025604248046875;[1, 2, 3]
4;43006;1.26729011535644531250;[1, 2, 3]
4;43006;1.27768778800964355469;[1, 2, 3]
4;43006;1.26659035682678222656;[1, 2, 3]
4;43006;1.26770210266113281250;[1, 2, 3]
4;43006;1.40756297111511230469;[1, 2, 3]
4;43006;1.40957117080688476562;[1, 2, 3]
4;43006;1.26445436477661132812;[1, 2, 3]
4;43006;1.25540399551391601562;[1, 2, 3]
4;43006;1.27657747268676757812;[1, 2, 3]
4;43006;1.27707004547119140625;[1, 2, 3]
4;43006;1.27393507957458496094;[1, 2, 3]
4;43006;1.26069331169128417969;[1, 2, 3]
4;43006;1.25054192543029785156;[1, 2, 3]
4;43006;1.28096055984497070312;[1, 2, 3]
4;43006;1.28177475929260253906;[1, 2, 3]
4;43006;1.35231328010559082031;[1, 2, 3]
4;43006;1.36950397491455078125;[1, 2, 3]
4;43006;1.35982728004455566406;[1, 2, 3]
4;43006;1.34903144836425781250;[1, 2, 3]
4;43006;1.34997439384460449219;[1, 2, 3]
5;43674;1.44864773750305175781;[1, 4, 2, 3]
5;43674;1.44799590110778808594;[1, 4, 2, 3]
5;43674;1.44663262367248535156;[1, 4, 2, 3]
5;43674;1.46520566940307617188;[1, 4, 2, 3]
5;43674;1.44324398040771484375;[1, 4, 2, 3]
5;43674;1.44336414337158203125;[1, 4, 2, 3]
5;43674;1.43386077880859375000;[1, 4, 2, 3]
5;43674;1.46451854705810546875;[1, 4, 2, 3]
5;43674;1.46409320831298828125;[1, 4, 2, 3]
5;43674;1.43137955665588378906;[1, 4, 2, 3]
5;43674;1.45520257949829101562;[1, 4, 2, 3]
5;43674;1.45443797111511230469;[1, 4, 2, 3]
5;43674;1.44933819770812988281;[1, 4, 2, 3]
5;43674;1.44748473167419433594;[1, 4, 2, 3]
5;43674;1.45610189437866210938;[1, 4, 2, 3]
5;43674;1.43448257446289062500;[1, 4, 2, 3]
5;43674;1.45397138595581054688;[1, 4, 2, 3]
5;43674;1.44782114028930664062;[1, 4, 2, 3]
5;43674;1.44718050956726074219;[1, 4, 2, 3]
5;43674;1.45491814613342285156;[1, 4, 2, 3]
5;43674;1.46624898910522460938;[1, 4, 2, 3]
5;43674;1.46279311180114746094;[1, 4, 2, 3]
5;43674;1.46645617485046386719;[1, 4, 2, 3]
5;43674;1.46208786964416503906;[1, 4, 2, 3]
5;43674;1.43595290184020996094;[1, 4, 2, 3]
5;43674;1.44133400917053222656;[1, 4, 2, 3]
5;43674;1.45203542709350585938;[1, 4, 2, 3]
5;43674;1.46697211265563964844;[1, 4, 2, 3]
5;43674;1.44094657897949218750;[1, 4, 2, 3]
5;43674;1.42677736282348632812;[1, 4, 2, 3]
6;44858;1.59490275382995605469;[1, 5, 4, 2, 3]
6;44858;1.58260893821716308594;[1, 5, 4, 2, 3]
6;44858;1.61260247230529785156;[1, 5, 4, 2, 3]
6;44858;1.61521887779235839844;[1, 5, 4, 2, 3]
6;44858;1.62992644309997558594;[1, 5, 4, 2, 3]
6;44858;1.59300470352172851562;[1, 5, 4, 2, 3]
6;44858;1.58853006362915039062;[1, 5, 4, 2, 3]
6;44858;1.59466242790222167969;[1, 5, 4, 2, 3]
6;44858;1.59571814537048339844;[1, 5, 4, 2, 3]
6;44858;1.58309817314147949219;[1, 5, 4, 2, 3]
6;44858;1.60768318176269531250;[1, 5, 4, 2, 3]
6;44858;1.61606788635253906250;[1, 5, 4, 2, 3]
6;44858;1.59657287597656250000;[1, 5, 4, 2, 3]
6;44858;1.60176277160644531250;[1, 5, 4, 2, 3]
6;44858;1.61723828315734863281;[1, 5, 4, 2, 3]
6;44858;1.60262393951416015625;[1, 5, 4, 2, 3]
6;44858;1.60548210144042968750;[1, 5, 4, 2, 3]
6;44858;1.57831716537475585938;[1, 5, 4, 2, 3]
6;44858;1.59601092338562011719;[1, 5, 4, 2, 3]
6;44858;1.59269237518310546875;[1, 5, 4, 2, 3]
6;44858;1.59695887565612792969;[1, 5, 4, 2, 3]
6;44858;1.60620570182800292969;[1, 5, 4, 2, 3]
6;44858;1.60992550849914550781;[1, 5, 4, 2, 3]
6;44858;1.59538507461547851562;[1, 5, 4, 2, 3]
6;44858;1.61263847351074218750;[1, 5, 4, 2, 3]
6;44858;1.59712171554565429688;[1, 5, 4, 2, 3]
6;44858;1.62964344024658203125;[1, 5, 4, 2, 3]
6;44858;1.60320067405700683594;[1, 5, 4, 2, 3]
6;44858;1.60994553565979003906;[1, 5, 4, 2, 3]
6;44858;1.61601758003234863281;[1, 5, 4, 2, 3]
7;44365;1.67260313034057617188;[1, 6, 5, 4, 2, 3]
7;44365;1.67361283302307128906;[1, 6, 5, 4, 2, 3]
7;44365;1.64934206008911132812;[1, 6, 5, 4, 2, 3]
7;44365;1.66769218444824218750;[1, 6, 5, 4, 2, 3]
7;44365;1.67806267738342285156;[1, 6, 5, 4, 2, 3]
7;44366;1.70100975036621093750;[6, 5, 4, 2, 3, 1]
7;44365;1.68433952331542968750;[1, 6, 5, 4, 2, 3]
7;44365;1.69039225578308105469;[1, 6, 5, 4, 2, 3]
7;44365;1.66488552093505859375;[1, 6, 5, 4, 2, 3]
7;44366;1.64955353736877441406;[6, 5, 4, 2, 3, 1]
7;44365;1.67106652259826660156;[1, 6, 5, 4, 2, 3]
7;44365;1.66030502319335937500;[1, 6, 5, 4, 2, 3]
7;44365;1.65081238746643066406;[1, 6, 5, 4, 2, 3]
7;44365;1.66738700866699218750;[1, 6, 5, 4, 2, 3]
7;44365;1.66181635856628417969;[1, 6, 5, 4, 2, 3]
7;44365;1.65150713920593261719;[1, 6, 5, 4, 2, 3]
7;44365;1.66750717163085937500;[1, 6, 5, 4, 2, 3]
7;44365;1.67501020431518554688;[1, 6, 5, 4, 2, 3]
7;44365;1.67951130867004394531;[1, 6, 5, 4, 2, 3]
7;44365;1.68010187149047851562;[1, 6, 5, 4, 2, 3]
7;44365;1.66364431381225585938;[1, 6, 5, 4, 2, 3]
7;44365;1.67904448509216308594;[1, 6, 5, 4, 2, 3]
7;44365;1.71534633636474609375;[1, 6, 5, 4, 2, 3]
7;44365;1.68038940429687500000;[1, 6, 5, 4, 2, 3]
7;44365;1.68736720085144042969;[1, 6, 5, 4, 2, 3]
7;44365;1.67161321640014648438;[1, 6, 5, 4, 2, 3]
7;44366;1.68539285659790039062;[6, 5, 4, 2, 3, 1]
7;44365;1.67096662521362304688;[1, 6, 5, 4, 2, 3]
7;44365;1.65214848518371582031;[1, 6, 5, 4, 2, 3]
7;44365;1.69418120384216308594;[1, 6, 5, 4, 2, 3]
8;45879;1.76588916778564453125;[1, 6, 5, 7, 4, 2, 3]
8;45880;1.76822900772094726562;[6, 5, 7, 4, 2, 3, 1]
8;45880;1.77063894271850585938;[6, 5, 7, 4, 2, 3, 1]
8;45879;1.75014662742614746094;[1, 6, 5, 7, 4, 2, 3]
8;45879;1.80192399024963378906;[1, 6, 5, 7, 4, 2, 3]
8;45880;1.73816967010498046875;[6, 5, 7, 4, 2, 3, 1]
8;45879;1.79163002967834472656;[1, 6, 5, 7, 4, 2, 3]
8;45879;1.75603461265563964844;[1, 6, 5, 7, 4, 2, 3]
8;45880;1.75409460067749023438;[6, 5, 7, 4, 2, 3, 1]
8;45879;1.75415992736816406250;[1, 6, 5, 7, 4, 2, 3]
8;45880;1.75265026092529296875;[6, 5, 7, 4, 2, 3, 1]
8;45880;1.76688027381896972656;[6, 5, 7, 4, 2, 3, 1]
8;45879;1.76581311225891113281;[1, 6, 5, 7, 4, 2, 3]
8;45879;1.75036859512329101562;[1, 6, 5, 7, 4, 2, 3]
8;45880;1.72125506401062011719;[6, 5, 7, 4, 2, 3, 1]
8;45879;1.73320269584655761719;[1, 6, 5, 7, 4, 2, 3]
8;45879;1.77693343162536621094;[1, 6, 5, 7, 4, 2, 3]
8;45879;1.72535872459411621094;[1, 6, 5, 7, 4, 2, 3]
8;45880;1.77541828155517578125;[6, 5, 7, 4, 2, 3, 1]
8;45880;1.76021313667297363281;[6, 5, 7, 4, 2, 3, 1]
8;45879;1.76402044296264648438;[1, 6, 5, 7, 4, 2, 3]
8;45879;1.75491833686828613281;[1, 6, 5, 7, 4, 2, 3]
8;45880;1.75491070747375488281;[6, 5, 7, 4, 2, 3, 1]
8;45879;1.73414158821105957031;[1, 6, 5, 7, 4, 2, 3]
8;45880;1.72875809669494628906;[6, 5, 7, 4, 2, 3, 1]
8;45880;1.75905108451843261719;[6, 5, 7, 4, 2, 3, 1]
8;45879;1.77040123939514160156;[1, 6, 5, 7, 4, 2, 3]
8;45879;1.78776931762695312500;[1, 6, 5, 7, 4, 2, 3]
8;45879;1.79976654052734375000;[1, 6, 5, 7, 4, 2, 3]
8;45879;1.74651789665222167969;[1, 6, 5, 7, 4, 2, 3]
9;56868;1.88346719741821289062;[6, 5, 7, 4, 8, 2, 3, 1]
9;56868;1.91509962081909179688;[6, 5, 7, 4, 8, 2, 3, 1]
9;56868;1.88638234138488769531;[6, 5, 7, 4, 8, 2, 3, 1]
9;56868;1.89616346359252929688;[6, 5, 7, 4, 8, 2, 3, 1]
9;56867;1.91100049018859863281;[1, 6, 5, 7, 4, 8, 2, 3]
9;56868;1.90097379684448242188;[6, 5, 7, 4, 8, 2, 3, 1]
9;56868;1.87475752830505371094;[6, 5, 7, 4, 8, 2, 3, 1]
9;56868;1.88437676429748535156;[6, 5, 7, 4, 8, 2, 3, 1]
9;56867;1.88603687286376953125;[1, 6, 5, 7, 4, 8, 2, 3]
9;56868;1.91984915733337402344;[6, 5, 7, 4, 8, 2, 3, 1]
9;56868;1.88777136802673339844;[6, 5, 7, 4, 8, 2, 3, 1]
9;56867;1.88737344741821289062;[1, 6, 5, 7, 4, 8, 2, 3]
