destinations_count;cost;execution_time;sequence
4;43006;1.50857520103454589844;[1, 2, 3]
4;43006;1.47565722465515136719;[1, 2, 3]
4;43006;1.47942852973937988281;[1, 2, 3]
4;43006;1.46717214584350585938;[1, 2, 3]
4;43006;1.50412774085998535156;[1, 2, 3]
4;43006;1.47784233093261718750;[1, 2, 3]
4;43006;1.48089766502380371094;[1, 2, 3]
4;43006;1.49857592582702636719;[1, 2, 3]
4;43006;1.49421525001525878906;[1, 2, 3]
4;43006;1.48078370094299316406;[1, 2, 3]
4;43006;1.50451064109802246094;[1, 2, 3]
4;43006;1.48709440231323242188;[1, 2, 3]
4;43006;1.47532200813293457031;[1, 2, 3]
4;43006;1.48788619041442871094;[1, 2, 3]
4;43006;1.49146056175231933594;[1, 2, 3]
4;43006;1.51593184471130371094;[1, 2, 3]
4;43006;1.48815298080444335938;[1, 2, 3]
4;43006;1.48408317565917968750;[1, 2, 3]
4;43006;1.48548269271850585938;[1, 2, 3]
4;43006;1.50537776947021484375;[1, 2, 3]
4;43006;1.50716590881347656250;[1, 2, 3]
4;43006;1.48862528800964355469;[1, 2, 3]
4;43006;1.47395110130310058594;[1, 2, 3]
4;43006;1.49735403060913085938;[1, 2, 3]
4;43006;1.48425984382629394531;[1, 2, 3]
4;43006;1.46776199340820312500;[1, 2, 3]
4;43006;1.48586130142211914062;[1, 2, 3]
4;43006;1.47356057167053222656;[1, 2, 3]
4;43006;1.48441314697265625000;[1, 2, 3]
4;43006;1.50894975662231445312;[1, 2, 3]
5;43674;1.60787963867187500000;[1, 4, 2, 3]
5;43674;1.56532335281372070312;[1, 4, 2, 3]
5;43674;1.57406401634216308594;[1, 4, 2, 3]
5;43674;1.59495759010314941406;[1, 4, 2, 3]
5;43674;1.60920357704162597656;[1, 4, 2, 3]
5;43674;1.57078123092651367188;[1, 4, 2, 3]
5;43674;1.56808710098266601562;[1, 4, 2, 3]
5;43674;1.57175302505493164062;[1, 4, 2, 3]
5;43674;1.59388875961303710938;[1, 4, 2, 3]
5;43674;1.58846497535705566406;[1, 4, 2, 3]
5;43674;1.57393097877502441406;[1, 4, 2, 3]
5;43674;1.57252812385559082031;[1, 4, 2, 3]
5;43674;1.58734202384948730469;[1, 4, 2, 3]
5;43674;1.57059645652770996094;[1, 4, 2, 3]
5;43674;1.60987925529479980469;[1, 4, 2, 3]
5;43674;1.58492779731750488281;[1, 4, 2, 3]
5;43674;1.59094405174255371094;[1, 4, 2, 3]
5;43674;1.57784223556518554688;[1, 4, 2, 3]
5;43674;1.58375787734985351562;[1, 4, 2, 3]
5;43674;1.58881616592407226562;[1, 4, 2, 3]
5;43674;1.60986447334289550781;[1, 4, 2, 3]
5;43674;1.57905650138854980469;[1, 4, 2, 3]
5;43674;1.56790590286254882812;[1, 4, 2, 3]
5;43674;1.57754969596862792969;[1, 4, 2, 3]
5;43674;1.57212233543395996094;[1, 4, 2, 3]
5;43674;1.58355116844177246094;[1, 4, 2, 3]
5;43674;1.60273933410644531250;[1, 4, 2, 3]
5;43674;1.57721877098083496094;[1, 4, 2, 3]
5;43674;1.60981202125549316406;[1, 4, 2, 3]
5;43674;1.56491899490356445312;[1, 4, 2, 3]
6;44858;1.75357842445373535156;[1, 5, 4, 2, 3]
6;44858;1.78218030929565429688;[1, 5, 4, 2, 3]
6;44858;1.75848126411437988281;[1, 5, 4, 2, 3]
6;44858;1.76059079170227050781;[1, 5, 4, 2, 3]
6;44858;1.77139592170715332031;[1, 5, 4, 2, 3]
6;44858;1.72131752967834472656;[1, 5, 4, 2, 3]
6;44858;1.74272632598876953125;[1, 5, 4, 2, 3]
6;44858;1.74199843406677246094;[1, 5, 4, 2, 3]
6;44858;1.75618100166320800781;[1, 5, 4, 2, 3]
6;44858;1.73226284980773925781;[1, 5, 4, 2, 3]
6;44858;1.75036501884460449219;[1, 5, 4, 2, 3]
6;44858;1.73813533782958984375;[1, 5, 4, 2, 3]
6;44858;1.75572466850280761719;[1, 5, 4, 2, 3]
6;44858;1.73977327346801757812;[1, 5, 4, 2, 3]
6;44858;1.71296906471252441406;[1, 5, 4, 2, 3]
6;44858;1.73400878906250000000;[1, 5, 4, 2, 3]
6;44858;1.73856258392333984375;[1, 5, 4, 2, 3]
6;44858;1.72219038009643554688;[1, 5, 4, 2, 3]
6;44858;1.75550842285156250000;[1, 5, 4, 2, 3]
6;44858;1.73079633712768554688;[1, 5, 4, 2, 3]
6;44858;1.72496342658996582031;[1, 5, 4, 2, 3]
6;44858;1.76714968681335449219;[1, 5, 4, 2, 3]
6;44858;1.73777985572814941406;[1, 5, 4, 2, 3]
6;44858;1.74255275726318359375;[1, 5, 4, 2, 3]
6;44858;1.78552508354187011719;[1, 5, 4, 2, 3]
6;44858;1.73399043083190917969;[1, 5, 4, 2, 3]
6;44858;1.72395467758178710938;[1, 5, 4, 2, 3]
6;44858;1.73741126060485839844;[1, 5, 4, 2, 3]
6;44858;1.74786853790283203125;[1, 5, 4, 2, 3]
6;44858;1.73538017272949218750;[1, 5, 4, 2, 3]
7;44365;1.82156491279602050781;[1, 6, 5, 4, 2, 3]
7;44365;1.79748868942260742188;[1, 6, 5, 4, 2, 3]
