destinations_count;cost;execution_time;sequence
4;43006;1.48559093475341796875;[1, 2, 3]
4;43006;1.47418069839477539062;[1, 2, 3]
4;43006;1.48185324668884277344;[1, 2, 3]
4;43006;1.47825312614440917969;[1, 2, 3]
4;43006;1.49717736244201660156;[1, 2, 3]
4;43006;1.48495078086853027344;[1, 2, 3]
4;43006;1.48730206489562988281;[1, 2, 3]
4;43006;1.46320080757141113281;[1, 2, 3]
4;43006;1.49134111404418945312;[1, 2, 3]
4;43006;1.50214743614196777344;[1, 2, 3]
4;43006;1.48209333419799804688;[1, 2, 3]
4;43006;1.48084139823913574219;[1, 2, 3]
4;43006;1.49425697326660156250;[1, 2, 3]
4;43006;1.49920344352722167969;[1, 2, 3]
4;43006;1.51974153518676757812;[1, 2, 3]
4;43006;1.49522423744201660156;[1, 2, 3]
4;43006;1.49962162971496582031;[1, 2, 3]
4;43006;1.48884010314941406250;[1, 2, 3]
4;43006;1.47935390472412109375;[1, 2, 3]
4;43006;1.48341536521911621094;[1, 2, 3]
4;43006;1.48687863349914550781;[1, 2, 3]
4;43006;1.48407936096191406250;[1, 2, 3]
4;43006;1.51232838630676269531;[1, 2, 3]
4;43006;1.48616576194763183594;[1, 2, 3]
4;43006;1.47133159637451171875;[1, 2, 3]
4;43006;1.49060225486755371094;[1, 2, 3]
4;43006;1.49086189270019531250;[1, 2, 3]
4;43006;1.50412154197692871094;[1, 2, 3]
4;43006;1.49038410186767578125;[1, 2, 3]
4;43006;1.47768044471740722656;[1, 2, 3]
5;43674;1.59949469566345214844;[1, 4, 2, 3]
5;43674;1.60385704040527343750;[1, 4, 2, 3]
5;43674;1.57244086265563964844;[1, 4, 2, 3]
5;43674;1.57207870483398437500;[1, 4, 2, 3]
5;43674;1.57184600830078125000;[1, 4, 2, 3]
5;43674;1.59946894645690917969;[1, 4, 2, 3]
5;43674;1.58055663108825683594;[1, 4, 2, 3]
5;43674;1.59770274162292480469;[1, 4, 2, 3]
5;43674;1.57568812370300292969;[1, 4, 2, 3]
5;43674;1.58026075363159179688;[1, 4, 2, 3]
5;43674;1.61144614219665527344;[1, 4, 2, 3]
5;43674;1.57793712615966796875;[1, 4, 2, 3]
5;43674;1.57454776763916015625;[1, 4, 2, 3]
5;43674;1.57489562034606933594;[1, 4, 2, 3]
5;43674;1.57852530479431152344;[1, 4, 2, 3]
5;43674;1.59029078483581542969;[1, 4, 2, 3]
5;43674;1.57655453681945800781;[1, 4, 2, 3]
5;43674;1.57851958274841308594;[1, 4, 2, 3]
5;43674;1.58546066284179687500;[1, 4, 2, 3]
5;43674;1.59006547927856445312;[1, 4, 2, 3]
5;43674;1.58332943916320800781;[1, 4, 2, 3]
5;43674;1.57738065719604492188;[1, 4, 2, 3]
5;43674;1.59245800971984863281;[1, 4, 2, 3]
5;43674;1.57033777236938476562;[1, 4, 2, 3]
5;43674;1.58044672012329101562;[1, 4, 2, 3]
5;43674;1.57659173011779785156;[1, 4, 2, 3]
5;43674;1.61977314949035644531;[1, 4, 2, 3]
5;43674;1.58067584037780761719;[1, 4, 2, 3]
5;43674;1.59183430671691894531;[1, 4, 2, 3]
5;43674;1.58931970596313476562;[1, 4, 2, 3]
6;44858;1.75019788742065429688;[1, 5, 4, 2, 3]
6;44858;1.72389698028564453125;[1, 5, 4, 2, 3]
6;44858;1.73510789871215820312;[1, 5, 4, 2, 3]
6;44858;1.72983956336975097656;[1, 5, 4, 2, 3]
6;44858;1.73724436759948730469;[1, 5, 4, 2, 3]
6;44858;1.73244810104370117188;[1, 5, 4, 2, 3]
6;44858;1.73551034927368164062;[1, 5, 4, 2, 3]
6;44858;1.75539374351501464844;[1, 5, 4, 2, 3]
6;44858;1.75245738029479980469;[1, 5, 4, 2, 3]
6;44858;1.74815559387207031250;[1, 5, 4, 2, 3]
6;44858;1.75985407829284667969;[1, 5, 4, 2, 3]
6;44858;1.73654556274414062500;[1, 5, 4, 2, 3]
6;44858;1.76112699508666992188;[1, 5, 4, 2, 3]
6;44858;1.74368739128112792969;[1, 5, 4, 2, 3]
6;44858;1.74097752571105957031;[1, 5, 4, 2, 3]
6;44858;1.73350358009338378906;[1, 5, 4, 2, 3]
