destinations_count;cost;execution_time;sequence
4;43006;1.34507441520690917969;[1, 2, 3]
4;43006;1.37306523323059082031;[1, 2, 3]
4;43006;1.31756854057312011719;[1, 2, 3]
4;43006;1.35443568229675292969;[1, 2, 3]
4;43006;1.35014367103576660156;[1, 2, 3]
4;43006;1.37112617492675781250;[1, 2, 3]
4;43006;1.37490797042846679688;[1, 2, 3]
4;43006;1.34573459625244140625;[1, 2, 3]
4;43006;1.33484935760498046875;[1, 2, 3]
4;43006;1.39851021766662597656;[1, 2, 3]
4;43006;1.35737681388854980469;[1, 2, 3]
4;43006;1.34513950347900390625;[1, 2, 3]
4;43006;1.37089085578918457031;[1, 2, 3]
4;43006;1.42764544486999511719;[1, 2, 3]
4;43006;1.33624768257141113281;[1, 2, 3]
4;43006;1.34146499633789062500;[1, 2, 3]
4;43006;1.33183693885803222656;[1, 2, 3]
4;43006;1.35106778144836425781;[1, 2, 3]
4;43006;1.33881258964538574219;[1, 2, 3]
4;43006;1.34699106216430664062;[1, 2, 3]
4;43006;1.32257199287414550781;[1, 2, 3]
4;43006;1.34063601493835449219;[1, 2, 3]
4;43006;1.35758972167968750000;[1, 2, 3]
4;43006;1.34787249565124511719;[1, 2, 3]
4;43006;1.34751033782958984375;[1, 2, 3]
4;43006;1.33916258811950683594;[1, 2, 3]
4;43006;1.34313988685607910156;[1, 2, 3]
4;43006;1.34478402137756347656;[1, 2, 3]
4;43006;1.35130810737609863281;[1, 2, 3]
4;43006;1.35097670555114746094;[1, 2, 3]
5;43674;1.42434406280517578125;[1, 4, 2, 3]
5;43674;1.46511530876159667969;[1, 4, 2, 3]
5;43674;1.44223642349243164062;[1, 4, 2, 3]
5;43674;1.46147060394287109375;[1, 4, 2, 3]
5;43674;1.43055367469787597656;[1, 4, 2, 3]
5;43674;1.44653463363647460938;[1, 4, 2, 3]
5;43674;1.42655444145202636719;[1, 4, 2, 3]
5;43674;1.43114542961120605469;[1, 4, 2, 3]
5;43674;1.45046734809875488281;[1, 4, 2, 3]
5;43674;1.46235251426696777344;[1, 4, 2, 3]
