destinations_count;cost;execution_time;sequence
4;43006;4.23065853118896484375;[1, 2, 3]
4;43006;4.30504798889160156250;[1, 2, 3]
4;43006;4.29980564117431640625;[1, 2, 3]
4;43006;4.52070379257202148438;[1, 2, 3]
4;43006;4.25637388229370117188;[1, 2, 3]
4;43006;4.24956560134887695312;[1, 2, 3]
4;43006;4.30962586402893066406;[1, 2, 3]
4;43006;4.22562813758850097656;[1, 2, 3]
4;43006;4.27391171455383300781;[1, 2, 3]
4;43006;4.19381332397460937500;[1, 2, 3]
4;43006;4.53693771362304687500;[1, 2, 3]
4;43006;4.47661495208740234375;[1, 2, 3]
4;43006;4.55659532546997070312;[1, 2, 3]
4;43006;4.47929167747497558594;[1, 2, 3]
4;43006;4.48090982437133789062;[1, 2, 3]
4;43006;4.55305242538452148438;[1, 2, 3]
4;43006;4.55955386161804199219;[1, 2, 3]
4;43006;4.50327491760253906250;[1, 2, 3]
4;43006;4.43887805938720703125;[1, 2, 3]
4;43006;4.50982093811035156250;[1, 2, 3]
4;43006;4.52764320373535156250;[1, 2, 3]
4;43006;4.45282101631164550781;[1, 2, 3]
4;43006;4.48805975914001464844;[1, 2, 3]
4;43006;4.44744777679443359375;[1, 2, 3]
4;43006;4.45656871795654296875;[1, 2, 3]
4;43006;4.44490456581115722656;[1, 2, 3]
4;43006;4.54916667938232421875;[1, 2, 3]
4;43006;4.47230505943298339844;[1, 2, 3]
4;43006;4.50567364692687988281;[1, 2, 3]
4;43006;4.48720836639404296875;[1, 2, 3]
4;43006;4.41663742065429687500;[1, 2, 3]
5;43674;5.05575132369995117188;[1, 4, 2, 3]
5;43674;5.01944756507873535156;[1, 4, 2, 3]
5;43674;4.99952268600463867188;[1, 4, 2, 3]
5;43674;5.00350022315979003906;[1, 4, 2, 3]
5;43674;5.03884458541870117188;[1, 4, 2, 3]
5;43674;5.00760674476623535156;[1, 4, 2, 3]
5;43674;5.02109766006469726562;[1, 4, 2, 3]
5;43674;5.00893688201904296875;[1, 4, 2, 3]
5;43674;5.00147151947021484375;[1, 4, 2, 3]
5;43674;5.02009081840515136719;[1, 4, 2, 3]
5;43674;4.99164843559265136719;[1, 4, 2, 3]
5;43674;5.02113771438598632812;[1, 4, 2, 3]
5;43674;5.03304862976074218750;[1, 4, 2, 3]
5;43674;4.99568104743957519531;[1, 4, 2, 3]
5;43674;4.99738121032714843750;[1, 4, 2, 3]
5;43674;5.02727603912353515625;[1, 4, 2, 3]
5;43674;5.07055258750915527344;[1, 4, 2, 3]
5;43674;5.04664015769958496094;[1, 4, 2, 3]
5;43674;5.00929832458496093750;[1, 4, 2, 3]
5;43674;4.97939324378967285156;[1, 4, 2, 3]
5;43674;5.06388425827026367188;[1, 4, 2, 3]
5;43674;5.12146806716918945312;[1, 4, 2, 3]
5;43674;5.03821682929992675781;[1, 4, 2, 3]
