destinations_count;cost;execution_time;sequence
4;43006;1.41511225700378417969;[1, 2, 3]
4;43006;1.42767691612243652344;[1, 2, 3]
4;43006;1.46726703643798828125;[1, 2, 3]
4;43006;1.45545029640197753906;[1, 2, 3]
4;43006;1.44684028625488281250;[1, 2, 3]
4;43006;1.41554212570190429688;[1, 2, 3]
4;43006;1.44847774505615234375;[1, 2, 3]
4;43006;1.45006585121154785156;[1, 2, 3]
4;43006;1.45285534858703613281;[1, 2, 3]
4;43006;1.44991636276245117188;[1, 2, 3]
4;43006;1.45060849189758300781;[1, 2, 3]
4;43006;1.46772909164428710938;[1, 2, 3]
4;43006;1.45684719085693359375;[1, 2, 3]
4;43006;1.46331214904785156250;[1, 2, 3]
4;43006;1.46632623672485351562;[1, 2, 3]
4;43006;1.45189785957336425781;[1, 2, 3]
4;43006;1.44326996803283691406;[1, 2, 3]
4;43006;1.45808434486389160156;[1, 2, 3]
4;43006;1.43636012077331542969;[1, 2, 3]
4;43006;1.44539260864257812500;[1, 2, 3]
4;43006;1.43675541877746582031;[1, 2, 3]
4;43006;1.42968606948852539062;[1, 2, 3]
4;43006;1.45564365386962890625;[1, 2, 3]
4;43006;1.46321511268615722656;[1, 2, 3]
4;43006;1.45227670669555664062;[1, 2, 3]
4;43006;1.43527436256408691406;[1, 2, 3]
4;43006;1.44233560562133789062;[1, 2, 3]
4;43006;1.45297169685363769531;[1, 2, 3]
4;43006;1.45459771156311035156;[1, 2, 3]
4;43006;1.44598579406738281250;[1, 2, 3]
5;43674;1.63009500503540039062;[1, 4, 2, 3]
5;43674;1.63088083267211914062;[1, 4, 2, 3]
5;43674;1.61238121986389160156;[1, 4, 2, 3]
5;43674;1.64622569084167480469;[1, 4, 2, 3]
5;43674;1.65601849555969238281;[1, 4, 2, 3]
5;43674;1.64593768119812011719;[1, 4, 2, 3]
5;43674;1.60277247428894042969;[1, 4, 2, 3]
5;43674;1.63265657424926757812;[1, 4, 2, 3]
5;43674;1.62280273437500000000;[1, 4, 2, 3]
5;43674;1.62514925003051757812;[1, 4, 2, 3]
5;43674;1.63755345344543457031;[1, 4, 2, 3]
5;43674;1.63419795036315917969;[1, 4, 2, 3]
5;43674;1.62918567657470703125;[1, 4, 2, 3]
5;43674;1.63413429260253906250;[1, 4, 2, 3]
5;43674;1.65508961677551269531;[1, 4, 2, 3]
