destinations_count;cost;execution_time;sequence
4;43006;0.31169891357421875000;[1, 2, 3]
4;43006;0.30739378929138183594;[1, 2, 3]
4;43006;0.30361747741699218750;[1, 2, 3]
4;43006;0.30894732475280761719;[1, 2, 3]
4;43006;0.30812335014343261719;[1, 2, 3]
4;43006;0.31900501251220703125;[1, 2, 3]
4;43006;0.30403470993041992188;[1, 2, 3]
4;43006;0.30823898315429687500;[1, 2, 3]
4;43006;0.31551814079284667969;[1, 2, 3]
4;43006;0.30727648735046386719;[1, 2, 3]
4;43006;0.30639147758483886719;[1, 2, 3]
4;43006;0.32046675682067871094;[1, 2, 3]
4;43006;0.30860924720764160156;[1, 2, 3]
4;43006;0.30140948295593261719;[1, 2, 3]
4;43006;0.30781960487365722656;[1, 2, 3]
4;43006;0.30769252777099609375;[1, 2, 3]
4;43006;0.30500721931457519531;[1, 2, 3]
4;43006;0.30683398246765136719;[1, 2, 3]
4;43006;0.31125044822692871094;[1, 2, 3]
4;43006;0.29803800582885742188;[1, 2, 3]
4;43006;0.31730198860168457031;[1, 2, 3]
4;43006;0.31041669845581054688;[1, 2, 3]
4;43006;0.30797982215881347656;[1, 2, 3]
4;43006;0.30055832862854003906;[1, 2, 3]
4;43006;0.31361937522888183594;[1, 2, 3]
4;43006;0.30063533782958984375;[1, 2, 3]
4;43006;0.31963634490966796875;[1, 2, 3]
4;43006;0.31093192100524902344;[1, 2, 3]
4;43006;0.30936241149902343750;[1, 2, 3]
4;43006;0.31993436813354492188;[1, 2, 3]
4;43006;0.30815052986145019531;[1, 2, 3]
4;43006;0.30818057060241699219;[1, 2, 3]
4;43006;0.31084203720092773438;[1, 2, 3]
4;43006;0.30641841888427734375;[1, 2, 3]
4;43006;0.30025100708007812500;[1, 2, 3]
4;43006;0.30567121505737304688;[1, 2, 3]
4;43006;0.31066179275512695312;[1, 2, 3]
4;43006;0.31006407737731933594;[1, 2, 3]
4;43006;0.31312704086303710938;[1, 2, 3]
4;43006;0.30438804626464843750;[1, 2, 3]
4;43006;0.31481456756591796875;[1, 2, 3]
4;43006;0.30464291572570800781;[1, 2, 3]
4;43006;0.30311203002929687500;[1, 2, 3]
4;43006;0.31353855133056640625;[1, 2, 3]
4;43006;0.30167198181152343750;[1, 2, 3]
4;43006;0.31271743774414062500;[1, 2, 3]
4;43006;0.30544996261596679688;[1, 2, 3]
4;43006;0.31465530395507812500;[1, 2, 3]
4;43006;0.30316066741943359375;[1, 2, 3]
4;43006;0.30967378616333007812;[1, 2, 3]
4;43006;0.31222271919250488281;[1, 2, 3]
4;43006;0.30546450614929199219;[1, 2, 3]
4;43006;0.31225275993347167969;[1, 2, 3]
4;43006;0.31093859672546386719;[1, 2, 3]
4;43006;0.30668115615844726562;[1, 2, 3]
4;43006;0.30406165122985839844;[1, 2, 3]
4;43006;0.31228470802307128906;[1, 2, 3]
4;43006;0.30684971809387207031;[1, 2, 3]
4;43006;0.30810642242431640625;[1, 2, 3]
4;43006;0.31197714805603027344;[1, 2, 3]
4;43006;0.29948973655700683594;[1, 2, 3]
4;43006;0.30827236175537109375;[1, 2, 3]
4;43006;0.31242680549621582031;[1, 2, 3]
4;43006;0.30795788764953613281;[1, 2, 3]
4;43006;0.30593657493591308594;[1, 2, 3]
4;43006;0.31276082992553710938;[1, 2, 3]
4;43006;0.31652808189392089844;[1, 2, 3]
4;43006;0.30435776710510253906;[1, 2, 3]
4;43006;0.30068659782409667969;[1, 2, 3]
4;43006;0.30877351760864257812;[1, 2, 3]
4;43006;0.30764317512512207031;[1, 2, 3]
4;43006;0.31683540344238281250;[1, 2, 3]
4;43006;0.30450749397277832031;[1, 2, 3]
4;43006;0.30629491806030273438;[1, 2, 3]
4;43006;0.30989551544189453125;[1, 2, 3]
4;43006;0.30324554443359375000;[1, 2, 3]
4;43006;0.31043243408203125000;[1, 2, 3]
4;43006;0.30973172187805175781;[1, 2, 3]
4;43006;0.30628252029418945312;[1, 2, 3]
4;43006;0.30355429649353027344;[1, 2, 3]
4;43006;0.31353878974914550781;[1, 2, 3]
4;43006;0.31175446510314941406;[1, 2, 3]
4;43006;0.30866193771362304688;[1, 2, 3]
4;43006;0.31156206130981445312;[1, 2, 3]
4;43006;0.30390667915344238281;[1, 2, 3]
4;43006;0.30979251861572265625;[1, 2, 3]
4;43006;0.31283593177795410156;[1, 2, 3]
4;43006;0.31347203254699707031;[1, 2, 3]
4;43006;0.31950879096984863281;[1, 2, 3]
4;43006;0.31264352798461914062;[1, 2, 3]
4;43006;0.31523275375366210938;[1, 2, 3]
4;43006;0.30367112159729003906;[1, 2, 3]
4;43006;0.30538082122802734375;[1, 2, 3]
4;43006;0.29878711700439453125;[1, 2, 3]
4;43006;0.29660201072692871094;[1, 2, 3]
4;43006;0.29625296592712402344;[1, 2, 3]
4;43006;0.30569696426391601562;[1, 2, 3]
4;43006;0.30993628501892089844;[1, 2, 3]
4;43006;0.31787610054016113281;[1, 2, 3]
4;43006;0.31319808959960937500;[1, 2, 3]
5;43674;0.33291316032409667969;[1, 4, 2, 3]
5;43674;0.31314873695373535156;[1, 4, 2, 3]
5;43674;0.31131124496459960938;[1, 4, 2, 3]
5;43674;0.31210756301879882812;[1, 4, 2, 3]
5;43674;0.31822752952575683594;[1, 4, 2, 3]
5;43674;0.31410121917724609375;[1, 4, 2, 3]
5;43674;0.31193923950195312500;[1, 4, 2, 3]
5;43674;0.31735539436340332031;[1, 4, 2, 3]
5;43674;0.30978369712829589844;[1, 4, 2, 3]
5;43674;0.31150317192077636719;[1, 4, 2, 3]
5;43674;0.31328749656677246094;[1, 4, 2, 3]
5;43674;0.32210087776184082031;[1, 4, 2, 3]
5;43674;0.30605268478393554688;[1, 4, 2, 3]
5;43674;0.31217336654663085938;[1, 4, 2, 3]
5;43674;0.30752277374267578125;[1, 4, 2, 3]
5;43674;0.31284189224243164062;[1, 4, 2, 3]
5;43674;0.31239819526672363281;[1, 4, 2, 3]
5;43674;0.31274080276489257812;[1, 4, 2, 3]
5;43674;0.31047344207763671875;[1, 4, 2, 3]
5;43674;0.31464457511901855469;[1, 4, 2, 3]
5;43674;0.31241798400878906250;[1, 4, 2, 3]
5;43674;0.31256008148193359375;[1, 4, 2, 3]
5;43674;0.31943726539611816406;[1, 4, 2, 3]
5;43674;0.31812524795532226562;[1, 4, 2, 3]
5;43674;0.30944347381591796875;[1, 4, 2, 3]
5;43674;0.30871152877807617188;[1, 4, 2, 3]
5;43674;0.31477904319763183594;[1, 4, 2, 3]
5;43674;0.31809067726135253906;[1, 4, 2, 3]
5;43674;0.30837869644165039062;[1, 4, 2, 3]
5;43674;0.31322097778320312500;[1, 4, 2, 3]
5;43674;0.31794548034667968750;[1, 4, 2, 3]
5;43674;0.30253481864929199219;[1, 4, 2, 3]
5;43674;0.31441187858581542969;[1, 4, 2, 3]
5;43674;0.30591750144958496094;[1, 4, 2, 3]
5;43674;0.31728053092956542969;[1, 4, 2, 3]
5;43674;0.31365394592285156250;[1, 4, 2, 3]
5;43674;0.31010508537292480469;[1, 4, 2, 3]
5;43674;0.31010055541992187500;[1, 4, 2, 3]
5;43674;0.31847190856933593750;[1, 4, 2, 3]
5;43674;0.30882310867309570312;[1, 4, 2, 3]
5;43674;0.30659151077270507812;[1, 4, 2, 3]
