destinations_count;cost;execution_time;sequence
4;43006;2.01295495033264160156;[1, 2, 3]
4;43006;2.02295422554016113281;[1, 2, 3]
4;43006;2.05568718910217285156;[1, 2, 3]
4;43006;2.03938722610473632812;[1, 2, 3]
4;43006;2.02451324462890625000;[1, 2, 3]
4;43006;2.02723646163940429688;[1, 2, 3]
4;43006;2.17649292945861816406;[1, 2, 3]
4;43006;1.99165248870849609375;[1, 2, 3]
4;43006;1.99009680747985839844;[1, 2, 3]
4;43006;2.06494808197021484375;[1, 2, 3]
4;43006;2.07304930686950683594;[1, 2, 3]
4;43006;1.97437691688537597656;[1, 2, 3]
4;43006;2.02844500541687011719;[1, 2, 3]
4;43006;1.99214696884155273438;[1, 2, 3]
4;43006;2.06325006484985351562;[1, 2, 3]
4;43006;2.06826472282409667969;[1, 2, 3]
4;43006;2.00794816017150878906;[1, 2, 3]
4;43006;2.01311397552490234375;[1, 2, 3]
4;43006;2.08597397804260253906;[1, 2, 3]
4;43006;2.03875541687011718750;[1, 2, 3]
4;43006;1.97834300994873046875;[1, 2, 3]
4;43006;1.96280360221862792969;[1, 2, 3]
4;43006;2.12602138519287109375;[1, 2, 3]
4;43006;2.00474357604980468750;[1, 2, 3]
4;43006;2.01231741905212402344;[1, 2, 3]
4;43006;2.01407623291015625000;[1, 2, 3]
4;43006;2.06081056594848632812;[1, 2, 3]
4;43006;2.05935621261596679688;[1, 2, 3]
4;43006;1.98579001426696777344;[1, 2, 3]
4;43006;2.03566741943359375000;[1, 2, 3]
4;43006;2.00578331947326660156;[1, 2, 3]
4;43006;1.98870611190795898438;[1, 2, 3]
4;43006;1.98860931396484375000;[1, 2, 3]
4;43006;1.97335529327392578125;[1, 2, 3]
4;43006;2.03711056709289550781;[1, 2, 3]
4;43006;2.03646969795227050781;[1, 2, 3]
4;43006;2.09468531608581542969;[1, 2, 3]
4;43006;2.01830315589904785156;[1, 2, 3]
4;43006;2.02856636047363281250;[1, 2, 3]
4;43006;2.03737902641296386719;[1, 2, 3]
5;43674;2.02502775192260742188;[1, 4, 2, 3]
5;43674;2.10619926452636718750;[1, 4, 2, 3]
5;43674;1.99255681037902832031;[1, 4, 2, 3]
5;43674;2.05035305023193359375;[1, 4, 2, 3]
5;43674;2.07293105125427246094;[1, 4, 2, 3]
5;43674;2.08429980278015136719;[1, 4, 2, 3]
5;43674;1.97260475158691406250;[1, 4, 2, 3]
5;43674;2.04915404319763183594;[1, 4, 2, 3]
5;43674;1.99740338325500488281;[1, 4, 2, 3]
5;43674;2.08466053009033203125;[1, 4, 2, 3]
5;43674;2.04033184051513671875;[1, 4, 2, 3]
5;43674;2.03615355491638183594;[1, 4, 2, 3]
5;43674;2.06309890747070312500;[1, 4, 2, 3]
5;43674;2.00981926918029785156;[1, 4, 2, 3]
5;43674;2.07125449180603027344;[1, 4, 2, 3]
5;43674;2.05067729949951171875;[1, 4, 2, 3]
5;43674;2.08457040786743164062;[1, 4, 2, 3]
5;43674;2.11131763458251953125;[1, 4, 2, 3]
5;43674;2.14656019210815429688;[1, 4, 2, 3]
5;43674;2.05638194084167480469;[1, 4, 2, 3]
5;43674;2.05803966522216796875;[1, 4, 2, 3]
5;43674;2.06378579139709472656;[1, 4, 2, 3]
5;43674;2.04867911338806152344;[1, 4, 2, 3]
5;43674;2.03488302230834960938;[1, 4, 2, 3]
5;43674;2.01409220695495605469;[1, 4, 2, 3]
5;43674;2.01608705520629882812;[1, 4, 2, 3]
5;43674;2.03853249549865722656;[1, 4, 2, 3]
