destinations_count;cost;execution_time;sequence
4;43006;2.06069159507751464844;[1, 2, 3]
4;43006;2.03060889244079589844;[1, 2, 3]
4;43006;2.02030038833618164062;[1, 2, 3]
4;43006;2.03861546516418457031;[1, 2, 3]
4;43006;2.03435206413269042969;[1, 2, 3]
4;43006;2.04856634140014648438;[1, 2, 3]
4;43006;2.05548810958862304688;[1, 2, 3]
4;43006;2.03067898750305175781;[1, 2, 3]
4;43006;2.03064680099487304688;[1, 2, 3]
4;43006;2.05904650688171386719;[1, 2, 3]
4;43006;2.02717709541320800781;[1, 2, 3]
4;43006;2.00587320327758789062;[1, 2, 3]
4;43006;2.01753640174865722656;[1, 2, 3]
4;43006;2.02622938156127929688;[1, 2, 3]
4;43006;2.00553488731384277344;[1, 2, 3]
4;43006;2.06005311012268066406;[1, 2, 3]
4;43006;2.03210592269897460938;[1, 2, 3]
4;43006;2.03666353225708007812;[1, 2, 3]
4;43006;2.07402396202087402344;[1, 2, 3]
4;43006;1.98482489585876464844;[1, 2, 3]
4;43006;1.98655247688293457031;[1, 2, 3]
4;43006;2.00546765327453613281;[1, 2, 3]
4;43006;2.04420185089111328125;[1, 2, 3]
4;43006;2.07056045532226562500;[1, 2, 3]
4;43006;2.05001068115234375000;[1, 2, 3]
4;43006;2.03180551528930664062;[1, 2, 3]
4;43006;2.02749967575073242188;[1, 2, 3]
4;43006;2.12277030944824218750;[1, 2, 3]
4;43006;2.07795190811157226562;[1, 2, 3]
4;43006;2.05698847770690917969;[1, 2, 3]
4;43006;2.04968690872192382812;[1, 2, 3]
4;43006;2.07411885261535644531;[1, 2, 3]
4;43006;2.07991695404052734375;[1, 2, 3]
4;43006;2.04810118675231933594;[1, 2, 3]
4;43006;2.08707571029663085938;[1, 2, 3]
4;43006;2.00617027282714843750;[1, 2, 3]
4;43006;1.99914288520812988281;[1, 2, 3]
4;43006;2.12152719497680664062;[1, 2, 3]
4;43006;2.06107640266418457031;[1, 2, 3]
4;43006;2.04630446434020996094;[1, 2, 3]
4;43006;2.04690837860107421875;[1, 2, 3]
4;43006;1.97984957695007324219;[1, 2, 3]
4;43006;1.96725893020629882812;[1, 2, 3]
4;43006;2.01778054237365722656;[1, 2, 3]
4;43006;2.00214934349060058594;[1, 2, 3]
4;43006;2.01731109619140625000;[1, 2, 3]
4;43006;2.04619336128234863281;[1, 2, 3]
4;43006;2.03838610649108886719;[1, 2, 3]
4;43006;2.08867621421813964844;[1, 2, 3]
4;43006;2.04203701019287109375;[1, 2, 3]
5;43674;2.12798047065734863281;[1, 4, 2, 3]
5;43674;2.13129758834838867188;[1, 4, 2, 3]
5;43674;2.13298034667968750000;[1, 4, 2, 3]
5;43674;2.04062318801879882812;[1, 4, 2, 3]
5;43674;2.08605837821960449219;[1, 4, 2, 3]
