destinations_count;cost;execution_time;sequence
4;43006;0.00001215934753417969;(1, 2, 3)
4;43006;0.00001263618469238281;(1, 2, 3)
4;43006;0.00001168251037597656;(1, 2, 3)
4;43006;0.00001239776611328125;(1, 2, 3)
4;43006;0.00001382827758789062;(1, 2, 3)
4;43006;0.00001192092895507812;(1, 2, 3)
4;43006;0.00001215934753417969;(1, 2, 3)
4;43006;0.00001239776611328125;(1, 2, 3)
4;43006;0.00001263618469238281;(1, 2, 3)
4;43006;0.00001287460327148438;(1, 2, 3)
4;43006;0.00001215934753417969;(1, 2, 3)
4;43006;0.00001263618469238281;(1, 2, 3)
4;43006;0.00001215934753417969;(1, 2, 3)
4;43006;0.00001263618469238281;(1, 2, 3)
4;43006;0.00001382827758789062;(1, 2, 3)
4;43006;0.00001263618469238281;(1, 2, 3)
4;43006;0.00001215934753417969;(1, 2, 3)
4;43006;0.00001215934753417969;(1, 2, 3)
4;43006;0.00001239776611328125;(1, 2, 3)
4;43006;0.00001215934753417969;(1, 2, 3)
4;43006;0.00001168251037597656;(1, 2, 3)
4;43006;0.00001192092895507812;(1, 2, 3)
4;43006;0.00001287460327148438;(1, 2, 3)
4;43006;0.00001215934753417969;(1, 2, 3)
4;43006;0.00001239776611328125;(1, 2, 3)
4;43006;0.00001239776611328125;(1, 2, 3)
4;43006;0.00001287460327148438;(1, 2, 3)
4;43006;0.00001358985900878906;(1, 2, 3)
4;43006;0.00001287460327148438;(1, 2, 3)
4;43006;0.00001525878906250000;(1, 2, 3)
4;43006;0.00001931190490722656;(1, 2, 3)
4;43006;0.00001335144042968750;(1, 2, 3)
4;43006;0.00001215934753417969;(1, 2, 3)
4;43006;0.00001311302185058594;(1, 2, 3)
4;43006;0.00001335144042968750;(1, 2, 3)
4;43006;0.00001239776611328125;(1, 2, 3)
4;43006;0.00001263618469238281;(1, 2, 3)
4;43006;0.00001192092895507812;(1, 2, 3)
4;43006;0.00001287460327148438;(1, 2, 3)
4;43006;0.00001239776611328125;(1, 2, 3)
4;43006;0.00001168251037597656;(1, 2, 3)
4;43006;0.00001215934753417969;(1, 2, 3)
4;43006;0.00001263618469238281;(1, 2, 3)
4;43006;0.00001382827758789062;(1, 2, 3)
4;43006;0.00001168251037597656;(1, 2, 3)
4;43006;0.00001287460327148438;(1, 2, 3)
4;43006;0.00001215934753417969;(1, 2, 3)
4;43006;0.00001311302185058594;(1, 2, 3)
4;43006;0.00001239776611328125;(1, 2, 3)
4;43006;0.00001525878906250000;(1, 2, 3)
4;43006;0.00001239776611328125;(1, 2, 3)
4;43006;0.00001239776611328125;(1, 2, 3)
4;43006;0.00001192092895507812;(1, 2, 3)
4;43006;0.00001287460327148438;(1, 2, 3)
4;43006;0.00001287460327148438;(1, 2, 3)
4;43006;0.00001192092895507812;(1, 2, 3)
4;43006;0.00001287460327148438;(1, 2, 3)
4;43006;0.00001311302185058594;(1, 2, 3)
4;43006;0.00001215934753417969;(1, 2, 3)
4;43006;0.00001335144042968750;(1, 2, 3)
4;43006;0.00001239776611328125;(1, 2, 3)
4;43006;0.00001263618469238281;(1, 2, 3)
4;43006;0.00001239776611328125;(1, 2, 3)
4;43006;0.00001144409179687500;(1, 2, 3)
4;43006;0.00001239776611328125;(1, 2, 3)
4;43006;0.00001263618469238281;(1, 2, 3)
4;43006;0.00001382827758789062;(1, 2, 3)
4;43006;0.00001287460327148438;(1, 2, 3)
4;43006;0.00001215934753417969;(1, 2, 3)
4;43006;0.00001168251037597656;(1, 2, 3)
4;43006;0.00001263618469238281;(1, 2, 3)
4;43006;0.00003004074096679688;(1, 2, 3)
4;43006;0.00001311302185058594;(1, 2, 3)
4;43006;0.00001215934753417969;(1, 2, 3)
4;43006;0.00001215934753417969;(1, 2, 3)
4;43006;0.00001215934753417969;(1, 2, 3)
4;43006;0.00001263618469238281;(1, 2, 3)
4;43006;0.00001263618469238281;(1, 2, 3)
4;43006;0.00001263618469238281;(1, 2, 3)
4;43006;0.00001192092895507812;(1, 2, 3)
4;43006;0.00001192092895507812;(1, 2, 3)
4;43006;0.00001263618469238281;(1, 2, 3)
4;43006;0.00001931190490722656;(1, 2, 3)
4;43006;0.00001239776611328125;(1, 2, 3)
