destinations_count;cost;execution_time;sequence
4;5953;1.40753149986267089844;[1, 3, 2]
4;5953;1.38891100883483886719;[1, 3, 2]
4;5953;1.39145827293395996094;[1, 3, 2]
4;5953;1.38930392265319824219;[1, 3, 2]
4;5953;1.37462973594665527344;[1, 3, 2]
4;5953;1.39056873321533203125;[1, 3, 2]
4;5953;1.38500285148620605469;[1, 3, 2]
4;5953;1.39819383621215820312;[1, 3, 2]
4;5953;1.40008449554443359375;[1, 3, 2]
4;5953;1.38104963302612304688;[1, 3, 2]
4;5953;1.38281893730163574219;[1, 3, 2]
4;5953;1.39969706535339355469;[1, 3, 2]
4;5953;1.38104248046875000000;[1, 3, 2]
4;5953;1.40277981758117675781;[1, 3, 2]
4;5953;1.38764715194702148438;[1, 3, 2]
4;5953;1.39937758445739746094;[1, 3, 2]
4;5953;1.39726161956787109375;[1, 3, 2]
4;5953;1.39462995529174804688;[1, 3, 2]
4;5953;1.41393470764160156250;[1, 3, 2]
4;5953;1.41335248947143554688;[1, 3, 2]
4;5953;1.38522410392761230469;[1, 3, 2]
4;5953;1.40722703933715820312;[1, 3, 2]
4;5953;1.40454649925231933594;[1, 3, 2]
4;5953;1.39256572723388671875;[1, 3, 2]
4;5953;1.41078734397888183594;[1, 3, 2]
4;5953;1.40475773811340332031;[1, 3, 2]
4;5953;1.42237305641174316406;[1, 3, 2]
4;5953;1.43189907073974609375;[1, 3, 2]
4;5953;1.41411423683166503906;[1, 3, 2]
4;5953;1.39699697494506835938;[1, 3, 2]
4;5953;1.40376210212707519531;[1, 3, 2]
4;5953;1.42077016830444335938;[1, 3, 2]
4;5953;1.40606164932250976562;[1, 3, 2]
4;5953;1.40007615089416503906;[1, 3, 2]
4;5953;1.38688850402832031250;[1, 3, 2]
4;5953;1.41447973251342773438;[1, 3, 2]
4;5953;1.39608716964721679688;[1, 3, 2]
4;5953;1.40437340736389160156;[1, 3, 2]
4;5953;1.38683104515075683594;[1, 3, 2]
4;5953;1.42618584632873535156;[1, 3, 2]
4;5953;1.38666820526123046875;[1, 3, 2]
4;5953;1.41434383392333984375;[1, 3, 2]
4;5953;1.39486789703369140625;[1, 3, 2]
4;5953;1.39211416244506835938;[1, 3, 2]
4;5953;1.41408061981201171875;[1, 3, 2]
4;5953;1.40136885643005371094;[1, 3, 2]
4;5953;1.39601850509643554688;[1, 3, 2]
4;5953;1.38656067848205566406;[1, 3, 2]
4;5953;1.40430116653442382812;[1, 3, 2]
4;5953;1.41518664360046386719;[1, 3, 2]
4;5953;1.40555739402770996094;[1, 3, 2]
4;5953;1.39964580535888671875;[1, 3, 2]
4;5953;1.43548655509948730469;[1, 3, 2]
4;5953;1.39976525306701660156;[1, 3, 2]
4;5953;1.39747190475463867188;[1, 3, 2]
4;5953;1.39223194122314453125;[1, 3, 2]
4;5953;1.40770530700683593750;[1, 3, 2]
4;5953;1.38231348991394042969;[1, 3, 2]
4;5953;1.39714121818542480469;[1, 3, 2]
4;5953;1.38119983673095703125;[1, 3, 2]
4;5953;1.39926838874816894531;[1, 3, 2]
4;5953;1.38886117935180664062;[1, 3, 2]
4;5953;1.39636349678039550781;[1, 3, 2]
4;5953;1.39210319519042968750;[1, 3, 2]
4;5953;1.38291192054748535156;[1, 3, 2]
4;5953;1.40443682670593261719;[1, 3, 2]
4;5953;1.37993931770324707031;[1, 3, 2]
4;5953;1.39500832557678222656;[1, 3, 2]
4;5953;1.38496422767639160156;[1, 3, 2]
4;5953;1.38701891899108886719;[1, 3, 2]
5;6612;1.56501507759094238281;[2, 3, 1, 4]
5;6612;1.58247900009155273438;[2, 3, 1, 4]
5;6612;1.59101366996765136719;[2, 3, 1, 4]
5;6612;1.58088445663452148438;[2, 3, 1, 4]
5;6612;1.58965873718261718750;[2, 3, 1, 4]
5;6612;1.54567551612854003906;[2, 3, 1, 4]
5;6612;1.60276389122009277344;[2, 3, 1, 4]
5;6612;1.59461641311645507812;[2, 3, 1, 4]
5;6612;1.58378505706787109375;[2, 3, 1, 4]
5;6612;1.59295153617858886719;[2, 3, 1, 4]
5;6612;1.57945513725280761719;[2, 3, 1, 4]
5;6612;1.56921362876892089844;[2, 3, 1, 4]
5;6612;1.55798292160034179688;[2, 3, 1, 4]
5;6612;1.57019448280334472656;[2, 3, 1, 4]
5;6612;1.56158733367919921875;[2, 3, 1, 4]
5;6612;1.56490540504455566406;[2, 3, 1, 4]
5;6612;1.55199718475341796875;[2, 3, 1, 4]
5;6612;1.58289599418640136719;[2, 3, 1, 4]
5;6612;1.56091213226318359375;[2, 3, 1, 4]
5;6612;1.58183693885803222656;[2, 3, 1, 4]
5;6612;1.55992007255554199219;[2, 3, 1, 4]
5;6612;1.56320524215698242188;[2, 3, 1, 4]
