destinations_count;cost;execution_time;sequence
4;5953;0.00001192092895507812;(1, 3, 2)
4;5953;0.00001215934753417969;(1, 3, 2)
4;5953;0.00001239776611328125;(1, 3, 2)
4;5953;0.00001239776611328125;(1, 3, 2)
4;5953;0.00001239776611328125;(1, 3, 2)
4;5953;0.00001621246337890625;(1, 3, 2)
4;5953;0.00001192092895507812;(1, 3, 2)
4;5953;0.00001239776611328125;(1, 3, 2)
4;5953;0.00001311302185058594;(1, 3, 2)
4;5953;0.00001358985900878906;(1, 3, 2)
4;5953;0.00001287460327148438;(1, 3, 2)
4;5953;0.00001382827758789062;(1, 3, 2)
4;5953;0.00001788139343261719;(1, 3, 2)
4;5953;0.00001287460327148438;(1, 3, 2)
4;5953;0.00001358985900878906;(1, 3, 2)
4;5953;0.00001287460327148438;(1, 3, 2)
4;5953;0.00001335144042968750;(1, 3, 2)
4;5953;0.00001287460327148438;(1, 3, 2)
4;5953;0.00001263618469238281;(1, 3, 2)
4;5953;0.00001263618469238281;(1, 3, 2)
4;5953;0.00001239776611328125;(1, 3, 2)
4;5953;0.00001239776611328125;(1, 3, 2)
4;5953;0.00001215934753417969;(1, 3, 2)
4;5953;0.00001287460327148438;(1, 3, 2)
4;5953;0.00001263618469238281;(1, 3, 2)
4;5953;0.00001239776611328125;(1, 3, 2)
4;5953;0.00001358985900878906;(1, 3, 2)
4;5953;0.00001287460327148438;(1, 3, 2)
4;5953;0.00001263618469238281;(1, 3, 2)
4;5953;0.00001215934753417969;(1, 3, 2)
4;5953;0.00001287460327148438;(1, 3, 2)
4;5953;0.00001239776611328125;(1, 3, 2)
4;5953;0.00001215934753417969;(1, 3, 2)
4;5953;0.00001263618469238281;(1, 3, 2)
4;5953;0.00001287460327148438;(1, 3, 2)
4;5953;0.00001668930053710938;(1, 3, 2)
4;5953;0.00001239776611328125;(1, 3, 2)
4;5953;0.00001287460327148438;(1, 3, 2)
4;5953;0.00001454353332519531;(1, 3, 2)
4;5953;0.00001263618469238281;(1, 3, 2)
4;5953;0.00001168251037597656;(1, 3, 2)
4;5953;0.00001263618469238281;(1, 3, 2)
4;5953;0.00001287460327148438;(1, 3, 2)
4;5953;0.00001239776611328125;(1, 3, 2)
4;5953;0.00001263618469238281;(1, 3, 2)
4;5953;0.00001287460327148438;(1, 3, 2)
4;5953;0.00001215934753417969;(1, 3, 2)
4;5953;0.00001239776611328125;(1, 3, 2)
4;5953;0.00001263618469238281;(1, 3, 2)
4;5953;0.00001239776611328125;(1, 3, 2)
4;5953;0.00001263618469238281;(1, 3, 2)
4;5953;0.00001263618469238281;(1, 3, 2)
4;5953;0.00001263618469238281;(1, 3, 2)
4;5953;0.00001478195190429688;(1, 3, 2)
4;5953;0.00001239776611328125;(1, 3, 2)
4;5953;0.00001287460327148438;(1, 3, 2)
4;5953;0.00001287460327148438;(1, 3, 2)
4;5953;0.00001239776611328125;(1, 3, 2)
4;5953;0.00001287460327148438;(1, 3, 2)
4;5953;0.00001263618469238281;(1, 3, 2)
4;5953;0.00001263618469238281;(1, 3, 2)
4;5953;0.00001239776611328125;(1, 3, 2)
4;5953;0.00001215934753417969;(1, 3, 2)
4;5953;0.00001215934753417969;(1, 3, 2)
4;5953;0.00002932548522949219;(1, 3, 2)
4;5953;0.00001168251037597656;(1, 3, 2)
4;5953;0.00001263618469238281;(1, 3, 2)
4;5953;0.00001859664916992188;(1, 3, 2)
4;5953;0.00001215934753417969;(1, 3, 2)
4;5953;0.00001263618469238281;(1, 3, 2)
4;5953;0.00001215934753417969;(1, 3, 2)
4;5953;0.00001358985900878906;(1, 3, 2)
4;5953;0.00003147125244140625;(1, 3, 2)
4;5953;0.00001573562622070312;(1, 3, 2)
4;5953;0.00001263618469238281;(1, 3, 2)
4;5953;0.00001239776611328125;(1, 3, 2)
4;5953;0.00001382827758789062;(1, 3, 2)
4;5953;0.00001192092895507812;(1, 3, 2)
4;5953;0.00001239776611328125;(1, 3, 2)
4;5953;0.00001621246337890625;(1, 3, 2)
4;5953;0.00001621246337890625;(1, 3, 2)
4;5953;0.00001287460327148438;(1, 3, 2)
4;5953;0.00001406669616699219;(1, 3, 2)
4;5953;0.00001311302185058594;(1, 3, 2)
4;5953;0.00001215934753417969;(1, 3, 2)
4;5953;0.00001311302185058594;(1, 3, 2)
4;5953;0.00001263618469238281;(1, 3, 2)
4;5953;0.00001192092895507812;(1, 3, 2)
4;5953;0.00001215934753417969;(1, 3, 2)
4;5953;0.00001215934753417969;(1, 3, 2)
4;5953;0.00001239776611328125;(1, 3, 2)
4;5953;0.00001263618469238281;(1, 3, 2)
