destinations_count;cost;execution_time;sequence
4;5953;2.02027130126953125000;[1, 3, 2]
4;5953;2.03428125381469726562;[1, 3, 2]
4;5953;2.05790233612060546875;[1, 3, 2]
4;5953;1.98352551460266113281;[1, 3, 2]
4;5953;2.02717542648315429688;[2, 3, 1]
4;5953;2.00637650489807128906;[1, 3, 2]
4;5953;2.01468086242675781250;[1, 3, 2]
4;5953;2.02206015586853027344;[1, 3, 2]
4;5953;2.01310348510742187500;[1, 3, 2]
4;5953;1.98275947570800781250;[2, 3, 1]
4;5953;2.01229500770568847656;[1, 3, 2]
4;5953;2.03676056861877441406;[2, 3, 1]
4;5953;2.00568842887878417969;[1, 3, 2]
4;5953;2.03971958160400390625;[1, 3, 2]
4;5953;2.02173209190368652344;[1, 3, 2]
4;5953;2.00788760185241699219;[1, 3, 2]
4;5953;2.06501722335815429688;[1, 3, 2]
4;5953;2.00990438461303710938;[1, 3, 2]
4;5953;2.04134082794189453125;[1, 3, 2]
4;5953;2.01334023475646972656;[2, 3, 1]
4;5953;2.07417416572570800781;[2, 3, 1]
4;5953;2.02430009841918945312;[1, 3, 2]
4;5953;2.02649140357971191406;[1, 3, 2]
4;5953;1.99775505065917968750;[1, 3, 2]
4;5953;2.12122607231140136719;[1, 3, 2]
4;5953;2.05784296989440917969;[1, 3, 2]
4;5953;2.07369089126586914062;[2, 3, 1]
4;5953;1.99123191833496093750;[1, 3, 2]
4;5953;2.00715422630310058594;[1, 3, 2]
4;5953;2.05059576034545898438;[1, 3, 2]
4;5953;2.02074599266052246094;[1, 3, 2]
4;5953;2.00887441635131835938;[2, 3, 1]
4;5953;2.01539921760559082031;[2, 3, 1]
4;5953;2.06800842285156250000;[1, 3, 2]
4;5953;1.96567440032958984375;[2, 3, 1]
4;5953;2.02047586441040039062;[1, 3, 2]
4;5953;2.00520944595336914062;[2, 3, 1]
4;5953;2.01313519477844238281;[1, 3, 2]
4;5953;2.04674959182739257812;[1, 3, 2]
4;5953;1.99058604240417480469;[1, 3, 2]
4;5953;2.05470561981201171875;[2, 3, 1]
4;5953;2.06624603271484375000;[1, 3, 2]
4;5953;1.98102188110351562500;[1, 3, 2]
4;5953;2.05047297477722167969;[1, 3, 2]
4;5953;1.97582674026489257812;[1, 3, 2]
4;5953;2.01265025138854980469;[2, 3, 1]
4;5953;1.99433398246765136719;[1, 3, 2]
4;5953;2.07290148735046386719;[2, 3, 1]
4;5953;2.07577490806579589844;[2, 3, 1]
4;5953;2.04922318458557128906;[1, 3, 2]
5;6612;2.10033440589904785156;[4, 1, 3, 2]
5;6612;2.04553413391113281250;[2, 3, 1, 4]
5;6612;2.05298185348510742188;[2, 3, 1, 4]
5;6612;2.25588822364807128906;[4, 1, 3, 2]
5;6612;2.06558227539062500000;[4, 1, 3, 2]
5;6612;2.20310497283935546875;[2, 3, 1, 4]
5;6612;2.00498223304748535156;[4, 1, 3, 2]
5;6612;2.07967877388000488281;[2, 3, 1, 4]
5;6612;2.06275558471679687500;[2, 3, 1, 4]
5;6612;2.06643533706665039062;[4, 1, 3, 2]
5;6612;2.11169958114624023438;[4, 1, 3, 2]
5;6612;2.04205822944641113281;[2, 3, 1, 4]
5;6612;2.00489330291748046875;[4, 1, 3, 2]
5;6612;2.07701349258422851562;[2, 3, 1, 4]
5;6612;2.00519752502441406250;[4, 1, 3, 2]
5;6612;2.09575104713439941406;[4, 1, 3, 2]
5;6612;2.08344984054565429688;[4, 1, 3, 2]
5;6612;1.99435830116271972656;[2, 3, 1, 4]
5;6612;2.05079841613769531250;[4, 1, 3, 2]
5;6612;2.04867124557495117188;[2, 3, 1, 4]
5;6612;2.09707808494567871094;[2, 3, 1, 4]
5;6612;2.07914257049560546875;[2, 3, 1, 4]
5;6612;2.09150981903076171875;[2, 3, 1, 4]
5;6612;2.11569190025329589844;[4, 1, 3, 2]
5;6612;2.06261205673217773438;[4, 1, 3, 2]
5;6612;2.06058645248413085938;[4, 1, 3, 2]
5;6612;2.09790182113647460938;[4, 1, 3, 2]
5;6612;2.12594032287597656250;[4, 1, 3, 2]
5;6612;2.02534461021423339844;[4, 1, 3, 2]
5;6612;2.03600859642028808594;[4, 1, 3, 2]
5;6612;2.05494022369384765625;[4, 1, 3, 2]
5;6612;1.99622845649719238281;[4, 1, 3, 2]
5;6612;2.16126918792724609375;[4, 1, 3, 2]
5;6612;2.10204839706420898438;[4, 1, 3, 2]
5;6612;2.10099530220031738281;[2, 3, 1, 4]
5;6612;2.08489775657653808594;[4, 1, 3, 2]
5;6612;2.04814553260803222656;[4, 1, 3, 2]
5;6612;2.10900688171386718750;[2, 3, 1, 4]
5;6612;2.06451988220214843750;[4, 1, 3, 2]
5;6612;2.03467798233032226562;[2, 3, 1, 4]
5;6612;2.02144241333007812500;[4, 1, 3, 2]
5;6612;2.06099224090576171875;[4, 1, 3, 2]
5;6612;2.03825497627258300781;[2, 3, 1, 4]
5;6612;2.13263273239135742188;[2, 3, 1, 4]
5;6612;1.99403357505798339844;[2, 3, 1, 4]
5;6612;2.07814455032348632812;[2, 3, 1, 4]
5;6612;2.04751491546630859375;[4, 1, 3, 2]
5;6612;2.04899191856384277344;[4, 1, 3, 2]
5;6612;2.09029960632324218750;[2, 3, 1, 4]
