destinations_count;cost;execution_time;sequence
4;77915;1.39974784851074218750;[2, 1, 3]
4;77915;1.40172839164733886719;[2, 1, 3]
4;77915;1.39905500411987304688;[2, 1, 3]
4;77915;1.42198252677917480469;[2, 1, 3]
4;77915;1.43982386589050292969;[2, 1, 3]
4;77915;1.40935015678405761719;[2, 1, 3]
4;77915;1.40991210937500000000;[2, 1, 3]
4;77915;1.41924619674682617188;[2, 1, 3]
4;77915;1.39984846115112304688;[2, 1, 3]
4;77915;1.41581654548645019531;[2, 1, 3]
4;77915;1.39424228668212890625;[2, 1, 3]
4;77915;1.40257740020751953125;[2, 1, 3]
4;77915;1.38720154762268066406;[2, 1, 3]
4;77915;1.39782738685607910156;[2, 1, 3]
4;77915;1.38322854042053222656;[2, 1, 3]
4;77915;1.39150094985961914062;[2, 1, 3]
4;77915;1.41985583305358886719;[2, 1, 3]
4;77915;1.39765739440917968750;[2, 1, 3]
4;77915;1.40448594093322753906;[2, 1, 3]
4;77915;1.39368915557861328125;[2, 1, 3]
4;77915;1.41879582405090332031;[2, 1, 3]
4;77915;1.44329214096069335938;[2, 1, 3]
4;77915;1.40443229675292968750;[2, 1, 3]
4;77915;1.40007901191711425781;[2, 1, 3]
4;77915;1.39850831031799316406;[2, 1, 3]
4;77915;1.38983821868896484375;[2, 1, 3]
4;77915;1.40761661529541015625;[2, 1, 3]
4;77915;1.40319108963012695312;[2, 1, 3]
4;77915;1.43293023109436035156;[2, 1, 3]
4;77915;1.38790583610534667969;[2, 1, 3]
4;77915;1.41264653205871582031;[2, 1, 3]
4;77915;1.38965535163879394531;[2, 1, 3]
4;77915;1.41536545753479003906;[2, 1, 3]
4;77915;1.39664673805236816406;[2, 1, 3]
4;77915;1.39820075035095214844;[2, 1, 3]
4;77915;1.40703892707824707031;[2, 1, 3]
4;77915;1.41405057907104492188;[2, 1, 3]
4;77915;1.40220546722412109375;[2, 1, 3]
4;77915;1.41389870643615722656;[2, 1, 3]
4;77915;1.40731358528137207031;[2, 1, 3]
4;77915;1.39836621284484863281;[2, 1, 3]
4;77915;1.40498471260070800781;[2, 1, 3]
4;77915;1.40284371376037597656;[2, 1, 3]
4;77915;1.39723563194274902344;[2, 1, 3]
4;77915;1.41287398338317871094;[2, 1, 3]
4;77915;1.41916108131408691406;[2, 1, 3]
4;77915;1.38982510566711425781;[2, 1, 3]
4;77915;1.38640284538269042969;[2, 1, 3]
4;77915;1.40439653396606445312;[2, 1, 3]
4;77915;1.39080119132995605469;[2, 1, 3]
4;77915;1.39427876472473144531;[2, 1, 3]
4;77915;1.39193487167358398438;[2, 1, 3]
4;77915;1.38439178466796875000;[2, 1, 3]
4;77915;1.40816617012023925781;[2, 1, 3]
4;77915;1.41726136207580566406;[2, 1, 3]
4;77915;1.41798377037048339844;[2, 1, 3]
4;77915;1.38741159439086914062;[2, 1, 3]
4;77915;1.40146422386169433594;[2, 1, 3]
4;77915;1.39706754684448242188;[2, 1, 3]
4;77915;1.39133381843566894531;[2, 1, 3]
4;77915;1.41406035423278808594;[2, 1, 3]
4;77915;1.46115660667419433594;[2, 1, 3]
4;77915;1.40994453430175781250;[2, 1, 3]
4;77915;1.37105774879455566406;[2, 1, 3]
4;77915;1.42691802978515625000;[2, 1, 3]
4;77915;1.38727140426635742188;[2, 1, 3]
4;77915;1.41263198852539062500;[2, 1, 3]
4;77915;1.41544389724731445312;[2, 1, 3]
4;77915;1.40109705924987792969;[2, 1, 3]
4;77915;1.38136339187622070312;[2, 1, 3]
5;112129;1.56247878074645996094;[2, 4, 1, 3]
5;112129;1.57454395294189453125;[2, 4, 1, 3]
5;112129;1.58029484748840332031;[2, 4, 1, 3]
5;112129;1.58684110641479492188;[2, 4, 1, 3]
5;112129;1.59248781204223632812;[2, 4, 1, 3]
5;112129;1.58784961700439453125;[2, 4, 1, 3]
5;112129;1.57850170135498046875;[2, 4, 1, 3]
5;112129;1.59372091293334960938;[2, 4, 1, 3]
5;112129;1.60941338539123535156;[2, 4, 1, 3]
5;112129;1.56028199195861816406;[2, 4, 1, 3]
5;112129;1.58307909965515136719;[2, 4, 1, 3]
5;112129;1.56325936317443847656;[2, 4, 1, 3]
5;112129;1.56781101226806640625;[2, 4, 1, 3]
