destinations_count;cost;execution_time;sequence
4;77915;0.00896739959716796875;[2, 1, 3]
4;77915;0.00901556015014648438;[2, 1, 3]
4;77915;0.00902056694030761719;[2, 1, 3]
4;77915;0.00903844833374023438;[2, 1, 3]
4;77915;0.00894093513488769531;[2, 1, 3]
4;77915;0.00910210609436035156;[2, 1, 3]
4;77915;0.00885629653930664062;[2, 1, 3]
4;77915;0.00891995429992675781;[2, 1, 3]
4;77915;0.00886321067810058594;[2, 1, 3]
4;77915;0.01004505157470703125;[2, 1, 3]
4;77915;0.00872707366943359375;[2, 1, 3]
4;77915;0.00894618034362792969;[2, 1, 3]
4;77915;0.00882601737976074219;[2, 1, 3]
4;77915;0.00899720191955566406;[2, 1, 3]
4;77915;0.01057577133178710938;[2, 1, 3]
4;77915;0.00889229774475097656;[2, 1, 3]
4;77915;0.00907897949218750000;[2, 1, 3]
4;77915;0.00882863998413085938;[2, 1, 3]
4;77915;0.00890231132507324219;[2, 1, 3]
4;77915;0.00891828536987304688;[2, 1, 3]
4;77915;0.00896859169006347656;[2, 1, 3]
4;77915;0.00888085365295410156;[2, 1, 3]
4;77915;0.00880527496337890625;[2, 1, 3]
4;77915;0.00877261161804199219;[2, 1, 3]
4;77915;0.00896453857421875000;[2, 1, 3]
4;77915;0.00893640518188476562;[2, 1, 3]
4;77915;0.00901007652282714844;[2, 1, 3]
4;77915;0.00880050659179687500;[2, 1, 3]
4;77915;0.00889897346496582031;[2, 1, 3]
4;77915;0.00881242752075195312;[2, 1, 3]
4;77915;0.00905537605285644531;[2, 1, 3]
4;77915;0.00900864601135253906;[2, 1, 3]
4;77915;0.00892829895019531250;[2, 1, 3]
4;77915;0.00895786285400390625;[2, 1, 3]
4;77915;0.00891733169555664062;[2, 1, 3]
4;77915;0.00892925262451171875;[2, 1, 3]
4;77915;0.00885248184204101562;[2, 1, 3]
4;77915;0.00902271270751953125;[2, 1, 3]
4;77915;0.00891327857971191406;[2, 1, 3]
4;77915;0.00891733169555664062;[2, 1, 3]
4;77915;0.00891494750976562500;[2, 1, 3]
4;77915;0.00890135765075683594;[2, 1, 3]
4;77915;0.00885176658630371094;[2, 1, 3]
4;77915;0.00891637802124023438;[2, 1, 3]
4;77915;0.00886797904968261719;[2, 1, 3]
4;77915;0.00882172584533691406;[2, 1, 3]
4;77915;0.00880551338195800781;[2, 1, 3]
4;77915;0.00887012481689453125;[2, 1, 3]
4;77915;0.00894618034362792969;[2, 1, 3]
4;77915;0.00886178016662597656;[2, 1, 3]
4;77915;0.00890874862670898438;[2, 1, 3]
4;77915;0.00906109809875488281;[2, 1, 3]
4;77915;0.00885081291198730469;[2, 1, 3]
4;77915;0.00896263122558593750;[2, 1, 3]
4;77915;0.00901579856872558594;[2, 1, 3]
4;77915;0.00893855094909667969;[2, 1, 3]
4;77915;0.00906825065612792969;[2, 1, 3]
4;77915;0.00880527496337890625;[2, 1, 3]
4;77915;0.00901198387145996094;[2, 1, 3]
4;77915;0.00883412361145019531;[2, 1, 3]
4;77915;0.00890779495239257812;[2, 1, 3]
4;77915;0.00892782211303710938;[2, 1, 3]
4;77915;0.00881671905517578125;[2, 1, 3]
4;77915;0.00897550582885742188;[2, 1, 3]
4;77915;0.00887155532836914062;[2, 1, 3]
4;77915;0.00893688201904296875;[2, 1, 3]
4;77915;0.00893855094909667969;[2, 1, 3]
4;77915;0.00909137725830078125;[2, 1, 3]
4;77915;0.00883030891418457031;[2, 1, 3]
4;77915;0.00884485244750976562;[2, 1, 3]
4;77915;0.00885558128356933594;[2, 1, 3]
4;77915;0.00899720191955566406;[2, 1, 3]
4;77915;0.00893425941467285156;[2, 1, 3]
4;77915;0.00903701782226562500;[2, 1, 3]
4;77915;0.00900888442993164062;[2, 1, 3]
4;77915;0.00906085968017578125;[2, 1, 3]
4;77915;0.00886273384094238281;[2, 1, 3]
4;77915;0.00908732414245605469;[2, 1, 3]
4;77915;0.00888657569885253906;[2, 1, 3]
