destinations_count;cost;execution_time;sequence
4;110722;1.32186889648437500000;[1, 2, 3]
4;110722;1.30466890335083007812;[1, 2, 3]
4;110722;1.29341578483581542969;[1, 2, 3]
4;110722;1.30499315261840820312;[1, 2, 3]
4;110722;1.31498861312866210938;[1, 2, 3]
4;110722;1.30410289764404296875;[1, 2, 3]
4;110722;1.30933022499084472656;[1, 2, 3]
4;110722;1.38998627662658691406;[1, 2, 3]
4;110722;1.70208692550659179688;[1, 2, 3]
4;110722;1.31043052673339843750;[1, 2, 3]
4;110722;1.31141114234924316406;[1, 2, 3]
4;110722;1.30351567268371582031;[1, 2, 3]
4;110722;1.29953265190124511719;[1, 2, 3]
4;110722;1.32202243804931640625;[1, 2, 3]
4;110722;1.32915353775024414062;[1, 2, 3]
4;110722;1.32489871978759765625;[1, 2, 3]
4;110722;1.31614518165588378906;[1, 2, 3]
4;110722;1.32706046104431152344;[1, 2, 3]
4;110722;1.31925296783447265625;[1, 2, 3]
4;110722;1.29807686805725097656;[1, 2, 3]
4;110722;1.32383537292480468750;[1, 2, 3]
4;110722;1.30875158309936523438;[1, 2, 3]
4;110722;1.31331396102905273438;[1, 2, 3]
4;110722;1.32855725288391113281;[1, 2, 3]
4;110722;1.31697678565979003906;[1, 2, 3]
4;110722;1.30501103401184082031;[1, 2, 3]
4;110722;1.42284703254699707031;[1, 2, 3]
4;110722;1.39451742172241210938;[1, 2, 3]
4;110722;1.39411282539367675781;[1, 2, 3]
4;110722;1.41490507125854492188;[1, 2, 3]
4;110722;1.39955019950866699219;[1, 2, 3]
4;110722;1.40782785415649414062;[1, 2, 3]
4;110722;1.41215586662292480469;[1, 2, 3]
4;110722;1.37913537025451660156;[1, 2, 3]
4;110722;1.40896677970886230469;[1, 2, 3]
4;110722;1.40434098243713378906;[1, 2, 3]
4;110722;1.40328550338745117188;[1, 2, 3]
4;110722;1.39661908149719238281;[1, 2, 3]
4;110722;1.40972423553466796875;[1, 2, 3]
4;110722;1.40586543083190917969;[1, 2, 3]
4;110722;1.40148115158081054688;[1, 2, 3]
4;110722;1.40063667297363281250;[1, 2, 3]
4;110722;1.40597224235534667969;[1, 2, 3]
4;110722;1.39483737945556640625;[1, 2, 3]
4;110722;1.39010405540466308594;[1, 2, 3]
4;110722;1.38895797729492187500;[1, 2, 3]
4;110722;1.40953183174133300781;[1, 2, 3]
4;110722;1.39925384521484375000;[1, 2, 3]
