destinations_count;cost;execution_time;sequence
4;110722;1.94942855834960937500;[1, 2, 3]
4;110722;2.01380515098571777344;[3, 1, 2]
4;110722;1.97907972335815429688;[1, 2, 3]
4;110722;1.92612123489379882812;[1, 2, 3]
4;110722;2.21187114715576171875;[3, 1, 2]
4;110722;1.93863153457641601562;[2, 1, 3]
4;110722;1.92502140998840332031;[2, 1, 3]
4;110722;1.93811798095703125000;[3, 1, 2]
4;110722;1.95555448532104492188;[1, 2, 3]
4;110722;1.91300582885742187500;[1, 2, 3]
4;110722;1.88769245147705078125;[3, 1, 2]
4;110722;1.93436503410339355469;[3, 1, 2]
4;110722;1.90904402732849121094;[1, 2, 3]
4;110722;1.89220762252807617188;[3, 1, 2]
4;110722;1.88282942771911621094;[3, 1, 2]
4;110722;1.93487858772277832031;[3, 1, 2]
4;110722;1.89501595497131347656;[1, 2, 3]
4;110722;1.95130825042724609375;[2, 1, 3]
4;110722;1.98533129692077636719;[3, 1, 2]
4;110722;1.95602250099182128906;[2, 1, 3]
4;110722;1.93266773223876953125;[3, 1, 2]
4;110722;1.96048212051391601562;[3, 1, 2]
4;110722;2.02711820602416992188;[3, 1, 2]
4;110722;2.06658816337585449219;[2, 1, 3]
4;110722;2.00580906867980957031;[3, 1, 2]
4;110722;1.95604872703552246094;[1, 2, 3]
4;110722;2.09661173820495605469;[2, 1, 3]
4;110722;1.96744537353515625000;[1, 2, 3]
4;110722;2.07850670814514160156;[3, 1, 2]
4;110722;2.00400304794311523438;[3, 1, 2]
4;110722;2.03976202011108398438;[2, 1, 3]
4;110722;2.03458428382873535156;[2, 1, 3]
4;110722;2.04765295982360839844;[3, 1, 2]
4;110722;2.10187602043151855469;[1, 2, 3]
4;110722;2.05495119094848632812;[2, 1, 3]
4;110722;2.02392315864562988281;[3, 1, 2]
4;110722;2.03099036216735839844;[1, 2, 3]
4;110722;2.04754972457885742188;[3, 1, 2]
4;110722;2.11479353904724121094;[1, 2, 3]
4;110722;2.09970283508300781250;[1, 2, 3]
4;110722;2.07683420181274414062;[2, 1, 3]
4;110722;2.07840871810913085938;[3, 1, 2]
4;110722;2.09607052803039550781;[3, 1, 2]
4;110722;2.05983376502990722656;[3, 1, 2]
4;110722;2.04386663436889648438;[1, 2, 3]
4;110722;2.03564691543579101562;[1, 2, 3]
4;110722;1.99181413650512695312;[1, 2, 3]
4;110722;2.00007987022399902344;[1, 2, 3]
4;110722;2.07032966613769531250;[3, 1, 2]
4;110722;2.06258702278137207031;[2, 1, 3]
4;110722;2.02276158332824707031;[1, 2, 3]
4;110722;2.01980710029602050781;[2, 1, 3]
5;118007;2.06637740135192871094;[2, 4, 1, 3]
5;118007;2.04932332038879394531;[2, 4, 1, 3]
5;118007;2.01692152023315429688;[2, 4, 1, 3]
5;118007;2.08747673034667968750;[2, 4, 1, 3]
5;118007;2.06201481819152832031;[2, 4, 1, 3]
5;118007;2.23074221611022949219;[2, 4, 1, 3]
5;118007;2.15427899360656738281;[2, 4, 1, 3]
5;118007;2.08295249938964843750;[2, 4, 1, 3]
5;118007;2.07761621475219726562;[2, 4, 1, 3]
5;118007;2.09744977951049804688;[2, 4, 1, 3]
5;118007;2.07592582702636718750;[2, 4, 1, 3]
5;118007;2.08273625373840332031;[2, 4, 1, 3]
5;118007;2.08877372741699218750;[2, 4, 1, 3]
5;118007;2.08810400962829589844;[2, 4, 1, 3]
5;118007;2.00216984748840332031;[2, 4, 1, 3]
5;118007;2.01595401763916015625;[2, 4, 1, 3]
5;118007;2.10699796676635742188;[2, 4, 1, 3]
5;118007;2.03399968147277832031;[2, 4, 1, 3]
5;118007;2.09526586532592773438;[2, 4, 1, 3]
5;118007;2.08682084083557128906;[2, 4, 1, 3]
5;118007;2.05623030662536621094;[2, 4, 1, 3]
5;118007;2.03874039649963378906;[2, 4, 1, 3]
5;118007;2.07107377052307128906;[2, 4, 1, 3]
5;118007;2.04645991325378417969;[2, 4, 1, 3]
5;118007;2.07237124443054199219;[2, 4, 1, 3]
5;118007;2.07445907592773437500;[2, 4, 1, 3]
5;118007;2.03785991668701171875;[2, 4, 1, 3]
5;118007;2.14699196815490722656;[2, 4, 1, 3]
5;118007;2.12066841125488281250;[2, 4, 1, 3]
5;118007;2.04229974746704101562;[2, 4, 1, 3]
5;118007;2.06708574295043945312;[2, 4, 1, 3]
5;118007;2.14377212524414062500;[2, 4, 1, 3]
5;118007;2.07299256324768066406;[2, 4, 1, 3]
5;118007;2.04766416549682617188;[2, 4, 1, 3]
5;118007;2.10190296173095703125;[2, 4, 1, 3]
5;118007;2.05563926696777343750;[2, 4, 1, 3]
5;118007;2.10302901268005371094;[2, 4, 1, 3]
5;118007;2.02194333076477050781;[2, 4, 1, 3]
5;118007;2.08646869659423828125;[2, 4, 1, 3]
5;118007;2.10480093955993652344;[2, 4, 1, 3]
5;118007;2.08954453468322753906;[2, 4, 1, 3]
5;118007;2.09967279434204101562;[2, 4, 1, 3]
5;118007;2.06771969795227050781;[2, 4, 1, 3]
5;118007;2.10772490501403808594;[2, 4, 1, 3]
5;118007;2.11517310142517089844;[2, 4, 1, 3]
5;118007;2.08369588851928710938;[2, 4, 1, 3]
5;118007;2.11009311676025390625;[2, 4, 1, 3]
5;118007;2.09423804283142089844;[2, 4, 1, 3]
5;118007;2.09252738952636718750;[2, 4, 1, 3]
5;118007;2.10740160942077636719;[2, 4, 1, 3]
6;117638;2.04544997215270996094;[3, 5, 2, 4, 1]
6;117638;2.11295676231384277344;[3, 5, 2, 1, 4]
6;117638;2.06017231941223144531;[3, 5, 2, 1, 4]
6;117638;2.05006551742553710938;[3, 5, 2, 4, 1]
