destinations_count;cost;execution_time;sequence
4;43006;0.10965085029602050781;[1, 2, 3]
4;43006;0.10324001312255859375;[1, 2, 3]
4;43006;0.09623241424560546875;[1, 2, 3]
4;43006;0.10453248023986816406;[1, 2, 3]
4;43006;0.10116934776306152344;[1, 2, 3]
4;43006;0.09509468078613281250;[1, 2, 3]
4;43006;0.09549570083618164062;[1, 2, 3]
4;43006;0.09581542015075683594;[1, 2, 3]
4;43006;0.09535884857177734375;[1, 2, 3]
4;43006;0.09497666358947753906;[1, 2, 3]
5;43674;0.10500383377075195312;[1, 4, 2, 3]
5;43674;0.10481739044189453125;[1, 4, 2, 3]
5;43674;0.10120630264282226562;[1, 4, 2, 3]
5;43674;0.10270118713378906250;[1, 4, 2, 3]
5;43674;0.10145020484924316406;[1, 4, 2, 3]
5;43674;0.10086870193481445312;[1, 4, 2, 3]
5;43674;0.10442495346069335938;[1, 4, 2, 3]
5;43674;0.10306859016418457031;[1, 4, 2, 3]
5;43674;0.10269999504089355469;[1, 4, 2, 3]
5;43674;0.10321211814880371094;[1, 4, 2, 3]
6;44858;0.11351752281188964844;[1, 5, 4, 2, 3]
6;44858;0.11774039268493652344;[1, 5, 4, 2, 3]
6;44858;0.11410856246948242188;[1, 5, 4, 2, 3]
6;44858;0.11408472061157226562;[1, 5, 4, 2, 3]
6;44858;0.11641335487365722656;[1, 5, 4, 2, 3]
6;44858;0.11834430694580078125;[1, 5, 4, 2, 3]
6;44858;0.11602568626403808594;[1, 5, 4, 2, 3]
6;44858;0.11372494697570800781;[1, 5, 4, 2, 3]
6;44858;0.11763787269592285156;[1, 5, 4, 2, 3]
6;44858;0.11426734924316406250;[1, 5, 4, 2, 3]
7;44365;0.11969757080078125000;[1, 6, 5, 4, 2, 3]
7;44366;0.12232875823974609375;[6, 5, 4, 2, 3, 1]
7;44366;0.12073421478271484375;[6, 5, 4, 2, 3, 1]
7;44365;0.12841463088989257812;[1, 6, 5, 4, 2, 3]
7;44365;0.12315654754638671875;[1, 6, 5, 4, 2, 3]
7;44365;0.11988496780395507812;[1, 6, 5, 4, 2, 3]
7;44365;0.11766123771667480469;[1, 6, 5, 4, 2, 3]
7;44365;0.15399408340454101562;[1, 6, 5, 4, 2, 3]
7;44365;0.12327241897583007812;[1, 6, 5, 4, 2, 3]
7;44365;0.12672162055969238281;[1, 6, 5, 4, 2, 3]
8;45880;0.13299679756164550781;[6, 5, 7, 4, 2, 3, 1]
8;45880;0.12860631942749023438;[6, 5, 7, 4, 2, 3, 1]
8;45879;0.13302755355834960938;[1, 6, 5, 7, 4, 2, 3]
8;45879;0.12181448936462402344;[1, 6, 5, 7, 4, 2, 3]
8;45879;0.12102556228637695312;[1, 6, 5, 7, 4, 2, 3]
8;45880;0.12356162071228027344;[6, 5, 7, 4, 2, 3, 1]
8;45880;0.12299180030822753906;[6, 5, 7, 4, 2, 3, 1]
8;46492;0.12297081947326660156;[1, 5, 6, 7, 4, 2, 3]
8;45880;0.12335610389709472656;[6, 5, 7, 4, 2, 3, 1]
8;45879;0.12134337425231933594;[1, 6, 5, 7, 4, 2, 3]
9;56868;0.13444280624389648438;[6, 5, 7, 4, 8, 2, 3, 1]
9;56868;0.13630700111389160156;[6, 5, 7, 4, 8, 2, 3, 1]
9;56868;0.13399958610534667969;[6, 5, 7, 4, 8, 2, 3, 1]
9;56868;0.13811373710632324219;[6, 5, 7, 4, 8, 2, 3, 1]
9;56868;0.13677930831909179688;[6, 5, 7, 4, 8, 2, 3, 1]
9;56867;0.13431715965270996094;[1, 6, 5, 7, 4, 8, 2, 3]
9;56868;0.14048290252685546875;[6, 5, 7, 4, 8, 2, 3, 1]
9;56867;0.13453483581542968750;[1, 6, 5, 7, 4, 8, 2, 3]
9;56868;0.13252687454223632812;[6, 5, 7, 4, 8, 2, 3, 1]
9;56868;0.13237595558166503906;[6, 5, 7, 4, 8, 2, 3, 1]
10;61759;0.14355087280273437500;[5, 6, 7, 4, 2, 9, 8, 3, 1]
10;60935;0.13960218429565429688;[6, 5, 7, 4, 9, 8, 2, 3, 1]
10;62452;0.13988733291625976562;[1, 7, 4, 9, 8, 2, 3, 5, 6]
10;60935;0.14468741416931152344;[6, 5, 7, 4, 9, 8, 2, 3, 1]
10;60935;0.14438056945800781250;[6, 5, 7, 4, 8, 9, 2, 3, 1]
10;60934;0.14458060264587402344;[1, 6, 5, 7, 4, 9, 8, 2, 3]
10;60935;0.14538478851318359375;[6, 5, 7, 4, 8, 9, 2, 3, 1]
10;60935;0.14536523818969726562;[6, 5, 7, 4, 8, 9, 2, 3, 1]
10;60935;0.14617729187011718750;[6, 5, 7, 4, 8, 9, 2, 3, 1]
10;60935;0.15184712409973144531;[6, 5, 7, 4, 8, 9, 2, 3, 1]
11;61832;0.16575169563293457031;[6, 5, 7, 4, 8, 9, 10, 2, 3, 1]
11;61832;0.16532182693481445312;[6, 5, 7, 4, 10, 8, 9, 2, 3, 1]
11;62881;0.17036342620849609375;[1, 6, 5, 4, 3, 10, 8, 9, 2, 7]
11;61832;0.18004417419433593750;[6, 5, 7, 4, 10, 9, 8, 2, 3, 1]
11;61832;0.18056321144104003906;[6, 5, 7, 4, 8, 9, 10, 2, 3, 1]
11;61832;0.18107342720031738281;[6, 5, 7, 4, 9, 8, 10, 2, 3, 1]
11;61832;0.17462038993835449219;[6, 5, 7, 4, 10, 8, 9, 2, 3, 1]
11;61831;0.17276310920715332031;[1, 6, 5, 7, 4, 9, 8, 10, 2, 3]
11;62881;0.17375826835632324219;[1, 6, 5, 10, 9, 8, 2, 3, 4, 7]
11;61832;0.16782879829406738281;[6, 5, 7, 4, 9, 8, 10, 2, 3, 1]
12;61980;0.18824386596679687500;[6, 5, 7, 4, 11, 9, 8, 10, 2, 3, 1]
12;61980;0.18657779693603515625;[6, 5, 7, 4, 8, 9, 11, 10, 2, 3, 1]
12;61980;0.18470048904418945312;[6, 5, 7, 4, 10, 8, 9, 11, 2, 3, 1]
12;61980;0.18213057518005371094;[6, 5, 7, 4, 10, 11, 9, 8, 2, 3, 1]
12;61980;0.18423509597778320312;[6, 5, 7, 4, 10, 8, 9, 11, 2, 3, 1]
12;62805;0.17546844482421875000;[5, 6, 7, 4, 2, 8, 11, 9, 10, 3, 1]
