destinations_count;cost;execution_time;sequence
4;43006;0.00878286361694335938;[1, 2, 3]
4;43006;0.00918626785278320312;[1, 2, 3]
4;43006;0.00906705856323242188;[1, 2, 3]
4;43006;0.00950646400451660156;[1, 2, 3]
4;43006;0.01074051856994628906;[1, 2, 3]
4;43006;0.00996375083923339844;[1, 2, 3]
4;43006;0.01121091842651367188;[1, 2, 3]
4;43006;0.01070308685302734375;[1, 2, 3]
4;43006;0.01014828681945800781;[1, 2, 3]
4;43006;0.00951600074768066406;[1, 2, 3]
5;43674;0.00911140441894531250;[1, 4, 2, 3]
5;43674;0.01438498497009277344;[1, 4, 2, 3]
5;43674;0.01304554939270019531;[1, 4, 2, 3]
5;43674;0.01238870620727539062;[1, 4, 2, 3]
5;43674;0.01389694213867187500;[1, 4, 2, 3]
5;43674;0.01286578178405761719;[1, 4, 2, 3]
5;43674;0.01272344589233398438;[1, 4, 2, 3]
5;43674;0.01345968246459960938;[1, 4, 2, 3]
5;43674;0.01471090316772460938;[1, 4, 2, 3]
5;43674;0.01301622390747070312;[1, 4, 2, 3]
6;44858;0.01303935050964355469;[1, 5, 4, 2, 3]
6;44858;0.01364350318908691406;[1, 5, 4, 2, 3]
6;44858;0.01516771316528320312;[1, 5, 4, 2, 3]
6;44858;0.01455783843994140625;[1, 5, 4, 2, 3]
6;44858;0.01249384880065917969;[1, 5, 4, 2, 3]
6;44858;0.01388835906982421875;[1, 5, 4, 2, 3]
6;44858;0.01386666297912597656;[1, 5, 4, 2, 3]
6;44858;0.01333737373352050781;[1, 5, 4, 2, 3]
6;44858;0.01327323913574218750;[1, 5, 4, 2, 3]
6;44858;0.01392793655395507812;[1, 5, 4, 2, 3]
7;44365;0.01431751251220703125;[1, 6, 5, 4, 2, 3]
7;44365;0.01279854774475097656;[1, 6, 5, 4, 2, 3]
7;44365;0.01478266716003417969;[1, 6, 5, 4, 2, 3]
7;44365;0.01414847373962402344;[1, 6, 5, 4, 2, 3]
7;44365;0.01264929771423339844;[1, 6, 5, 4, 2, 3]
7;44365;0.01360583305358886719;[1, 6, 5, 4, 2, 3]
7;44365;0.01300406455993652344;[1, 6, 5, 4, 2, 3]
7;44365;0.01604318618774414062;[1, 6, 5, 4, 2, 3]
7;44365;0.01442503929138183594;[1, 6, 5, 4, 2, 3]
7;44365;0.01209378242492675781;[1, 6, 5, 4, 2, 3]
8;46930;0.01472067832946777344;[1, 6, 5, 2, 3, 4, 7]
8;46930;0.01517868041992187500;[1, 6, 5, 2, 3, 4, 7]
8;46930;0.01342368125915527344;[1, 6, 5, 2, 3, 4, 7]
8;46930;0.01313352584838867188;[1, 6, 5, 2, 3, 4, 7]
8;46930;0.01348257064819335938;[1, 6, 5, 2, 3, 4, 7]
8;46930;0.01200842857360839844;[1, 6, 5, 2, 3, 4, 7]
8;46930;0.01410245895385742188;[1, 6, 5, 2, 3, 4, 7]
8;46930;0.01667594909667968750;[1, 6, 5, 2, 3, 4, 7]
8;46930;0.01188349723815917969;[1, 6, 5, 2, 3, 4, 7]
8;46930;0.01349115371704101562;[1, 6, 5, 2, 3, 4, 7]
9;57918;0.01490783691406250000;[1, 6, 5, 8, 2, 3, 4, 7]
9;57918;0.01307535171508789062;[1, 6, 5, 8, 2, 3, 4, 7]
9;57918;0.01333785057067871094;[1, 6, 5, 8, 2, 3, 4, 7]
9;57918;0.01410651206970214844;[1, 6, 5, 8, 2, 3, 4, 7]
9;57918;0.01577353477478027344;[1, 6, 5, 8, 2, 3, 4, 7]
9;57918;0.01388335227966308594;[1, 6, 5, 8, 2, 3, 4, 7]
9;57918;0.01291322708129882812;[1, 6, 5, 8, 2, 3, 4, 7]
9;57918;0.01435542106628417969;[1, 6, 5, 8, 2, 3, 4, 7]
9;57918;0.01485252380371093750;[1, 6, 5, 8, 2, 3, 4, 7]
9;57918;0.01567840576171875000;[1, 6, 5, 8, 2, 3, 4, 7]
10;61984;0.01351928710937500000;[1, 6, 5, 9, 8, 2, 3, 4, 7]
10;61984;0.01415514945983886719;[1, 6, 5, 9, 8, 2, 3, 4, 7]
10;61984;0.01315259933471679688;[1, 6, 5, 9, 8, 2, 3, 4, 7]
10;61984;0.01388788223266601562;[1, 6, 5, 9, 8, 2, 3, 4, 7]
10;61984;0.01705455780029296875;[1, 6, 5, 9, 8, 2, 3, 4, 7]
10;61984;0.01262283325195312500;[1, 6, 5, 9, 8, 2, 3, 4, 7]
10;61984;0.01348614692687988281;[1, 6, 5, 9, 8, 2, 3, 4, 7]
10;61984;0.01400971412658691406;[1, 6, 5, 9, 8, 2, 3, 4, 7]
10;61984;0.01515269279479980469;[1, 6, 5, 9, 8, 2, 3, 4, 7]
10;61984;0.01291561126708984375;[1, 6, 5, 9, 8, 2, 3, 4, 7]
11;62881;0.01381874084472656250;[1, 6, 5, 9, 8, 10, 2, 3, 4, 7]
11;62881;0.01323604583740234375;[1, 6, 5, 9, 8, 10, 2, 3, 4, 7]
