destinations_count;cost;execution_time;sequence
4;43006;0.00655627250671386719;[1, 2, 3]
4;43006;0.00713658332824707031;[1, 2, 3]
4;43006;0.00658512115478515625;[1, 2, 3]
4;43006;0.00689816474914550781;[1, 2, 3]
4;43007;0.00778627395629882812;[2, 3, 1]
4;43006;0.00821185111999511719;[1, 2, 3]
4;43006;0.00813651084899902344;[1, 2, 3]
4;43006;0.00694656372070312500;[1, 2, 3]
4;43006;0.00806188583374023438;[1, 2, 3]
4;43006;0.00775384902954101562;[1, 2, 3]
5;43675;0.00813913345336914062;[4, 2, 3, 1]
5;43675;0.00817966461181640625;[4, 2, 3, 1]
5;43675;0.00775623321533203125;[4, 2, 3, 1]
5;43675;0.00862908363342285156;[4, 2, 3, 1]
5;43675;0.00789642333984375000;[4, 2, 3, 1]
5;43675;0.01494169235229492188;[4, 2, 3, 1]
5;43674;0.00762343406677246094;[1, 4, 2, 3]
5;43674;0.00874853134155273438;[1, 4, 2, 3]
5;43674;0.00937318801879882812;[1, 4, 2, 3]
5;43675;0.00816392898559570312;[4, 2, 3, 1]
6;44859;0.00700139999389648438;[5, 4, 2, 3, 1]
6;44859;0.00827383995056152344;[5, 4, 2, 3, 1]
6;44859;0.00757026672363281250;[5, 4, 2, 3, 1]
6;44859;0.00798153877258300781;[5, 4, 2, 3, 1]
6;44859;0.00683665275573730469;[5, 4, 2, 3, 1]
6;44859;0.00739359855651855469;[5, 4, 2, 3, 1]
6;44859;0.00710535049438476562;[5, 4, 2, 3, 1]
6;44859;0.00737714767456054688;[5, 4, 2, 3, 1]
6;44858;0.00765657424926757812;[1, 5, 4, 2, 3]
6;44858;0.00814628601074218750;[1, 5, 4, 2, 3]
7;47397;0.00790739059448242188;[1, 4, 2, 3, 5, 6]
7;44365;0.00968551635742187500;[1, 6, 5, 4, 2, 3]
7;44365;0.00769257545471191406;[1, 6, 5, 4, 2, 3]
7;44365;0.00815773010253906250;[1, 6, 5, 4, 2, 3]
7;47397;0.00797867774963378906;[4, 2, 3, 5, 6, 1]
7;44365;0.00733876228332519531;[1, 6, 5, 4, 2, 3]
7;44365;0.00684762001037597656;[1, 6, 5, 4, 2, 3]
7;47397;0.00702381134033203125;[1, 4, 2, 3, 5, 6]
7;47397;0.00850653648376464844;[1, 4, 2, 3, 5, 6]
7;44366;0.00713777542114257812;[6, 5, 4, 2, 3, 1]
8;45879;0.00668263435363769531;[1, 6, 5, 7, 4, 2, 3]
8;45880;0.00722479820251464844;[6, 5, 7, 4, 2, 3, 1]
8;47397;0.00751829147338867188;[1, 7, 4, 2, 3, 5, 6]
8;47397;0.04201722145080566406;[7, 4, 2, 3, 5, 6, 1]
8;45880;0.00733757019042968750;[6, 5, 7, 4, 2, 3, 1]
8;47397;0.00810194015502929688;[7, 4, 2, 3, 5, 6, 1]
8;46930;0.00859284400939941406;[1, 6, 5, 2, 3, 4, 7]
8;45880;0.00760483741760253906;[6, 5, 7, 4, 2, 3, 1]
8;45880;0.00795674324035644531;[6, 5, 7, 4, 2, 3, 1]
8;47397;0.00679922103881835938;[1, 7, 4, 2, 3, 5, 6]
9;56868;0.01013159751892089844;[6, 5, 7, 4, 8, 2, 3, 1]
9;56868;0.00735354423522949219;[6, 5, 7, 4, 8, 2, 3, 1]
9;57918;0.00744152069091796875;[1, 6, 5, 4, 3, 8, 2, 7]
9;58531;0.01350378990173339844;[7, 8, 2, 3, 4, 5, 6, 1]
9;57918;0.00777316093444824219;[1, 6, 5, 4, 3, 8, 2, 7]
9;56868;0.00793004035949707031;[6, 5, 7, 4, 8, 2, 3, 1]
9;59407;0.00714373588562011719;[1, 8, 2, 3, 4, 7, 5, 6]
9;57919;0.00767278671264648438;[6, 5, 4, 3, 8, 2, 7, 1]
9;58531;0.00762677192687988281;[1, 7, 8, 2, 3, 4, 5, 6]
9;56867;0.00777602195739746094;[1, 6, 5, 7, 4, 8, 2, 3]
10;63473;0.00826859474182128906;[1, 9, 8, 2, 3, 4, 7, 5, 6]
10;63473;0.00790858268737792969;[1, 9, 8, 2, 3, 4, 7, 5, 6]
10;63473;0.00785923004150390625;[1, 9, 8, 2, 3, 4, 7, 5, 6]
10;60934;0.00745654106140136719;[1, 6, 5, 7, 4, 9, 8, 2, 3]
10;62452;0.00776958465576171875;[7, 4, 8, 9, 2, 3, 5, 6, 1]
10;60934;0.00885868072509765625;[1, 6, 5, 7, 4, 8, 9, 2, 3]
10;62598;0.00772571563720703125;[7, 9, 8, 2, 3, 4, 5, 6, 1]
10;60935;0.00792455673217773438;[6, 5, 7, 4, 8, 9, 2, 3, 1]
10;61986;0.00747990608215332031;[6, 5, 4, 3, 9, 8, 2, 7, 1]
10;62452;0.00954890251159667969;[7, 4, 8, 9, 2, 3, 5, 6, 1]
11;69490;0.01288914680480957031;[1, 9, 8, 10, 2, 7, 6, 5, 4, 3]
11;62881;0.01203584671020507812;[1, 6, 5, 3, 10, 9, 8, 2, 4, 7]
11;64370;0.01179742813110351562;[10, 9, 8, 2, 3, 4, 7, 5, 6, 1]
11;62882;0.01277041435241699219;[6, 5, 3, 10, 9, 8, 2, 4, 7, 1]
11;62881;0.01208543777465820312;[1, 6, 5, 4, 3, 10, 8, 9, 2, 7]
11;62881;0.01251435279846191406;[1, 6, 5, 4, 3, 10, 9, 8, 2, 7]
11;63494;0.01205611228942871094;[1, 7, 10, 9, 8, 2, 3, 4, 5, 6]
11;62881;0.01442980766296386719;[1, 6, 5, 4, 3, 10, 9, 8, 2, 7]
11;64370;0.01217198371887207031;[1, 10, 8, 9, 2, 3, 4, 7, 5, 6]
11;63349;0.01378870010375976562;[7, 4, 10, 8, 9, 2, 3, 5, 6, 1]
12;64518;0.01247310638427734375;[10, 11, 9, 8, 2, 3, 4, 7, 5, 6, 1]
12;63029;0.01208257675170898438;[1, 6, 5, 4, 3, 10, 11, 9, 8, 2, 7]
12;63642;0.01161289215087890625;[7, 10, 11, 9, 8, 2, 3, 4, 5, 6, 1]
12;61979;0.01247143745422363281;[1, 6, 5, 7, 4, 10, 11, 9, 8, 2, 3]
12;61979;0.01235580444335937500;[1, 6, 5, 7, 4, 10, 8, 9, 11, 2, 3]
12;63642;0.01323604583740234375;[7, 10, 8, 9, 11, 2, 3, 4, 5, 6, 1]
12;63497;0.01291465759277343750;[7, 4, 11, 9, 8, 10, 2, 3, 5, 6, 1]
12;63029;0.01333189010620117188;[1, 6, 5, 3, 10, 8, 9, 11, 2, 4, 7]
12;64518;0.01327633857727050781;[1, 10, 8, 9, 11, 2, 3, 4, 7, 5, 6]
12;63642;0.01232790946960449219;[7, 10, 8, 9, 11, 2, 3, 4, 5, 6, 1]
13;76533;0.01373195648193359375;[1, 7, 4, 3, 2, 12, 10, 11, 9, 8, 5, 6]
